condition_key,w_inter,trial_idx,seed,a_hat_value
WT,4.0,,,0.050932327472952364
WT,4.0,,,0.02859006613118614
WT,4.0,,,0.054698255098281336
WT,4.0,,,0.026311489153892663
WT,4.0,,,0.025543344224337457
WT,4.0,,,0.015464939746416592
WT,4.0,,,0.03198520739868083
WT,4.0,,,0.02959965940398035
WT,4.0,,,0.053465241846045244
WT,4.0,,,0.058357146770189376
WT,4.0,,,0.021789922644581374
WT,4.0,,,0.02907515864305604
WT,4.0,,,0.07438918874724557
WT,4.0,,,0.09499994447836806
WT,4.0,,,0.0764391143264018
WT,4.0,,,0.040806860273088004
WT,4.0,,,0.07140932262416685
WT,4.0,,,0.03027836793663654
WT,4.0,,,0.05293623574284908
WT,4.0,,,0.03476138540864732
WT,4.0,,,0.010443268020132299
WT,4.0,,,0.026377699912368536
WT,4.0,,,0.07455545858951286
WT,4.0,,,0.02095092596482181
WT,4.0,,,0.02263589601907384
WT,4.0,,,0.08224363561865287
WT,4.0,,,0.07826171685449117
WT,4.0,,,0.07438918874724557
WT,4.0,,,0.07886371358750668
WT,4.0,,,0.0541732955804086
WT,4.0,,,0.04529503041928667
WT,4.0,,,0.04533657475966444
WT,4.0,,,0.04733210766876866
WT,4.0,,,0.06478835056532553
WT,4.0,,,0.04938805400068201
WT,4.0,,,0.03280463556824282
WT,4.0,,,0.06365995931965801
WT,4.0,,,0.06014913391561167
WT,4.0,,,0.04662993617480561
WT,4.0,,,0.10079975874477196
WT,4.0,,,0.07845413837405252
WT,4.0,,,0.04613816782633696
WT,4.0,,,0.03999712688859767
WT,4.0,,,0.07886371358750668
WT,4.0,,,0.08156124996913006
WT,4.0,,,0.030251424969551473
WT,4.0,,,0.037567475142110555
WT,4.0,,,0.04290126662316918
WT,4.0,,,0.0646228468401004
WT,4.0,,,0.10355638761461901
WT,4.0,,,0.05475839886777036
WT,4.0,,,0.04968865072107207
WT,4.0,,,0.10803416293474274
WT,4.0,,,0.07429334519128741
WT,4.0,,,0.1084250519071274
WT,4.0,,,0.06089326505369497
WT,4.0,,,0.057435662058586114
WT,4.0,,,0.03533252268580386
WT,4.0,,,0.07811238684787288
WT,4.0,,,0.08156124996913006
WT,4.0,,,0.041993435141143905
WT,4.0,,,0.06325372127512198
WT,4.0,,,0.0811379731914905
WT,4.0,,,0.03494650517436128
WT,4.0,,,0.01542191811382813
WT,4.0,,,0.03839486103196926
WT,4.0,,,0.053970685258824376
WT,4.0,,,0.016080790011422156
WT,4.0,,,0.015378398276003286
WT,4.0,,,0.03946911187394956
WT,4.0,,,0.03556014638741948
WT,4.0,,,0.08555816530805628
WT,4.0,,,0.076287075335862
WT,4.0,,,0.07878077289110406
WT,4.0,,,0.03349341137516527
WT,4.0,,,0.041993435141143905
WT,4.0,,,0.02585269306511199
WT,4.0,,,0.04786169389037652
WT,4.0,,,0.048592833580702904
WT,4.0,,,0.10849104953142191
WT,4.0,,,0.07402566015812942
WT,4.0,,,0.05251560116177066
WT,4.0,,,0.04696831449484969
WT,4.0,,,0.03539013667896113
WT,4.0,,,0.028890461789615077
WT,4.0,,,0.04024412990436196
WT,4.0,,,0.008788832533580801
WT,4.0,,,0.023747476946820133
WT,4.0,,,0.03389330218649842
WT,4.0,,,0.03158346105659982
WT,4.0,,,0.06280699083166101
WT,4.0,,,0.02585269306511199
WT,4.0,,,0.0385630636181749
WT,4.0,,,0.05034887086658056
WT,4.0,,,0.04125460141576218
WT,4.0,,,0.03642199481551628
WT,4.0,,,0.01783886777092966
WT,4.0,,,0.08335252456906674
WT,4.0,,,0.046201522266916865
WT,4.0,,,0.06418845626480654
WT,4.0,,,0.09020969690944343
WT,4.0,,,0.04217077001235188
WT,4.0,,,0.01736246858682582
