condition,w_inter,trial_idx,seed,A_hat,noise_percentile,noise_threshold
WT,5,98,50540,0.06103267685,95,0.09318451675
WT,5,99,50541,0.04553215034,95,0.09318451675
WT,5.5,0,55442,0.05327756023,95,0.09192844364
WT,5.5,1,55443,0.1409046318,95,0.09192844364
WT,5.5,2,55444,0.03917253882,95,0.09192844364
WT,5.5,3,55445,0.04400521502,95,0.09192844364
WT,5.5,4,55446,0.0393412933,95,0.09192844364
WT,5.5,5,55447,0.04690631486,95,0.09192844364
WT,5.5,6,55448,0.04501879123,95,0.09192844364
WT,5.5,7,55449,0.01887770673,95,0.09192844364
WT,5.5,8,55450,0.07322587765,95,0.09192844364
WT,5.5,9,55451,0.06638940867,95,0.09192844364
WT,5.5,10,55452,0.05483457126,95,0.09192844364
WT,5.5,11,55453,0.09842989304,95,0.09192844364
WT,5.5,12,55454,0.02985312453,95,0.09192844364
WT,5.5,13,55455,0.04400811507,95,0.09192844364
WT,5.5,14,55456,0.06200287882,95,0.09192844364
WT,5.5,15,55457,0.01702471218,95,0.09192844364
WT,5.5,16,55458,0.06744226992,95,0.09192844364
WT,5.5,17,55459,0.01294759359,95,0.09192844364
WT,5.5,18,55460,0.05319645799,95,0.09192844364
WT,5.5,19,55461,0.03859024284,95,0.09192844364
WT,5.5,20,55462,0.01616992843,95,0.09192844364
WT,5.5,21,55463,0.01933601305,95,0.09192844364
WT,5.5,22,55464,0.07474066824,95,0.09192844364
WT,5.5,23,55465,0.02100011474,95,0.09192844364
WT,5.5,24,55466,0.03840603615,95,0.09192844364
WT,5.5,25,55467,0.02936133137,95,0.09192844364
WT,5.5,26,55468,0.01666326163,95,0.09192844364
WT,5.5,27,55469,0.04987224968,95,0.09192844364
WT,5.5,28,55470,0.110404901,95,0.09192844364
WT,5.5,29,55471,0.03301897565,95,0.09192844364
WT,5.5,30,55472,0.06991171876,95,0.09192844364
WT,5.5,31,55473,0.03704542958,95,0.09192844364
WT,5.5,32,55474,0.05100336795,95,0.09192844364
WT,5.5,33,55475,0.06900743054,95,0.09192844364
WT,5.5,34,55476,0.02677955776,95,0.09192844364
WT,5.5,35,55477,0.02818924371,95,0.09192844364
WT,5.5,36,55478,0.03415323987,95,0.09192844364
WT,5.5,37,55479,0.07228872486,95,0.09192844364
WT,5.5,38,55480,0.1118434971,95,0.09192844364
WT,5.5,39,55481,0.07235012147,95,0.09192844364
WT,5.5,40,55482,0.05689277521,95,0.09192844364
WT,5.5,41,55483,0.09158626209,95,0.09192844364
WT,5.5,42,55484,0.007619971082,95,0.09192844364
WT,5.5,43,55485,0.04928912922,95,0.09192844364
WT,5.5,44,55486,0.05188524607,95,0.09192844364
WT,5.5,45,55487,0.07840694395,95,0.09192844364
WT,5.5,46,55488,0.07651733144,95,0.09192844364
WT,5.5,47,55489,0.0684054121,95,0.09192844364
WT,5.5,48,55490,0.054522217,95,0.09192844364
WT,5.5,49,55491,0.03191166076,95,0.09192844364
WT,5.5,50,55492,0.05457505744,95,0.09192844364
WT,5.5,51,55493,0.0617739946,95,0.09192844364
WT,5.5,52,55494,0.03338961108,95,0.09192844364
WT,5.5,53,55495,0.05465067568,95,0.09192844364
WT,5.5,54,55496,0.004461937266,95,0.09192844364
WT,5.5,55,55497,0.04025275943,95,0.09192844364
WT,5.5,56,55498,0.0689878759,95,0.09192844364
WT,5.5,57,55499,0.08875438732,95,0.09192844364
WT,5.5,58,55500,0.06048514897,95,0.09192844364
WT,5.5,59,55501,0.07750701616,95,0.09192844364
WT,5.5,60,55502,0.03135201576,95,0.09192844364
WT,5.5,61,55503,0.09041702204,95,0.09192844364
WT,5.5,62,55504,0.05208384299,95,0.09192844364
WT,5.5,63,55505,0.02921951369,95,0.09192844364
WT,5.5,64,55506,0.02672150154,95,0.09192844364
WT,5.5,65,55507,0.04932095728,95,0.09192844364
WT,5.5,66,55508,0.06110114728,95,0.09192844364
WT,5.5,67,55509,0.04916111524,95,0.09192844364
WT,5.5,68,55510,0.02056267504,95,0.09192844364
WT,5.5,69,55511,0.08306719762,95,0.09192844364
WT,5.5,70,55512,0.02711589756,95,0.09192844364
WT,5.5,71,55513,0.03408851205,95,0.09192844364
WT,5.5,72,55514,0.04634529541,95,0.09192844364
WT,5.5,73,55515,0.03263690682,95,0.09192844364
WT,5.5,74,55516,0.0406337343,95,0.09192844364
WT,5.5,75,55517,0.03934939699,95,0.09192844364
WT,5.5,76,55518,0.008606730466,95,0.09192844364
WT,5.5,77,55519,0.05518294461,95,0.09192844364
WT,5.5,78,55520,0.04000131472,95,0.09192844364
WT,5.5,79,55521,0.04910612645,95,0.09192844364
WT,5.5,80,55522,0.1144421793,95,0.09192844364
WT,5.5,81,55523,0.04509343843,95,0.09192844364
WT,5.5,82,55524,0.06733082342,95,0.09192844364
WT,5.5,83,55525,0.0229904356,95,0.09192844364
WT,5.5,84,55526,0.06453167274,95,0.09192844364
WT,5.5,85,55527,0.06998395332,95,0.09192844364
WT,5.5,86,55528,0.06269371463,95,0.09192844364
WT,5.5,87,55529,0.07059342114,95,0.09192844364
WT,5.5,88,55530,0.08931546249,95,0.09192844364
WT,5.5,89,55531,0.08543683841,95,0.09192844364
WT,5.5,90,55532,0.0612625723,95,0.09192844364
WT,5.5,91,55533,0.03027915184,95,0.09192844364
WT,5.5,92,55534,0.05243094689,95,0.09192844364
WT,5.5,93,55535,0.03477127796,95,0.09192844364
WT,5.5,94,55536,0.04754224852,95,0.09192844364
WT,5.5,95,55537,0.08211005926,95,0.09192844364
WT,5.5,96,55538,0.03974382151,95,0.09192844364
WT,5.5,97,55539,0.04128244414,95,0.09192844364
WT,5.5,98,55540,0.03242043799,95,0.09192844364
WT,5.5,99,55541,0.01954885195,95,0.09192844364
WT,6,0,60442,0.009563106176,95,0.1067848843
WT,6,1,60443,0.09630051394,95,0.1067848843
WT,6,2,60444,0.05906259465,95,0.1067848843
WT,6,3,60445,0.04193360262,95,0.1067848843
WT,6,4,60446,0.05841345842,95,0.1067848843
WT,6,5,60447,0.08590270942,95,0.1067848843
WT,6,6,60448,0.0702837883,95,0.1067848843
WT,6,7,60449,0.1066887406,95,0.1067848843
WT,6,8,60450,0.0624495127,95,0.1067848843
WT,6,9,60451,0.03827148426,95,0.1067848843
WT,6,10,60452,0.04644901633,95,0.1067848843
WT,6,11,60453,0.05321286429,95,0.1067848843
WT,6,12,60454,0.1086116141,95,0.1067848843
WT,6,13,60455,0.06611755937,95,0.1067848843
WT,6,14,60456,0.01178894549,95,0.1067848843
WT,6,15,60457,0.06156511272,95,0.1067848843
WT,6,16,60458,0.037919458,95,0.1067848843
WT,6,17,60459,0.02368638556,95,0.1067848843
WT,6,18,60460,0.02419153,95,0.1067848843
WT,6,19,60461,0.01223417659,95,0.1067848843
WT,6,20,60462,0.03675479912,95,0.1067848843
WT,6,21,60463,0.0308061666,95,0.1067848843
WT,6,22,60464,0.01732724089,95,0.1067848843
WT,6,23,60465,0.05137580742,95,0.1067848843
WT,6,24,60466,0.06456316513,95,0.1067848843
WT,6,25,60467,0.04188080282,95,0.1067848843
WT,6,26,60468,0.02886669946,95,0.1067848843
