condition,trial_idx,seed,cue_deg,pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,snap_cue
WT_APP,7,1497586438,180.0,-0.0010438644641263106,-0.0027073686383008665,5000.0,30.0,0,0
WT_APP,8,432652533,180.0,0.02072152123824313,-0.004704672612622035,5000.0,30.0,0,0
WT_APP,9,202244314,180.0,-0.008991644858077406,-0.00520085616244529,5000.0,30.0,0,0
WT_APP,10,1130604997,180.0,-0.02509171539644731,-0.0008091233010231252,5000.0,30.0,0,0
WT_APP,11,2095133045,180.0,0.026853259563655262,-0.003075287488617346,5000.0,30.0,0,0
WT_APP,12,1580016183,180.0,-0.010556766439027034,0.007702011195465884,5000.0,30.0,0,0
WT_APP,13,1634535062,180.0,-0.03531056623623098,-0.00774151723345918,5000.0,30.0,0,0
WT_APP,14,1540770719,180.0,-0.045843964376145685,-0.00789031470085085,5000.0,30.0,0,0
WT_APP,15,1688060240,180.0,0.0185270867458218,-0.0027310056435923403,5000.0,30.0,0,0
WT_APP,16,1102145672,180.0,-0.007398333770511662,-0.00185994459316204,5000.0,30.0,0,0
WT_APP,17,275121930,180.0,-0.020364272751163707,0.0015545828116933014,5000.0,30.0,0,0
WT_APP,18,1803345590,180.0,-0.01017984545076904,-0.004740665948272505,5000.0,30.0,0,0
WT_APP,19,967196436,180.0,-0.009079376497805788,-0.0014279610651646729,5000.0,30.0,0,0
WT_APP,20,1074497555,180.0,-0.0036815386891898938,0.0006934465515058547,5000.0,30.0,0,0
WT_APP,21,796282693,180.0,-0.0004711840903299422,-0.006914333569551195,5000.0,30.0,0,0
WT_APP,22,392022359,180.0,0.002821837787040728,-0.004249718793744001,5000.0,30.0,0,0
WT_APP,23,1990212658,180.0,-0.01185447513041741,-0.00964782190517486,5000.0,30.0,0,0
WT_APP,24,1678403330,180.0,-0.0151128683670148,-0.0022096564571416465,5000.0,30.0,0,0
WT_APP,25,1382689815,180.0,-0.017074814344264878,0.003526792989335981,5000.0,30.0,0,0
WT_APP,26,864178266,180.0,0.011096148841737067,-0.0005713485460904715,5000.0,30.0,0,0
WT_APP,27,1766867109,180.0,-0.009501982893024114,-0.003038888339335322,5000.0,30.0,0,0
WT_APP,28,1171300112,180.0,0.01852615362564281,-0.004033351482373595,5000.0,30.0,0,0
WT_APP,29,952224740,180.0,-0.004209172539815733,-0.00492570396936594,5000.0,30.0,0,0
WT_APP,30,967354524,180.0,-0.011033131811286925,0.0061509895965948394,5000.0,30.0,0,0
WT_APP,31,487991438,180.0,-0.003357640599659189,-0.0029430133420813884,5000.0,30.0,0,0
WT_APP,32,197860368,180.0,-0.023084037509615754,-0.0032962189610897244,5000.0,30.0,0,0
WT_APP,33,1190961760,180.0,-0.01792654209196203,-0.01049435325094065,5000.0,30.0,0,0
WT_APP,34,1906728918,180.0,0.006321402616974383,-0.0008889236719290532,5000.0,30.0,0,0
WT_APP,35,137046513,180.0,-0.03656620603855494,-0.003382435819754388,5000.0,30.0,0,0
WT_APP,36,1843166518,180.0,-0.006615478337999179,-0.0021298373718057428,5000.0,30.0,0,0
WT_APP,37,1777324407,180.0,-0.012455024655152327,0.0044044122676201655,5000.0,30.0,0,0
WT_APP,38,594336917,180.0,-0.01134575567863428,-0.0007214215840035393,5000.0,30.0,0,0
WT_APP,39,1356488967,180.0,-0.025115754696895483,0.008769271189923725,5000.0,30.0,0,0
WT_APP,40,354826746,180.0,-0.04465691264760575,-0.009702114609653707,5000.0,30.0,0,0
WT_APP,41,1627981024,180.0,0.002690400828360286,-0.0024454099321627736,5000.0,30.0,0,0
WT_APP,42,1504361614,180.0,-0.0249557383589385,-0.01139684047173703,5000.0,30.0,0,0
WT_APP,43,761338718,180.0,-0.004280321031851706,-0.006391343034657439,5000.0,30.0,0,0
WT_APP,44,145857092,180.0,-0.016601301852250398,-0.004075704371343704,5000.0,30.0,0,0
WT_APP,45,2084558133,180.0,-0.023011732025200068,-0.003992791490805762,5000.0,30.0,0,0
WT_APP,46,957106589,180.0,0.013346103028372008,-0.0025927203264332027,5000.0,30.0,0,0
WT_APP,47,1917963002,180.0,0.0059299915462867605,0.0015215086152828643,5000.0,30.0,0,0
WT_APP,48,1455819991,180.0,0.002895739552621607,-8.649893439783165e-06,5000.0,30.0,0,0
WT_APP,49,1671565830,180.0,-0.005382227718479528,-0.0019467721455331806,5000.0,30.0,0,0
WT_APP,50,1631871623,180.0,-0.010823920636365942,-0.004461586401562194,5000.0,30.0,0,0
WT_APP,51,417983441,180.0,-0.023373141495547332,-0.0007073638359987245,5000.0,30.0,0,0
WT_APP,52,781482251,180.0,-0.041396123664683676,0.005630683859621381,5000.0,30.0,0,0
WT_APP,53,1002275723,180.0,-0.0024472270353780782,-0.005844790347858036,5000.0,30.0,0,0
WT_APP,54,1068999196,180.0,0.01699301426068938,0.0017124882711873981,5000.0,30.0,0,0
WT_APP,55,94067870,180.0,-0.00898980394285502,0.006571945424717308,5000.0,30.0,0,0
WT_APP,56,1173749071,180.0,-0.005682281899156296,-0.003685940104593372,5000.0,30.0,0,0
WT_APP,57,331334160,180.0,0.004895012713690024,-0.0025102231277769086,5000.0,30.0,0,0
WT_APP,58,1596387604,180.0,0.0009332693900784358,0.004628221629860021,5000.0,30.0,0,0
WT_APP,59,1466836456,180.0,0.019159178091859585,-0.0004007590586786124,5000.0,30.0,0,0
WT_APP,60,1981113449,180.0,-0.024582309448339442,-0.0030835689499964457,5000.0,30.0,0,0
WT_APP,61,1599364550,180.0,-0.050290417808835815,-0.005188247925864869,5000.0,30.0,0,0
WT_APP,62,787359109,180.0,-0.014204974994915718,-0.0029808229570842918,5000.0,30.0,0,0
WT_APP,63,2077711328,180.0,-0.019377996090343023,-0.001240743096998805,5000.0,30.0,0,0
WT_APP,64,882294416,180.0,-0.0008950737601135929,-0.004949706472124602,5000.0,30.0,0,0
WT_APP,65,699704628,180.0,-0.03045565095743314,-0.003598674192488815,5000.0,30.0,0,0
WT_APP,66,1944623248,180.0,-0.0006564712104829093,-0.0026985669327230224,5000.0,30.0,0,0
