condition,trial_idx,seed,cue_deg,pre_cue_asym,last_pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,balance_cue,correct_asymmetry,mean_abs_asym,asym_std,mean_abs_asym_precue,asym_std_precue
WT,78,1212254290,181.40625,nan,nan,0.022921443528779156,5000.0,30.0,0,1,1,0.11280643304829213,0.16085543800711954,nan,nan
WT,79,1438414599,181.40625,nan,nan,0.005532333282003763,5000.0,30.0,0,1,1,0.12259391075956122,0.17055523808345846,nan,nan
WT,80,2019291964,181.40625,nan,nan,-0.007648108929174661,5000.0,30.0,0,1,1,0.1186909600251986,0.15165762151517545,nan,nan
WT,81,938776596,181.40625,nan,nan,-0.011793165926168065,5000.0,30.0,0,1,1,0.11819571652656585,0.153639374377909,nan,nan
WT,82,345075200,181.40625,nan,nan,-0.024957493822684303,5000.0,30.0,0,1,1,0.08414676767539125,0.11033907243499254,nan,nan
WT,83,1788162809,181.40625,nan,nan,-0.031091602792056784,5000.0,30.0,0,1,1,0.10952015405335387,0.14922559539648902,nan,nan
WT,84,1352408538,181.40625,nan,nan,-0.004245840411640214,5000.0,30.0,0,1,1,0.13620520204685618,0.1810388803647286,nan,nan
WT,85,1503807854,181.40625,nan,nan,-0.020508424779908444,5000.0,30.0,0,1,1,0.12735123459199907,0.17071932993412978,nan,nan
WT,86,208792607,181.40625,nan,nan,-0.05019194400297325,5000.0,30.0,0,1,1,0.18410004225772839,0.21900404636137322,nan,nan
WT,87,670802254,181.40625,nan,nan,0.0478922289125345,5000.0,30.0,0,1,1,0.1902026872545099,0.21986135797497314,nan,nan
WT,88,1648932249,181.40625,nan,nan,-0.04544377632762662,5000.0,30.0,0,1,1,0.1760548962970622,0.2123619062840906,nan,nan
WT,89,1787264313,181.40625,nan,nan,0.07066449497133931,5000.0,30.0,0,1,1,0.20802474022607895,0.2304552384675182,nan,nan
WT,90,934620676,181.40625,nan,nan,0.02482611577106124,5000.0,30.0,0,1,1,0.1304436232891257,0.1703564001194734,nan,nan
WT,91,1728218297,181.40625,nan,nan,0.051253678355888246,5000.0,30.0,0,1,1,0.13921090089005772,0.16822191717148063,nan,nan
WT,92,1807519524,181.40625,nan,nan,0.04352883658244433,5000.0,30.0,0,1,1,0.1662866335094719,0.1976909447202597,nan,nan
WT,93,832103482,181.40625,nan,nan,-0.04974175017595842,5000.0,30.0,0,1,1,0.18509785124658573,0.21544414633531922,nan,nan
WT,94,1928628490,181.40625,nan,nan,-0.03034324356076035,5000.0,30.0,0,1,1,0.1754791377277265,0.21979953480870934,nan,nan
WT,95,619179887,181.40625,nan,nan,0.014950087356187273,5000.0,30.0,0,1,1,0.11500193416748374,0.15409282070572491,nan,nan
WT,96,514446424,181.40625,nan,nan,-0.009817830205429957,5000.0,30.0,0,1,1,0.11763822966642548,0.162448724630598,nan,nan
WT,97,1465647933,181.40625,nan,nan,0.052680305169610996,5000.0,30.0,0,1,1,0.18678914592076024,0.22274640434889584,nan,nan
WT,98,1367435607,181.40625,nan,nan,-0.053977928806224,5000.0,30.0,0,1,1,0.18516574306034,0.21731272475455202,nan,nan
WT,99,300116172,181.40625,nan,nan,0.004599930636117734,5000.0,30.0,0,1,1,0.13646294562134922,0.18037113993657403,nan,nan
WT,100,1788288545,181.40625,nan,nan,0.05558219016456885,5000.0,30.0,0,1,1,0.17115767780296598,0.20090471605171972,nan,nan
WT,101,429299595,181.40625,nan,nan,-0.00341097982462462,5000.0,30.0,0,1,1,0.11188911372526208,0.16798679958529483,nan,nan
WT,102,1728507682,181.40625,nan,nan,-0.045914637291476885,5000.0,30.0,0,1,1,0.18925442084272928,0.22027956677876845,nan,nan
WT,103,15810353,181.40625,nan,nan,-0.02400413200791171,5000.0,30.0,0,1,1,0.17286244351827298,0.21595808497474447,nan,nan
WT,104,1711206423,181.40625,nan,nan,-0.019781372066308436,5000.0,30.0,0,1,1,0.08766069719654773,0.12359418275704702,nan,nan
