offset_deg,amp_factor,n_trials,drift_mean_deg,drift_sd_deg,drift_sem_deg,collapse_prob,pre_amp_mean,post_amp_mean
80.0,1.5,5,7.197206008936493,3.440972488119693,1.5388496784284442,0.0,0.2752408710198838,0.28114237131203723
100.0,0.5,5,17.078661156293045,6.811829564374305,3.046342791416745,0.0,0.2752408710198838,0.25420952952520526
100.0,0.75,5,12.738176890881096,4.815681301399716,2.1536381495808836,0.0,0.2752408710198838,0.2580714367042075
100.0,1.0,5,8.398982311204026,3.119139679891641,1.3949216711109285,0.0,0.2752408710198838,0.26411324342276593
100.0,1.25,5,5.653686881721048,2.514100485444961,1.1243399175440307,0.0,0.2752408710198838,0.2700636098508465
100.0,1.5,5,4.066146342334254,2.3896250306113136,1.0686728018363825,0.0,0.2752408710198838,0.2750313540857326
130.0,0.5,5,13.497549065529114,4.654820417257189,2.0816989752082016,0.0,0.2752408710198838,0.22564464506663637
130.0,0.75,5,12.057083151551192,4.511871512180536,2.01777028139609,0.0,0.2752408710198838,0.2321507039611003
130.0,1.0,5,9.657425482384134,4.244778853295316,1.8983228130843868,0.0,0.2752408710198838,0.24248475441683143
130.0,1.25,5,7.852361979224786,4.1227827783783,1.843764509783866,0.0,0.2752408710198838,0.251808215713793
130.0,1.5,5,6.602756697475407,4.0977044479045714,1.8325491394435733,0.0,0.2752408710198838,0.25964336585197856
150.0,0.5,5,8.792878548148755,1.3786422028224166,0.6165475364321952,0.0,0.2752408710198838,0.21326603996080165
150.0,0.75,5,6.696180618068179,1.5045262094237575,0.6728445756403213,0.0,0.2752408710198838,0.22628145641540595
150.0,1.0,5,4.781874969078431,1.3745220754673115,0.6147049594638009,0.0,0.2752408710198838,0.24120679256428082
150.0,1.25,5,3.70280625547663,1.2729025286345008,0.5692593165516232,0.0,0.2752408710198838,0.2521406189261731
150.0,1.5,5,3.173034199524376,1.3493350138915656,0.6034409630964327,0.0,0.2752408710198838,0.2598057066304102
180.0,0.5,5,2.2376176354273314,2.690521997133521,1.2032380161098095,0.0,0.2752408710198838,0.1998448321945135
180.0,0.75,5,1.963453370827328,2.58501199233752,1.156052507503772,0.0,0.2752408710198838,0.21649599821542614
180.0,1.0,5,1.638358614883569,2.3645683431767757,1.0574671105574642,0.0,0.2752408710198838,0.23558101430039075
180.0,1.25,5,1.4296013025569432,2.325390682321736,1.039946327983204,0.0,0.2752408710198838,0.2486488392755534
180.0,1.5,5,1.2451622532138646,2.3472666845257377,1.0497295735840206,0.0,0.2752408710198838,0.2575175863240811
