offset_deg,amp_factor,trial_idx,displacement_deg,pre_amp,post_amp
5.0,1.5,9,-8.463250453836944,0.35466624771712657,0.05915837986189482
5.0,1.5,7,-8.08341452553971,0.30064608080875965,0.09757319930948768
10.0,0.5,0,3.8401507565194573,0.3334814202961932,0.20368891734488623
10.0,0.5,2,-2.279318101559448,0.33149778983500455,0.2692291516180143
10.0,0.5,1,-3.5107307907124032,0.3319547427044478,0.23642013129062145
10.0,0.5,3,6.2744095464929766,0.3135190313898682,0.24037177815847435
10.0,0.5,4,-1.3187675782830368,0.3786308716202599,0.2213202968150244
10.0,0.5,5,-6.308837682703489,0.327596243186111,0.18411504212588356
10.0,0.5,6,-16.47622666422613,0.312751996050056,0.20542981224031384
10.0,0.5,7,-1.8712685944785563,0.30064608080875965,0.2297337428838537
10.0,0.5,8,-4.214883254098674,0.35050866056334906,0.21889367995332953
10.0,0.75,0,1.7377515769157312,0.3334814202961932,0.14496439428841867
10.0,0.5,9,-2.5126735966548384,0.35466624771712657,0.2374170212678932
10.0,0.75,1,-5.9501710756994415,0.3319547427044478,0.1806030173866598
10.0,0.75,2,-4.467830566338698,0.33149778983500455,0.19415370861380454
10.0,0.75,4,-2.9941493489440085,0.3786308716202599,0.1603335216337548
10.0,0.75,3,5.262249775068191,0.3135190313898682,0.17616116710294658
10.0,0.75,5,-10.634333677828831,0.327596243186111,0.13040796614989517
10.0,0.75,6,-26.953232845050056,0.312751996050056,0.1517061240712228
10.0,0.75,7,-5.5529231175476435,0.30064608080875965,0.16451867657484479
10.0,0.75,8,-7.331398891038636,0.35050866056334906,0.1615872051127603
10.0,0.75,9,-6.08961790180706,0.35466624771712657,0.15465177865579735
10.0,1.0,0,0.45106845399550144,0.3334814202961932,0.11714053882198071
10.0,1.0,1,-7.3460664544873895,0.3319547427044478,0.15144326545516182
10.0,1.0,2,-4.9189511945898206,0.33149778983500455,0.1544785660890719
10.0,1.0,3,4.306602026851933,0.3135190313898682,0.14292269225323354
10.0,1.0,4,-4.022562310710608,0.3786308716202599,0.1326016383211634
10.0,1.0,5,-13.52206611432827,0.327596243186111,0.1054092465938963
10.0,1.0,6,-34.006481398460174,0.312751996050056,0.12632127809837632
10.0,1.0,7,-8.429968883738502,0.30064608080875965,0.1320302973481747
10.0,1.0,8,-9.553449837739265,0.35050866056334906,0.129324857607159
10.0,1.0,9,-10.520674493253754,0.35466624771712657,0.10603144290562384
10.0,1.25,0,0.04520390372370883,0.3334814202961932,0.10110881648010867
10.0,1.25,1,-8.265363571600947,0.3319547427044478,0.13495695223450963
10.0,1.25,2,-4.688220417539756,0.33149778983500455,0.1323743710153937
10.0,1.25,3,3.8799443786742147,0.3135190313898682,0.12280114116870798
10.0,1.25,4,-4.316960692099691,0.3786308716202599,0.11832543603543648
10.0,1.25,5,-14.248196572043772,0.327596243186111,0.09317176774558665
10.0,1.25,6,-38.02007512740978,0.312751996050056,0.11375816070670774
10.0,1.25,7,-10.412958979474618,0.30064608080875965,0.11448032840433021
10.0,1.25,8,-10.884997506719532,0.35050866056334906,0.11084038251910332
10.0,1.25,9,-14.416942419340653,0.35466624771712657,0.07956996309667466
10.0,1.5,0,0.5079949764278452,0.3334814202961932,0.0919156454653849
10.0,1.5,1,-8.617914999648203,0.3319547427044478,0.12554566192669717
10.0,1.5,2,-4.051144133634487,0.33149778983500455,0.11979923208803411
10.0,1.5,3,3.7088444134165197,0.3135190313898682,0.11078159090450693
10.0,1.5,4,-4.265084223557031,0.3786308716202599,0.11059281356048034
10.0,1.5,5,-13.39441462685082,0.327596243186111,0.08785234203328163
10.0,1.5,6,-39.7806541760431,0.312751996050056,0.10705243358835571
10.0,1.5,7,-11.267329148584023,0.30064608080875965,0.10509864356264709
10.0,1.5,8,-11.372588845324398,0.35050866056334906,0.10037641681008874
10.0,1.5,9,-16.518013911454528,0.35466624771712657,0.06526672755609118
15.0,0.5,0,3.371636902598799,0.3334814202961932,0.21222689151393584
15.0,0.5,1,-3.2168070981225276,0.3319547427044478,0.24768185503731588
15.0,0.5,2,-1.9245224764708568,0.33149778983500455,0.2811506363575518
15.0,0.5,3,5.604415482391609,0.3135190313898682,0.24778039731561358
15.0,0.5,4,-1.292443361221994,0.3786308716202599,0.23419557852698897
15.0,0.5,5,-6.708691551727619,0.327596243186111,0.1941932272093516
15.0,0.5,6,-15.390739674053254,0.312751996050056,0.21360654250108993
15.0,0.5,7,-2.082184395640833,0.30064608080875965,0.24148977714015032
15.0,0.5,8,-4.797888311507547,0.35050866056334906,0.22634519597886776
15.0,0.5,9,-2.131725657113458,0.35466624771712657,0.24855503343867563
15.0,0.75,0,0.2714531199022331,0.3334814202961932,0.1531617421648201
15.0,0.75,2,-4.646674158046769,0.33149778983500455,0.21407100168641827
15.0,0.75,1,-6.443725312145085,0.3319547427044478,0.19272238251718216
15.0,0.75,3,2.7386917074749473,0.3135190313898682,0.18100235339991255
15.0,0.75,4,-4.026181101236945,0.3786308716202599,0.17148947151793567
15.0,0.75,6,-25.56873685505918,0.312751996050056,0.16440601618951434
15.0,0.75,5,-11.446443970687204,0.327596243186111,0.140776265205502
15.0,0.75,7,-6.514469588005926,0.30064608080875965,0.17852012937792563
15.0,0.75,8,-9.246377390333913,0.35050866056334906,0.1712483580752436
15.0,0.75,9,-7.8558454581138175,0.35466624771712657,0.17100983029273642
15.0,1.0,0,-1.992914124687106,0.3334814202961932,0.12427800860080122
15.0,1.0,1,-8.832610567392763,0.3319547427044478,0.1625405122291377
15.0,1.0,2,-5.910492018246053,0.33149778983500455,0.17387333323158793
15.0,1.0,3,0.4513407052510841,0.3135190313898682,0.14750163255914922
15.0,1.0,4,-6.0085938450824035,0.3786308716202599,0.14021613067689984
15.0,1.0,5,-13.624792494173503,0.327596243186111,0.11663471816681736
15.0,1.0,6,-32.6905275716801,0.312751996050056,0.1395550520651049
15.0,1.0,7,-9.782275273530491,0.30064608080875965,0.14504209364787968
15.0,1.0,8,-12.46204188574778,0.35050866056334906,0.14105877990966253
15.0,1.0,9,-13.452724889548408,0.35466624771712657,0.12219155207690746
15.0,1.25,0,-3.2677234653317946,0.3334814202961932,0.10921587225243631
15.0,1.25,2,-6.342321807412181,0.33149778983500455,0.14977631813854073
15.0,1.25,1,-10.280586043917301,0.3319547427044478,0.14524657969691113
15.0,1.25,3,-0.922126122665677,0.3135190313898682,0.12893710294073848
15.0,1.25,4,-7.777571163101885,0.3786308716202599,0.12423665941947791
15.0,1.25,6,-37.45428320739601,0.312751996050056,0.12617175592251004
15.0,1.25,5,-14.118390124018028,0.327596243186111,0.10414183114578701
15.0,1.25,7,-11.652387098408816,0.30064608080875965,0.12603080994108096
15.0,1.25,8,-14.380070015350494,0.35050866056334906,0.12299832402529787
15.0,1.25,9,-17.38245000103137,0.35466624771712657,0.09509422620421644
15.0,1.5,0,-3.2960098837814606,0.3334814202961932,0.10127795516376485
15.0,1.5,1,-10.657476945070444,0.3319547427044478,0.13564650868244404
15.0,1.5,3,-1.1683023900841993,0.3135190313898682,0.11810651261227076
15.0,1.5,2,-6.2245313001562455,0.33149778983500455,0.13495033316795643
15.0,1.5,4,-8.802917434304355,0.3786308716202599,0.11605406396317583
15.0,1.5,5,-13.727269544619713,0.327596243186111,0.0976499129968175
15.0,1.5,6,-40.16026291049801,0.312751996050056,0.11906048284141414
15.0,1.5,7,-11.985133123863735,0.30064608080875965,0.11581521587246801
15.0,1.5,8,-15.121931423502513,0.35050866056334906,0.11203547942555755
15.0,1.5,9,-19.05068958249153,0.35466624771712657,0.07977575560805143
20.0,0.5,2,-0.9549997876229054,0.33149778983500455,0.2935961683636803
20.0,0.5,0,3.3199889798728437,0.3334814202961932,0.22484611465247065
20.0,0.5,1,-2.59692201687766,0.3319547427044478,0.2631493386801178
20.0,0.5,3,5.017957360200038,0.3135190313898682,0.2585800740967276
20.0,0.5,4,-0.9376509094522716,0.3786308716202599,0.24875117523131382
20.0,0.5,5,-6.353730079759688,0.327596243186111,0.20705220494051338
20.0,0.5,6,-13.7458544480696,0.312751996050056,0.22372341164147763
20.0,0.5,7,-1.8651921944386376,0.30064608080875965,0.2564520634457555
