phenotype,category,ko_count,run_idx,PYR,SOM,PV,VIP,NDNF
SOM β2,prediction,1,6,1.38369,0.855021,2.00802,2.02245,3.78706
SOM β2,prediction,1,7,1.41848,0.867001,2.02135,2.03443,3.81798
SOM β2,prediction,1,8,1.40248,0.862099,2.01636,2.02957,3.80617
SOM β2,prediction,1,9,1.41372,0.863851,2.01537,2.02913,3.80351
SOM β2,prediction,1,10,1.40353,0.862191,2.01574,2.0292,3.80592
SOM β2,prediction,1,11,1.38877,0.854565,2.00675,2.0226,3.78316
SOM β2,prediction,1,12,1.4209,0.870236,2.02452,2.03506,3.8241
SOM β2,prediction,1,13,1.42281,0.864637,2.01777,2.03456,3.80834
SOM β2,prediction,1,14,1.41452,0.864186,2.01737,2.03424,3.80669
SOM β2,prediction,1,15,1.41525,0.865021,2.01854,2.03104,3.81122
SOM β2,prediction,1,16,1.40659,0.863418,2.01747,2.02997,3.80985
SOM β2,prediction,1,17,1.40311,0.860591,2.01444,2.03003,3.80271
SOM β2,prediction,1,18,1.38114,0.854022,2.00543,2.01911,3.78197
SOM β2,prediction,1,19,1.42295,0.866386,2.01991,2.03542,3.81253
SOM β2,prediction,1,20,1.40747,0.864336,2.01788,2.03009,3.80882
SOM β2,prediction,1,21,1.3834,0.856977,2.00926,2.02057,3.78935
SOM β2,prediction,1,22,1.36981,0.850995,2.00217,2.01521,3.77396
SOM β2,prediction,1,23,1.41316,0.863826,2.01672,2.02997,3.80682
SOM β2,prediction,1,24,1.39392,0.858644,2.01178,2.02581,3.79494
SOM β2,prediction,1,25,1.42714,0.868609,2.02291,2.03708,3.82103
SOM β2,prediction,1,26,1.41991,0.863993,2.01731,2.03548,3.80706
SOM β2,prediction,1,27,1.4025,0.860529,2.01305,2.02823,3.79756
SOM β2,prediction,1,28,1.38825,0.856797,2.00896,2.02193,3.78959
SOM β2,prediction,1,29,1.39686,0.86024,2.01351,2.02673,3.80087
SOM β2,prediction,1,30,1.3966,0.858917,2.01235,2.02771,3.79589
SOM β2,prediction,1,31,1.38844,0.858776,2.01148,2.02229,3.79568
SOM β2,prediction,1,32,1.4166,0.864946,2.01866,2.03249,3.81235
SOM β2,prediction,1,33,1.40102,0.862804,2.0163,2.02871,3.80526
SOM β2,prediction,1,34,1.44156,0.874211,2.02951,2.0422,3.83723
SOM β2,prediction,1,35,1.37424,0.853011,2.00527,2.01756,3.7808
SOM β2,prediction,1,36,1.39724,0.860325,2.01261,2.02503,3.7975
SOM β2,prediction,1,37,1.3978,0.860624,2.01437,2.0279,3.8023
SOM β2,prediction,1,38,1.41503,0.865383,2.01936,2.03289,3.81258
SOM β2,prediction,1,39,1.3836,0.856746,2.00939,2.02344,3.7883
SOM β2,prediction,1,40,1.41607,0.865758,2.01903,2.03305,3.81153
SOM β2,prediction,1,41,1.40756,0.863869,2.01785,2.03088,3.80983
SOM β2,prediction,1,42,1.39518,0.858459,2.01225,2.02698,3.79576
SOM β2,prediction,1,43,1.41066,0.864104,2.01775,2.03311,3.8084
SOM β2,prediction,1,44,1.38071,0.854053,2.0063,2.01986,3.78347
SOM β2,prediction,1,45,1.39366,0.859632,2.01347,2.02605,3.79946
SOM β2,prediction,1,46,1.41324,0.865886,2.01989,2.03348,3.8136
SOM β2,prediction,1,47,1.40705,0.860825,2.01281,2.02712,3.79718
SOM β2,prediction,1,48,1.39743,0.859588,2.01269,2.02835,3.79679
SOM β2,prediction,1,49,1.35633,0.846423,1.99779,2.01174,3.7647
VIP α5,target,1,0,0.668803,4.77135,2.63694,0.0595396,0.113869
VIP α5,target,1,1,0.659214,4.72324,2.62545,0.0587986,0.117382
VIP α5,target,1,2,0.661651,4.72751,2.62885,0.0588206,0.118345
VIP α5,target,1,3,0.665781,4.73449,2.63171,0.0589597,0.117981
VIP α5,target,1,4,0.657358,4.69853,2.62197,0.0583731,0.120714
VIP α5,target,1,5,0.667976,4.75901,2.63502,0.0593394,0.115459
VIP α5,target,1,6,0.664883,4.75225,2.63374,0.0592078,0.115943
VIP α5,target,1,7,0.664186,4.74976,2.63386,0.0591388,0.116496
VIP α5,target,1,8,0.665431,4.75646,2.63407,0.0592549,0.115585
VIP α5,target,1,9,0.661278,4.72633,2.6272,0.0588414,0.117771
VIP α5,target,1,10,0.656763,4.70497,2.62274,0.0585019,0.119599
VIP α5,target,1,11,0.668031,4.74881,2.63493,0.0591516,0.117113
VIP α5,target,1,12,0.663493,4.73381,2.63002,0.0589138,0.117875
VIP α5,target,1,13,0.66466,4.73905,2.63125,0.0590314,0.116895
VIP α5,target,1,14,0.662787,4.73297,2.62973,0.0589075,0.117734
VIP α5,target,1,15,0.669267,4.75813,2.63576,0.0593288,0.115729
VIP α5,target,1,16,0.666707,4.72611,2.62958,0.0588892,0.118332
VIP α5,target,1,17,0.658613,4.7287,2.62737,0.0588148,0.117607
VIP α5,target,1,18,0.666389,4.75228,2.63332,0.0592421,0.115889
VIP α5,target,1,19,0.658628,4.72657,2.6264,0.0587959,0.117717
VIP α5,target,1,20,0.655078,4.69574,2.62143,0.0583316,0.120809
VIP α5,target,1,21,0.656635,4.69704,2.62175,0.0583459,0.120891
VIP α5,target,1,22,0.673655,4.781,2.6413,0.0596798,0.114023
VIP α5,target,1,23,0.660081,4.70753,2.62503,0.0585356,0.120204
VIP α5,target,1,24,0.659569,4.71431,2.62362,0.0586817,0.11827
VIP α5,target,1,25,0.671982,4.77396,2.63822,0.0595987,0.113886
VIP α5,target,1,26,0.658366,4.70702,2.6244,0.0585242,0.120137
VIP α5,target,1,27,0.660463,4.72866,2.62863,0.0588283,0.117943
VIP α5,target,1,28,0.658883,4.71439,2.62632,0.0585748,0.120139
VIP α5,target,1,29,0.656709,4.70355,2.62161,0.0585115,0.119064
VIP α5,target,1,30,0.661142,4.71979,2.62544,0.0587639,0.11801
VIP α5,target,1,31,0.662579,4.73267,2.6301,0.0588913,0.118175
VIP α5,target,1,32,0.658502,4.71081,2.62402,0.0585787,0.11923
VIP α5,target,1,33,0.664913,4.75435,2.63313,0.0592424,0.115409
VIP α5,target,1,34,0.664728,4.73599,2.62992,0.0590143,0.116917
VIP α5,target,1,35,0.667456,4.75457,2.63515,0.0592674,0.115858
VIP α5,target,1,36,0.668216,4.75272,2.63464,0.0592353,0.116722
VIP α5,target,1,37,0.661145,4.73794,2.62931,0.0590215,0.116302
VIP α5,target,1,38,0.665017,4.73643,2.6307,0.0589884,0.117439
VIP α5,target,1,39,0.666791,4.74835,2.63251,0.059178,0.116156
VIP α5,target,1,40,0.658663,4.71986,2.62511,0.0587062,0.118366
VIP α5,target,1,41,0.665691,4.73371,2.62884,0.0589902,0.117212
VIP α5,target,1,42,0.660331,4.71902,2.62626,0.0586931,0.118907
VIP α5,target,1,43,0.658165,4.73136,2.6266,0.0588699,0.117129
VIP α5,target,1,44,0.667249,4.76575,2.63766,0.0593883,0.115288
VIP α5,target,1,45,0.660782,4.73471,2.62947,0.0589178,0.117565
VIP α5,target,1,46,0.662133,4.73011,2.62854,0.0588677,0.117977
VIP α5,target,1,47,0.660056,4.71631,2.62524,0.0587137,0.118475
VIP α5,target,1,48,0.66266,4.75204,2.63129,0.0592268,0.115054
VIP α5,target,1,49,0.665748,4.75247,2.63266,0.0592477,0.115479
NDNF α7,target,1,0,1.68869,1.00256,1.65091,4.63827,3.0565
NDNF α7,target,1,1,1.67507,0.998442,1.64635,4.62033,3.0364
NDNF α7,target,1,2,1.66243,0.996149,1.64373,4.61084,3.02782
NDNF α7,target,1,3,1.68077,1.00008,1.64807,4.62748,3.04326
NDNF α7,target,1,4,1.69721,1.00326,1.6515,4.64149,3.05892
NDNF α7,target,1,5,1.68837,1.00161,1.65042,4.63916,3.05432
NDNF α7,target,1,6,1.68009,0.999037,1.64705,4.62623,3.04262
NDNF α7,target,1,7,1.69014,1.00117,1.6492,4.63012,3.045
NDNF α7,target,1,8,1.67825,0.999531,1.6475,4.6238,3.04
NDNF α7,target,1,9,1.69368,1.00208,1.65039,4.63795,3.05419
NDNF α7,target,1,10,1.66692,0.9976,1.64541,4.61387,3.02622
NDNF α7,target,1,11,1.66322,0.996666,1.64408,4.6151,3.03726
NDNF α7,target,1,12,1.68432,1.00058,1.64848,4.63048,3.04991
NDNF α7,target,1,13,1.6897,1.0009,1.64881,4.62984,3.04798
NDNF α7,target,1,14,1.68972,1.00072,1.64861,4.63249,3.05024
NDNF α7,target,1,15,1.70507,1.00223,1.65028,4.63987,3.05627
NDNF α7,target,1,16,1.68423,1.00156,1.64986,4.63362,3.05274
NDNF α7,target,1,17,1.67396,0.998745,1.64641,4.62265,3.03958
NDNF α7,target,1,18,1.66982,0.997739,1.64513,4.61529,3.03256
NDNF α7,target,1,19,1.68061,0.999984,1.64816,4.63077,3.04867
NDNF α7,target,1,20,1.67776,0.999308,1.64721,4.62609,3.04484
NDNF α7,target,1,21,1.68635,1.00191,1.65063,4.63464,3.04795
NDNF α7,target,1,22,1.7091,1.0044,1.65285,4.65014,3.06836
NDNF α7,target,1,23,1.68953,1.0014,1.64939,4.63409,3.05304
NDNF α7,target,1,24,1.68733,1.00117,1.64934,4.6308,3.04661
NDNF α7,target,1,25,1.69053,1.00201,1.6505,4.63724,3.054
NDNF α7,target,1,26,1.68556,1.00103,1.64926,4.63336,3.04942
NDNF α7,target,1,27,1.73327,1.00955,1.65837,4.67199,3.09188
NDNF α7,target,1,28,1.68689,1.00051,1.6484,4.63083,3.0481
NDNF α7,target,1,29,1.68909,1.00184,1.65019,4.6354,3.04964
NDNF α7,target,1,30,1.68243,1.00019,1.64762,4.62997,3.05239
NDNF α7,target,1,31,1.68488,0.999689,1.6473,4.62509,3.04295
NDNF α7,target,1,32,1.67355,0.998028,1.64589,4.62058,3.03802
NDNF α7,target,1,33,1.67979,0.999474,1.64784,4.62643,3.03969
NDNF α7,target,1,34,1.66967,0.999376,1.64785,4.62469,3.03823
NDNF α7,target,1,35,1.6822,1.00013,1.64816,4.62927,3.04692
NDNF α7,target,1,36,1.67406,0.998668,1.64655,4.62138,3.03695
NDNF α7,target,1,37,1.70362,1.00312,1.65092,4.64123,3.06107
NDNF α7,target,1,38,1.6406,0.99289,1.64019,4.59506,3.00818
NDNF α7,target,1,39,1.70883,1.00263,1.65043,4.64151,3.06036
NDNF α7,target,1,40,1.71336,1.00506,1.65361,4.65137,3.06856
NDNF α7,target,1,41,1.65733,0.995595,1.64306,4.61056,3.02917
NDNF α7,target,1,42,1.67079,0.996815,1.64429,4.61554,3.03402
NDNF α7,target,1,43,1.724,1.0069,1.65586,4.65941,3.07454
NDNF α7,target,1,44,1.6548,0.995346,1.64292,4.60756,3.02392
NDNF α7,target,1,45,1.68581,1.00043,1.64864,4.63177,3.0474
NDNF α7,target,1,46,1.69349,1.00247,1.65094,4.64074,3.05815
NDNF α7,target,1,47,1.69939,1.00363,1.65211,4.64546,3.06294
NDNF α7,target,1,48,1.70753,1.00383,1.65181,4.64547,3.06443
NDNF α7,target,1,49,1.69695,1.00236,1.65046,4.63772,3.05462
NDNF β2,prediction,1,0,1.49842,1.08548,1.44391,4.3851,2.23029
NDNF β2,prediction,1,1,1.5202,1.08999,1.44787,4.40388,2.24173
NDNF β2,prediction,1,2,1.52609,1.09175,1.44902,4.41272,2.24878
NDNF β2,prediction,1,3,1.514,1.08921,1.44706,4.40189,2.24173
NDNF β2,prediction,1,4,1.51856,1.0889,1.44658,4.39826,2.23801
NDNF β2,prediction,1,5,1.52672,1.09022,1.44794,4.4073,2.24508
NDNF β2,prediction,1,6,1.53086,1.09221,1.44949,4.41375,2.24884
NDNF β2,prediction,1,7,1.52015,1.09014,1.44777,4.40588,2.24348
NDNF β2,prediction,1,8,1.51266,1.08692,1.44443,4.39344,2.23777
NDNF β2,prediction,1,9,1.50388,1.08634,1.44482,4.38799,2.23116
NDNF β2,prediction,1,10,1.52178,1.0906,1.44825,4.40797,2.24517
NDNF β2,prediction,1,11,1.51703,1.08766,1.44544,4.39939,2.24058
NDNF β2,prediction,1,12,1.49143,1.08367,1.44238,4.37801,2.22508
NDNF β2,prediction,1,13,1.54832,1.09523,1.45229,4.42985,2.25929
NDNF β2,prediction,1,14,1.51849,1.0878,1.44555,4.39738,2.23824
NDNF β2,prediction,1,15,1.50378,1.08727,1.44586,4.39312,2.23409
NDNF β2,prediction,1,16,1.5362,1.09295,1.45053,4.41838,2.25225
NDNF β2,prediction,1,17,1.53643,1.09178,1.4488,4.41347,2.24963
NDNF β2,prediction,1,18,1.54152,1.09337,1.44988,4.42051,2.25524
NDNF β2,prediction,1,19,1.51483,1.09016,1.4482,4.40505,2.24246
NDNF β2,prediction,1,20,1.53469,1.09353,1.45085,4.41992,2.25271
NDNF β2,prediction,1,21,1.49997,1.08572,1.44439,4.38725,2.2319
NDNF β2,prediction,1,22,1.53755,1.09253,1.44969,4.41585,2.25073
NDNF β2,prediction,1,23,1.49358,1.08425,1.44294,4.38142,2.22677
NDNF β2,prediction,1,24,1.48926,1.083,1.4419,4.37572,2.22227
NDNF β2,prediction,1,25,1.5143,1.09055,1.44848,4.40263,2.23988
NDNF β2,prediction,1,26,1.51846,1.0901,1.44793,4.40328,2.24148
NDNF β2,prediction,1,27,1.51441,1.08838,1.44644,4.39999,2.24013
NDNF β2,prediction,1,28,1.49507,1.08518,1.44385,4.38485,2.2284
