condition,trial_idx,seed,cue_deg,pre_cue_asym,last_pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,balance_cue,correct_asymmetry,mean_abs_asym,asym_std,mean_abs_asym_precue,asym_std_precue
WT,64,882294416,181.40625,nan,nan,0.049763983061245805,5000.0,35.0,0,1,1,0.2084079569425807,0.24830832551955295,nan,nan
WT,65,699704628,181.40625,nan,nan,0.05672739324866096,5000.0,35.0,0,1,1,0.22665325749838366,0.2640239150700992,nan,nan
WT,66,1944623248,181.40625,nan,nan,0.05243506718837579,5000.0,35.0,0,1,1,0.21109301903340436,0.2485072176628682,nan,nan
WT,67,795556160,181.40625,nan,nan,-0.03091724114851653,5000.0,35.0,0,1,1,0.1759953953766094,0.21949815513325666,nan,nan
WT,68,163945743,181.40625,nan,nan,-0.050864333841811146,5000.0,35.0,0,1,1,0.21851067190262152,0.25517254292470365,nan,nan
WT,69,1008363426,181.40625,nan,nan,0.04296598515916748,5000.0,35.0,0,1,1,0.21287201789059504,0.25505605645144047,nan,nan
WT,70,1708709735,181.40625,nan,nan,-0.045423723128001935,5000.0,35.0,0,1,1,0.2166921971540581,0.2572860747142932,nan,nan
WT,71,406886644,181.40625,nan,nan,-0.014843551850365613,5000.0,35.0,0,1,1,0.17044224021567647,0.21973691163022377,nan,nan
WT,72,994157306,181.40625,nan,nan,-0.045254977914504446,5000.0,35.0,0,1,1,0.19762768903766412,0.23945260432288445,nan,nan
WT,73,279004307,181.40625,nan,nan,0.013627923987807088,5000.0,35.0,0,1,1,0.17933768142546605,0.23465143292674726,nan,nan
WT,74,1474200731,181.40625,nan,nan,-0.01961482097514424,5000.0,35.0,0,1,1,0.17436955459035752,0.21487943210477897,nan,nan
WT,75,1021568549,181.40625,nan,nan,0.01732980071598636,5000.0,35.0,0,1,1,0.09106651978425784,0.13813415133584608,nan,nan
WT,76,709091226,181.40625,nan,nan,-0.04710830684920906,5000.0,35.0,0,1,1,0.19257560682876135,0.2357829206654257,nan,nan
WT,77,487284116,181.40625,nan,nan,0.019212972406467573,5000.0,35.0,0,1,1,0.15215396903970055,0.20301524356138395,nan,nan
WT,78,1212254290,181.40625,nan,nan,0.052469561083042765,5000.0,35.0,0,1,1,0.192794252491065,0.23243104075179882,nan,nan
WT,79,1438414599,181.40625,nan,nan,0.014545416547262284,5000.0,35.0,0,1,1,0.176502791863969,0.23222936995956098,nan,nan
WT,80,2019291964,181.40625,nan,nan,-0.04676029989112265,5000.0,35.0,0,1,1,0.22092703692294408,0.25795593512846204,nan,nan
WT,81,938776596,181.40625,nan,nan,-0.00622512262678853,5000.0,35.0,0,1,1,0.16531147175471236,0.2176081059343222,nan,nan
WT,82,345075200,181.40625,nan,nan,-0.03686729071369852,5000.0,35.0,0,1,1,0.18613554148933625,0.22749659770379882,nan,nan
WT,83,1788162809,181.40625,nan,nan,-0.042819048570218475,5000.0,35.0,0,1,1,0.15850325649402297,0.20972205846398492,nan,nan
WT,84,1352408538,181.40625,nan,nan,0.02877803393613324,5000.0,35.0,0,1,1,0.1408636281239703,0.1937576163330419,nan,nan
WT,85,1503807854,181.40625,nan,nan,0.029342165780501493,5000.0,35.0,0,1,1,0.16158757723240474,0.21019776074083377,nan,nan
WT,86,208792607,181.40625,nan,nan,-0.05782415587494444,5000.0,35.0,0,1,1,0.22401155338655884,0.25729308204469936,nan,nan
WT,87,670802254,181.40625,nan,nan,0.06006708619901962,5000.0,35.0,0,1,1,0.2244341272009988,0.2556851131365178,nan,nan
WT,88,1648932249,181.40625,nan,nan,-0.055011156788217566,5000.0,35.0,0,1,1,0.18388132263721726,0.23146849594511687,nan,nan
WT,89,1787264313,181.40625,nan,nan,0.06609434744039622,5000.0,35.0,0,1,1,0.21304580654549837,0.2404745451836388,nan,nan
WT,90,934620676,181.40625,nan,nan,0.06898653915937221,5000.0,35.0,0,1,1,0.20755222873458207,0.23518944726458496,nan,nan
WT,91,1728218297,181.40625,nan,nan,0.07527193199727789,5000.0,35.0,0,1,1,0.23114874417584974,0.25812155088195093,nan,nan
WT,92,1807519524,181.40625,nan,nan,0.0066925626233298365,5000.0,35.0,0,1,1,0.13364625351225687,0.18591739362342455,nan,nan
WT,93,832103482,181.40625,nan,nan,-0.056349926750463686,5000.0,35.0,0,1,1,0.22759009687370457,0.2592842923810454,nan,nan
