condition_key,amplitude,trial_idx,seed,eval_time_ms,center_mean_deg,center_std_deg,amplitude_mean,width_mean_deg,drift_rate_deg_per_s,diffusion_deg2_per_s,error_from_cue_deg
b2_KO_APP,100.0,7,1497586438,12150.0,179.9441974003028,4.2326655843565515,0.08409976191663332,57.17699670049542,62.96670837978567,131.53413596361156,0.055802599697187816
b2_KO_APP,100.0,7,1497586438,12350.0,174.79043654418234,6.737649093497775,0.07497430743766215,56.47129540349533,-110.18320460623428,590.9890056183976,5.2095634558176585
b2_KO_APP,100.0,7,1497586438,12550.0,183.64096570250635,10.554728749211101,0.06549791911988342,56.24801484079379,68.65011343272826,1242.090720429253,3.6409657025063495
b2_KO_APP,100.0,7,1497586438,12750.0,171.5064381630987,8.46480935209201,0.055843241416971036,55.88983709687985,-0.471058845964194,744.762776786999,8.493561836901307
b2_KO_APP,100.0,7,1497586438,12950.0,189.88986237303627,12.15482742173132,0.05673028857623021,55.69133444169137,78.81729645752259,1200.7149628354823,9.889862373036266
b2_KO_APP,100.0,7,1497586438,13150.0,177.06041089319987,12.691495923742394,0.05166674270999228,55.44659123383777,-144.19241932413215,1999.1930053904152,2.9395891068001276
b2_KO_APP,100.0,7,1497586438,13350.0,174.118279979042,28.81950817417415,0.03759461044802167,55.41897033436627,170.25248990083284,7944.96676373153,5.881720020957999
b2_KO_APP,100.0,7,1497586438,13550.0,187.56153602916226,23.49939224574957,0.04146111145396245,55.250788653112195,-378.56331356296107,5340.7780204884075,7.561536029162255
b2_KO_APP,100.0,7,1497586438,13750.0,158.40237233201233,25.241511131352155,0.04328837670737149,54.67484228845863,570.6199548042249,16280.356641038785,21.597627667987666
b2_KO_APP,100.0,7,1497586438,full_delay,178.26665952615366,17.19554606742822,0.07409560538279789,56.2698722999193,60.525132486544905,2822.8157113929196,1.73334047384634
b2_KO_APP,100.0,8,432652533,10950.0,180.22318399254675,55.21347413446692,0.08768704472343354,55.80723132100616,893.3621433886835,67483.709011308,0.22318399254675114
b2_KO_APP,100.0,8,432652533,11150.0,178.19230065280686,4.01397666853179,0.12892756748688006,57.504155416333425,54.42135944329465,205.0212845784595,1.807699347193136
b2_KO_APP,100.0,8,432652533,11350.0,181.73779581419518,5.367337958360176,0.10619939033497001,57.740414133899336,-10.632606913540315,309.8874494653241,1.7377958141951808
b2_KO_APP,100.0,8,432652533,11550.0,178.46050881887982,4.575545612497219,0.10324946080160342,57.34440868251356,-0.0853174475174967,170.73925823269008,1.5394911811201837
b2_KO_APP,100.0,8,432652533,11750.0,184.654426288965,5.039656036503837,0.11096926741428878,57.260549690875244,48.97318982467894,401.08545340293665,4.6544262889649985
b2_KO_APP,100.0,8,432652533,11950.0,183.3772781205346,6.141638438692388,0.09839932370093063,57.000017478907104,-73.6616830643581,665.394763474372,3.377278120534612
b2_KO_APP,100.0,8,432652533,12150.0,183.02239278651874,6.733809607914811,0.08767940095409783,57.29523999437138,12.104926660974513,444.454291757104,3.0223927865187363
b2_KO_APP,100.0,8,432652533,12350.0,174.36156549081727,6.864273689948365,0.0779339567654384,56.61287890493513,-48.17951872354982,603.585042578527,5.63843450918273
b2_KO_APP,100.0,8,432652533,12550.0,174.69639806543148,8.97041236076758,0.0595724723488246,56.38879123620768,25.3619519863598,1184.1702863552546,5.303601934568519
b2_KO_APP,100.0,8,432652533,12750.0,173.40122172809708,7.137421716530105,0.06412003548654091,56.311838682884364,36.191910390148365,584.1919156075276,6.5987782719029155
b2_KO_APP,100.0,8,432652533,12950.0,184.42532716606303,6.93902372864184,0.05855827642366299,55.98077596631684,-13.698839493688268,398.901293943492,4.425327166063028
b2_KO_APP,100.0,8,432652533,13150.0,151.75674814489923,29.31011702630331,0.046470152258206714,55.12550216080844,-8.87113339187735,14152.50595173003,28.243251855100766
b2_KO_APP,100.0,8,432652533,13350.0,174.1595396163366,21.52574688695852,0.044096552999233526,55.3739510769782,108.49308689837201,8289.72298743886,5.840460383663412
b2_KO_APP,100.0,8,432652533,13550.0,188.5723706377738,18.404832530881677,0.0348222093818806,54.84267358523797,117.75909363709303,3986.9171764906073,8.572370637773787
b2_KO_APP,100.0,8,432652533,13750.0,186.30507365049968,41.04017855148234,0.017903611410784708,54.71156075543134,-658.359070984649,21671.833317388504,6.305073650499679
b2_KO_APP,100.0,8,432652533,full_delay,178.34490735964292,20.889755373743608,0.077052006633998,56.107697310985245,56.02476053122408,5044.641698275213,1.6550926403570827
b2_KO_APP,100.0,9,202244314,10950.0,191.3960457745548,43.988194078316475,0.09917417285330425,56.05503760990886,-912.5248205212418,33359.038311969656,11.396045774554807
b2_KO_APP,100.0,9,202244314,11150.0,180.27496234221567,3.8929050937043064,0.12268328626522283,57.19277022833156,21.323762094058196,156.70409121091183,0.27496234221567306
