condition,amplitude,distractor_factor,offset_deg,phase_pi,trial_idx,seed,plv_mean_delay2,cue_power_mean_delay2,dist_power_mean_delay2
WT,20.0,1.0,120.0,0.125,6,280584697,0.21696161912102668,0.6480532023361957,0.5214888393366905
WT,20.0,1.0,120.0,0.125,7,617447500,0.28688510963436964,0.5932621640339274,0.5336800445559199
WT,20.0,1.0,120.0,0.125,8,1249765968,0.5346499371781115,0.6858615255494404,0.6025900928016493
WT,20.0,1.0,120.0,0.125,9,1504658074,0.6336495707295732,0.7948934369638511,0.5679238151207419
WT,20.0,1.0,120.0,0.125,10,1008898872,0.41088117344631336,0.8873727381920673,0.6646540589136077
WT,20.0,1.0,120.0,0.125,11,794319243,0.589049507014595,1.009634365419413,0.5692521105028973
WT,20.0,1.0,120.0,0.125,12,204008863,0.33179604027497006,0.6025717715163976,0.42604889138217883
WT,20.0,1.0,120.0,0.125,13,1880439445,0.45823523987205045,0.7208803424545919,0.42955146952992557
WT,20.0,1.0,120.0,0.125,14,1306372712,0.41311677571718114,0.8153157225231297,0.5212512873674273
WT,20.0,1.0,120.0,0.125,15,2122084012,0.4145996821214148,0.9009398073945178,0.5495751419290362
WT,20.0,1.0,120.0,0.125,16,1976297044,0.3458785752195101,0.8259068609514434,0.46323109028180504
WT,20.0,1.0,120.0,0.125,17,784548992,0.47728316970339474,0.8130009635787043,0.5051413607943949
WT,20.0,1.0,120.0,0.125,18,2121403537,0.3956127726055254,0.8557317028515665,0.3930228061405693
WT,20.0,1.0,120.0,0.125,19,347016859,0.2870277951469174,0.5937950209733112,0.5394073601145041
WT,20.0,1.0,120.0,0.125,20,527842052,0.35815875196755254,0.6424378099942968,0.5199261105756947
WT,20.0,1.0,120.0,0.125,21,215409799,0.33753472966478115,0.651574174462767,0.38563619465140353
WT,20.0,1.0,120.0,0.125,22,350632298,0.3853332415286383,0.5548415286785111,0.3932377081072937
WT,20.0,1.0,120.0,0.125,23,2071774379,0.4342874684550964,0.7752950626758753,0.5273321963606729
WT,20.0,1.0,120.0,0.125,24,1492822048,0.3885126167531113,0.7279525253965627,0.4064455371803362
WT,20.0,1.0,120.0,0.125,25,199233221,0.32398079391202667,0.8475956672570176,0.30023903860766166
WT,20.0,1.0,120.0,0.125,26,1395966768,0.3582803684275278,0.8232983649526963,0.47367548601978604
WT,20.0,1.0,120.0,0.125,27,786556690,0.49783303244070076,0.8865210649676474,0.4539743864207724
WT,20.0,1.0,120.0,0.125,28,649984770,0.6127179276650799,1.0344896810792574,0.6185017113826393
WT,20.0,1.0,120.0,0.125,29,337723248,0.3180766579780137,0.5759360167039937,0.38898383522174285
WT,20.0,1.0,120.0,0.125,30,1094264184,0.46934506521859104,0.8599453563734194,0.577099065349116
WT,20.0,1.0,120.0,0.125,31,2089154132,0.36231117518493855,0.7924199115700158,0.5009418225238953
WT,20.0,1.0,120.0,0.125,32,1584690825,0.4148795402867967,0.7491319542541213,0.358655410828123
WT,20.0,1.0,120.0,0.125,33,795962858,0.5724384949360487,0.7148653534857352,0.42332612355431093
WT,20.0,1.0,120.0,0.125,34,827737825,0.4636913450282435,0.9217371501457853,0.536998318122206
WT,20.0,1.0,120.0,0.125,35,234713593,0.2362691417415606,0.6545658197428783,0.47143937931271745
WT,20.0,1.0,120.0,0.125,36,885327366,0.32075826907777244,0.6521032926656801,0.4376154107932027
WT,20.0,1.0,120.0,0.125,37,928832081,0.3973808446344036,0.6180135275945828,0.40923623214649074
WT,20.0,1.0,120.0,0.125,38,1947615286,0.31465321049433415,0.6646999846510434,0.30047003515607723
WT,20.0,1.0,120.0,0.125,39,20360091,0.4671892907240038,0.9292933653748089,0.6108055983873412
WT,20.0,1.0,120.0,0.125,40,1806363173,0.47785317972279384,0.7336922988712545,0.45977315653948536
WT,20.0,1.0,120.0,0.125,41,1312343691,0.38167942489639656,0.6900105645190306,0.46398331597997233
WT,20.0,1.0,120.0,0.125,42,1762120781,0.37768557318446894,0.6904227153853393,0.39400509153994057
WT,20.0,1.0,120.0,0.125,43,1700607009,0.4823503874799153,0.8650346965964016,0.4472678670560684
WT,20.0,1.0,120.0,0.125,44,1634649145,0.43812004143386213,0.7771644387504676,0.6134293054485356
WT,20.0,1.0,120.0,0.125,45,1036024353,0.24721638590897754,0.721225450227061,0.39302685688769723
WT,20.0,1.0,120.0,0.125,46,261494503,0.31537574431935184,0.8152733743929588,0.4952328484432816
WT,20.0,1.0,120.0,0.125,47,2001682155,0.4894015851615486,0.8378200707158882,0.5843883495827473
WT,20.0,1.0,120.0,0.125,48,1311960750,0.3636226515464642,0.8975436927480014,0.4247548121996846
WT,20.0,1.0,120.0,0.125,49,295114914,0.27677007606065546,0.559663817328122,0.534035364526697
WT,20.0,1.0,120.0,0.125,50,2006889349,0.4804826566338466,0.7076705009663458,0.5059728221637578
WT,20.0,1.0,120.0,0.125,51,1524829245,0.3819451709429213,0.8035741332751242,0.5894903678195166
WT,20.0,1.0,120.0,0.125,52,319434624,0.2514763987035027,0.7058654003741555,0.4442651991261767
WT,20.0,1.0,120.0,0.125,53,2032667552,0.5485046346798021,0.7350775677103095,0.44170732737368784
WT,20.0,1.0,120.0,0.125,54,1564774687,0.3578402381164042,0.6581631519865678,0.38753142301843596
WT,20.0,1.0,120.0,0.125,55,2092577640,0.4807835169848626,0.9239944767377594,0.42805319295399546
WT,20.0,1.0,120.0,0.125,56,1166111204,0.48036890172216784,0.9890976228666248,0.4068431139207958
WT,20.0,1.0,120.0,0.125,57,1607521147,0.43898846612727666,0.8953261783131675,0.4200165332812034
WT,20.0,1.0,120.0,0.125,58,1324596573,0.5018571889838946,0.8176357308157652,0.5525561339177258
WT,20.0,1.0,120.0,0.125,59,1726642687,0.365145276148886,0.5599133513253111,0.3668385071469646
WT,20.0,1.0,120.0,0.125,60,1888313977,0.424404412502399,0.5646229913774591,0.5040678994143328
WT,20.0,1.0,120.0,0.125,61,1985561720,0.3987709283499364,0.6435078067595026,0.4630437062320358
WT,20.0,1.0,120.0,0.125,62,485771147,0.49304252351315436,0.8135881997584302,0.6766288096611863
WT,20.0,1.0,120.0,0.125,63,1796771385,0.381539886529359,0.7262674575643752,0.4060605343518804
WT,20.0,1.0,120.0,0.125,64,766643757,0.4265877873654094,0.7457825209166572,0.45716407868355025
WT,20.0,1.0,120.0,0.125,65,554969948,0.2732455560410489,0.7719924946844211,0.46609748092381936
