condition,amplitude,w_inter,trial_idx,seed,ref_amplitude,end_val_normalized
WT,25.0,8.0,3,1702858716,0.6188314628536381,0.9516161352004197
WT,25.0,8.0,4,1895310323,0.6150316203470759,0.9516161352004197
WT,25.0,8.0,5,211694680,0.6341595967999732,0.9516161352004197
WT,25.0,8.0,6,280584697,0.6177221795942098,0.9516161352004197
WT,25.0,8.0,7,617447500,0.6150339823119496,0.9516161352004197
WT,25.0,8.0,8,1249765968,0.6120508046387257,0.9516161352004197
WT,25.0,8.0,9,1504658074,0.6226359159090505,0.9516161352004197
WT,25.0,8.0,10,1008898872,0.6222696177575167,0.9516161352004197
WT,25.0,8.0,11,794319243,0.6242821903484894,0.9516161352004197
WT,25.0,8.0,12,204008863,0.6172762230406762,0.9516161352004197
WT,25.0,8.0,13,1880439445,0.6236052017405281,0.9516161352004197
WT,25.0,8.0,14,1306372712,0.6157016304061089,0.9516161352004197
WT,25.0,8.0,15,2122084012,0.6156758577851746,0.9516161352004197
WT,25.0,8.0,16,1976297044,0.6080146234331321,0.9516161352004197
WT,25.0,8.0,17,784548992,0.625255346521338,0.9516161352004197
WT,25.0,8.0,18,2121403537,0.6197427716758876,0.9516161352004197
WT,25.0,8.0,19,347016859,0.6307546504834417,0.9516161352004197
WT,25.0,8.0,20,527842052,0.6169543191942811,0.9516161352004197
WT,25.0,8.0,21,215409799,0.6174855804917115,0.9516161352004197
WT,25.0,8.0,22,350632298,0.6222665341000855,0.9516161352004197
WT,25.0,8.0,23,2071774379,0.6333023458951763,0.9516161352004197
WT,25.0,8.0,24,1492822048,0.6340698757923164,0.9516161352004197
WT,25.0,8.0,25,199233221,0.6208335798212842,0.9516161352004197
WT,25.0,8.0,26,1395966768,0.626175508174067,0.9516161352004197
WT,25.0,8.0,27,786556690,0.61257905211733,0.9516161352004197
WT,25.0,8.0,28,649984770,0.6137369354388578,0.9516161352004197
WT,25.0,8.0,29,337723248,0.6246807369250464,0.9516161352004197
WT,25.0,8.0,30,1094264184,0.6161376810114144,0.9516161352004197
