condition,w_inter,trial_idx,seed,A_hat,cap_hit,noise_percentile,noise_threshold
WT,0.0019166667,23,485,0.008122395284,0,95,0.02965638812
WT,0.0019166667,24,486,0.009419298879,0,95,0.02965638812
WT,0.0019166667,25,487,0.02843219704,0,95,0.02965638812
WT,0.0019166667,26,488,0.0111283179,0,95,0.02965638812
WT,0.0019166667,27,489,0.005425898763,0,95,0.02965638812
WT,0.0019166667,28,490,0.03127975327,0,95,0.02965638812
WT,0.0019166667,29,491,0.007070408059,0,95,0.02965638812
WT,0.0019166667,30,492,0.01322009443,0,95,0.02965638812
WT,0.0019166667,31,493,0.01022750359,0,95,0.02965638812
WT,0.0019166667,32,494,0.0325852224,0,95,0.02965638812
WT,0.0019166667,33,495,0.002498525025,0,95,0.02965638812
WT,0.0019166667,34,496,0.008901277067,0,95,0.02965638812
WT,0.0019166667,35,497,0.009555334889,0,95,0.02965638812
WT,0.0019166667,36,498,0.01879426777,0,95,0.02965638812
WT,0.0019166667,37,499,0.005014899677,0,95,0.02965638812
WT,0.0019166667,38,500,0.008966790574,0,95,0.02965638812
WT,0.0019166667,39,501,0.007968269596,0,95,0.02965638812
WT,0.0019166667,40,502,0.006199556983,0,95,0.02965638812
WT,0.0019166667,41,503,0.02073971481,0,95,0.02965638812
WT,0.0019166667,42,504,0.02180454713,0,95,0.02965638812
WT,0.0019166667,43,505,0.002867590118,0,95,0.02965638812
WT,0.0019166667,44,506,0.02965415258,0,95,0.02965638812
WT,0.0019166667,45,507,0.02053642707,0,95,0.02965638812
WT,0.0019166667,46,508,0.01380305731,0,95,0.02965638812
WT,0.0019166667,47,509,0.01574698238,0,95,0.02965638812
WT,0.0019166667,48,510,0.03199541632,0,95,0.02965638812
WT,0.0019166667,49,511,0.004302207941,0,95,0.02965638812
WT,0.0019166667,50,512,0.01206199786,0,95,0.02965638812
WT,0.0019166667,51,513,0.02335585706,0,95,0.02965638812
WT,0.0019166667,52,514,0.008162505322,0,95,0.02965638812
WT,0.0019166667,53,515,0.02726139673,0,95,0.02965638812
WT,0.0019166667,54,516,0.03143803442,0,95,0.02965638812
WT,0.0019166667,55,517,0.005869633238,0,95,0.02965638812
WT,0.0019166667,56,518,0.01141740068,0,95,0.02965638812
WT,0.0019166667,57,519,0.01385122184,0,95,0.02965638812
WT,0.0019166667,58,520,0.005131844128,0,95,0.02965638812
WT,0.0019166667,59,521,0.01145969248,0,95,0.02965638812
WT,0.0019166667,60,522,0.01855246941,0,95,0.02965638812
WT,0.0019166667,61,523,0.01191290335,0,95,0.02965638812
WT,0.0019166667,62,524,0.01351436727,0,95,0.02965638812
WT,0.0019166667,63,525,0.01124433831,0,95,0.02965638812
WT,0.0019166667,64,526,0.01906753285,0,95,0.02965638812
WT,0.0019166667,65,527,0.009670919448,0,95,0.02965638812
WT,0.0019166667,66,528,0.01841923585,0,95,0.02965638812
WT,0.0019166667,67,529,0.005046753721,0,95,0.02965638812
WT,0.0019166667,68,530,0.0286777387,0,95,0.02965638812
WT,0.0019166667,69,531,0.01232945447,0,95,0.02965638812
WT,0.0019166667,70,532,0.0141209147,0,95,0.02965638812
WT,0.0019166667,71,533,0.02319116403,0,95,0.02965638812
WT,0.0019166667,72,534,0.01112356512,0,95,0.02965638812
WT,0.0019166667,73,535,0.02117681918,0,95,0.02965638812
WT,0.0019166667,74,536,0.02394042609,0,95,0.02965638812
WT,0.0019166667,75,537,0.009396614132,0,95,0.02965638812
WT,0.0019166667,76,538,0.0145920811,0,95,0.02965638812
WT,0.0019166667,77,539,0.01499908566,0,95,0.02965638812
WT,0.0019166667,78,540,0.0037333878,0,95,0.02965638812
WT,0.0019166667,79,541,0.01118694329,0,95,0.02965638812
WT,0.0019166667,80,542,0.00513853851,0,95,0.02965638812
WT,0.0019166667,81,543,0.02029993874,0,95,0.02965638812
WT,0.0019166667,82,544,0.02143409483,0,95,0.02965638812
WT,0.0019166667,83,545,0.00719203955,0,95,0.02965638812
WT,0.0019166667,84,546,0.0155460145,0,95,0.02965638812
WT,0.0019166667,85,547,0.02479349423,0,95,0.02965638812
WT,0.0019166667,86,548,0.01398327384,0,95,0.02965638812
WT,0.0019166667,87,549,0.02646415967,0,95,0.02965638812
WT,0.0019166667,88,550,0.01236651837,0,95,0.02965638812
WT,0.0019166667,89,551,0.01036079484,0,95,0.02965638812
WT,0.0019166667,90,552,0.01842686076,0,95,0.02965638812
WT,0.0019166667,91,553,0.00408844762,0,95,0.02965638812
WT,0.0019166667,92,554,0.0115831131,0,95,0.02965638812
WT,0.0019166667,93,555,0.02005002399,0,95,0.02965638812
WT,0.0019166667,94,556,0.006996477323,0,95,0.02965638812
WT,0.0019166667,95,557,0.007239781968,0,95,0.02965638812
WT,0.0019166667,96,558,0.01645883138,0,95,0.02965638812
WT,0.0019166667,97,559,0.008619273441,0,95,0.02965638812
WT,0.0019166667,98,560,0.01419054543,0,95,0.02965638812
WT,0.0019166667,99,561,0.009058793178,0,95,0.02965638812
WT,0.002,0,462,0.00706844792,0,95,0.04448642615
WT,0.002,1,463,0.01778905081,0,95,0.04448642615
WT,0.002,2,464,0.01081806357,0,95,0.04448642615
WT,0.002,3,465,0.02840820739,0,95,0.04448642615
WT,0.002,4,466,0.01880740248,0,95,0.04448642615
WT,0.002,5,467,0.01957831728,0,95,0.04448642615
WT,0.002,6,468,0.003238685575,0,95,0.04448642615
WT,0.002,7,469,0.01613216035,0,95,0.04448642615
WT,0.002,8,470,0.0336131037,0,95,0.04448642615
WT,0.002,9,471,0.04130031849,0,95,0.04448642615
WT,0.002,10,472,0.01878466683,0,95,0.04448642615
WT,0.002,11,473,0.0171269626,0,95,0.04448642615
WT,0.002,12,474,0.02443144746,0,95,0.04448642615
WT,0.002,13,475,0.03197122286,0,95,0.04448642615
WT,0.002,14,476,0.02064654081,0,95,0.04448642615
WT,0.002,15,477,0.01540417036,0,95,0.04448642615
WT,0.002,16,478,0.02651512292,0,95,0.04448642615
WT,0.002,17,479,0.03960140436,0,95,0.04448642615
WT,0.002,18,480,0.03606796757,0,95,0.04448642615
WT,0.002,19,481,0.0244303237,0,95,0.04448642615
WT,0.002,20,482,0.0215607324,0,95,0.04448642615
WT,0.002,21,483,0.002598711485,0,95,0.04448642615
WT,0.002,22,484,0.02723276769,0,95,0.04448642615
WT,0.002,23,485,0.008795688261,0,95,0.04448642615
WT,0.002,24,486,0.01288068248,0,95,0.04448642615
WT,0.002,25,487,0.03800121458,0,95,0.04448642615
WT,0.002,26,488,0.01613613114,0,95,0.04448642615
WT,0.002,27,489,0.01524196879,0,95,0.04448642615
WT,0.002,28,490,0.04566276063,0,95,0.04448642615
WT,0.002,29,491,0.007461206134,0,95,0.04448642615
WT,0.002,30,492,0.01736209373,0,95,0.04448642615
WT,0.002,31,493,0.0181111817,0,95,0.04448642615
WT,0.002,32,494,0.04824853926,0,95,0.04448642615
WT,0.002,33,495,0.001386705244,0,95,0.04448642615
WT,0.002,34,496,0.01626821679,0,95,0.04448642615
WT,0.002,35,497,0.01454255756,0,95,0.04448642615
WT,0.002,36,498,0.01817018044,0,95,0.04448642615
WT,0.002,37,499,0.01171839802,0,95,0.04448642615
WT,0.002,38,500,0.007813434292,0,95,0.04448642615
WT,0.002,39,501,0.01083919217,0,95,0.04448642615
WT,0.002,40,502,0.005432757175,0,95,0.04448642615
WT,0.002,41,503,0.02414376238,0,95,0.04448642615
WT,0.002,42,504,0.02658274028,0,95,0.04448642615
WT,0.002,43,505,0.003101896605,0,95,0.04448642615
