condition,amplitude,distractor_factor,offset_deg,trial_idx,seed,cue_freq_median_hz,cue_power_median,dist_freq_median_hz,dist_power_median,plv_median_delay2
WT_APP,25.0,0.75,30.0,25,199233221,5.301960199426566,37.04352416535162,5.3286243359152445,28.20588538017948,0.988715626606383
WT_APP,25.0,0.75,30.0,26,1395966768,5.193320898114227,30.812299581424607,5.185493036463818,31.23918223364286,0.9888708505712719
WT_APP,25.0,0.75,30.0,27,786556690,5.295114035755063,25.73275779895118,5.207188853026728,24.95230373583966,0.9894681140626577
WT_APP,25.0,0.75,30.0,28,649984770,5.231913342821041,35.27489757931487,5.305247822759851,26.01611305263472,0.9870579437050278
WT_APP,25.0,0.75,30.0,29,337723248,5.599031985757017,23.89947973306975,5.495399808966866,23.01661209300658,0.9825728240354071
WT_APP,25.0,0.75,30.0,30,1094264184,5.499206964024904,17.421367932874137,5.52135203830076,19.946359935055685,0.9733248314851245
WT_APP,25.0,0.75,30.0,31,2089154132,5.27719333672853,30.840858866210016,5.229717097167754,32.2525486122865,0.9890973099447065
WT_APP,25.0,0.75,30.0,32,1584690825,5.386603659871869,31.76175097724098,5.3957585564716535,31.953643669957554,0.9752167802825416
WT_APP,25.0,0.75,30.0,33,795962858,5.201573726097104,30.011954221469068,5.195985224070815,31.405771634626785,0.9916018748597712
WT_APP,25.0,0.75,30.0,34,827737825,5.305231779219794,33.03436915039445,5.303783084056939,22.93550917567417,0.9915413475817896
WT_APP,25.0,0.75,30.0,35,234713593,5.4621657477211105,30.891685947329794,5.49247412341892,25.82695819761038,0.9766877089613608
WT_APP,25.0,0.75,30.0,36,885327366,5.222250652311526,26.87406400220737,5.290237400074857,27.165673186369077,0.987982827695252
WT_APP,25.0,0.75,30.0,37,928832081,5.482351892086215,23.026861341396653,5.4683112706633725,21.41519188111271,0.9735556869936154
WT_APP,25.0,0.75,30.0,38,1947615286,5.468481237771567,25.3772947363759,5.351388521082321,25.079274543238395,0.9767726069102889
WT_APP,25.0,0.75,30.0,39,20360091,5.334847528756489,29.371613835294884,5.342969826134782,29.19152919835888,0.9921659598977153
