cond_key,w_pv,w_pyr,amp,trial_idx,seed,resting_hz,cue_peak_hz,cue_saturated,delay_rest_frac,delay_bump_frac,delay_sat_frac,delay_mean_peak_hz,bump_lo_hz
WT,0.03,0.001,0.55,4,1895310323,0.00014382276037832695,200.0,True,0.702,0.209,0.089,25.05654144043929,10.0
WT,0.03,0.001,0.55,2,1293255992,0.00014382276037832695,200.0,True,0.702,0.213,0.085,24.50576665899304,10.0
WT,0.03,0.001,0.55,3,1702858716,0.00014382276037832695,200.0,True,0.678,0.228,0.094,26.733415854597883,10.0
WT,0.03,0.001,0.55,1,921289450,0.00014382276037832695,200.0,True,0.673,0.26,0.067,25.152822410032954,10.0
WT,0.03,0.001,0.55,6,280584697,0.00014382276037832695,200.0,True,0.696,0.204,0.1,25.82568365149446,10.0
WT,0.03,0.001,0.55,5,211694680,0.00014382276037832695,200.0,True,0.688,0.234,0.078,24.760219770990226,10.0
WT,0.03,0.001,0.55,7,617447500,0.00014382276037832695,200.0,True,0.713,0.22,0.067,22.454293850140242,10.0
WT,0.03,0.001,0.55,8,1249765968,0.00014382276037832695,200.0,True,0.679,0.241,0.08,25.12482351395162,10.0
WT,0.03,0.001,0.55,9,1504658074,0.00014382276037832695,200.0,True,0.671,0.232,0.097,27.19348446304619,10.0
WT,0.03,0.001,0.55,10,1008898872,0.00014382276037832695,200.0,True,0.704,0.223,0.073,23.090088735996257,10.0
WT,0.03,0.001,0.55,11,794319243,0.00014382276037832695,200.0,True,0.718,0.207,0.075,22.492299328042215,10.0
WT,0.03,0.001,0.55,12,204008863,0.00014382276037832695,200.0,True,0.673,0.248,0.079,25.7260490970965,10.0
WT,0.03,0.001,0.55,15,2122084012,0.00014382276037832695,200.0,True,0.708,0.214,0.078,23.399393540463976,10.0
WT,0.03,0.001,0.55,13,1880439445,0.00014382276037832695,200.0,True,0.693,0.219,0.088,25.37799698951798,10.0
WT,0.03,0.001,0.55,14,1306372712,0.00014382276037832695,200.0,True,0.673,0.239,0.088,26.514225404890094,10.0
WT,0.03,0.001,0.55,16,1976297044,0.00014382276037832695,200.0,True,0.693,0.21,0.097,25.928951515028057,10.0
WT,0.03,0.001,0.55,17,784548992,0.00014382276037832695,200.0,True,0.701,0.222,0.077,23.651689876806554,10.0
WT,0.03,0.001,0.55,18,2121403537,0.00014382276037832695,200.0,True,0.687,0.207,0.106,26.387141856375248,10.0
WT,0.03,0.001,0.55,19,347016859,0.00014382276037832695,200.0,True,0.708,0.213,0.079,23.52417167322104,10.0
WT,0.03,0.001,0.6,1,921289450,0.00014382276037832695,200.0,True,0.673,0.246,0.081,25.629447890168805,10.0
WT,0.03,0.001,0.6,0,1168784116,0.00014382276037832695,200.0,True,0.686,0.234,0.08,25.393728099001123,10.0
WT,0.03,0.001,0.6,2,1293255992,0.00014382276037832695,200.0,True,0.704,0.225,0.071,23.30241957983394,10.0
WT,0.03,0.001,0.6,4,1895310323,0.00014382276037832695,200.0,True,0.703,0.212,0.085,24.325345418877713,10.0
WT,0.03,0.001,0.6,5,211694680,0.00014382276037832695,200.0,True,0.684,0.241,0.075,25.022167632053776,10.0
WT,0.03,0.001,0.6,6,280584697,0.00014382276037832695,200.0,True,0.708,0.209,0.083,24.094378150637734,10.0
WT,0.03,0.001,0.6,3,1702858716,0.00014382276037832695,200.0,True,0.679,0.23,0.091,25.924440727055025,10.0
WT,0.03,0.001,0.6,7,617447500,0.00014382276037832695,200.0,True,0.71,0.214,0.076,23.273357793002962,10.0
WT,0.03,0.001,0.6,9,1504658074,0.00014382276037832695,200.0,True,0.689,0.222,0.089,25.265099830484722,10.0
WT,0.03,0.001,0.6,8,1249765968,0.00014382276037832695,200.0,True,0.681,0.252,0.067,24.631135282630147,10.0
WT,0.03,0.001,0.6,12,204008863,0.00014382276037832695,200.0,True,0.673,0.243,0.084,25.74915750817,10.0
WT,0.03,0.001,0.6,10,1008898872,0.00014382276037832695,200.0,True,0.701,0.211,0.088,24.777874937889447,10.0
WT,0.03,0.001,0.6,11,794319243,0.00014382276037832695,200.0,True,0.702,0.226,0.072,23.382819596418965,10.0
WT,0.03,0.001,0.6,14,1306372712,0.00014382276037832695,200.0,True,0.673,0.251,0.076,25.51593767786527,10.0
WT,0.03,0.001,0.6,16,1976297044,0.00014382276037832695,200.0,True,0.699,0.21,0.091,24.661243761538852,10.0
WT,0.03,0.001,0.6,13,1880439445,0.00014382276037832695,200.0,True,0.696,0.223,0.081,24.648550929349753,10.0
WT,0.03,0.001,0.6,15,2122084012,0.00014382276037832695,200.0,True,0.713,0.205,0.082,23.331810023264637,10.0
WT,0.03,0.001,0.6,17,784548992,0.00014382276037832695,200.0,True,0.696,0.217,0.087,24.934636001234715,10.0
WT,0.03,0.001,0.6,18,2121403537,0.00014382276037832695,200.0,True,0.702,0.209,0.089,24.46354453563558,10.0
WT,0.03,0.001,0.6,19,347016859,0.00014382276037832695,200.0,True,0.713,0.199,0.088,24.29728364711545,10.0
WT,0.03,0.001,0.65,1,921289450,0.00014382276037832695,200.0,True,0.677,0.255,0.068,24.823737622510883,10.0
WT,0.03,0.001,0.65,0,1168784116,0.00014382276037832695,200.0,True,0.687,0.247,0.066,24.55867380494451,10.0
WT,0.03,0.001,0.65,3,1702858716,0.00014382276037832695,200.0,True,0.683,0.227,0.09,25.66790447489187,10.0
WT,0.03,0.001,0.65,2,1293255992,0.00014382276037832695,200.0,True,0.688,0.237,0.075,24.492709313459372,10.0
WT,0.03,0.001,0.65,4,1895310323,0.00014382276037832695,200.0,True,0.704,0.211,0.085,24.202486080106635,10.0
WT,0.03,0.001,0.65,5,211694680,0.00014382276037832695,200.0,True,0.668,0.246,0.086,26.854103177373116,10.0
WT,0.03,0.001,0.65,6,280584697,0.00014382276037832695,200.0,True,0.696,0.234,0.07,23.974968508020478,10.0
WT,0.03,0.001,0.65,7,617447500,0.00014382276037832695,200.0,True,0.689,0.224,0.087,25.102257705404252,10.0
WT,0.03,0.001,0.65,9,1504658074,0.00014382276037832695,200.0,True,0.691,0.248,0.061,23.775954719098394,10.0
WT,0.03,0.001,0.65,8,1249765968,0.00014382276037832695,200.0,True,0.691,0.247,0.062,23.75319822550433,10.0
WT,0.03,0.001,0.65,10,1008898872,0.00014382276037832695,200.0,True,0.698,0.222,0.08,24.081190038335766,10.0
WT,0.03,0.001,0.65,11,794319243,0.00014382276037832695,200.0,True,0.698,0.243,0.059,22.75790324687329,10.0
