condition_key,t_s,amp_mean,amp_sem,survival_frac,noise_threshold
WT,1.019,0.6489365597706367,0.00540186533682232,1.0,
WT,1.02,0.6510575385745125,0.005425110207375065,1.0,
WT,1.021,0.6533317337622366,0.005458516133233737,1.0,
WT,1.022,0.6553500865750895,0.005474449186505562,1.0,
WT,1.023,0.6573292523228723,0.005504372809537257,1.0,
WT,1.024,0.6593900116433616,0.0055160065556239,1.0,
WT,1.025,0.6618044077384138,0.005522186576017704,1.0,
WT,1.026,0.6639855014337969,0.005526614183097527,1.0,
WT,1.027,0.6661367991669735,0.00552645000302724,1.0,
WT,1.028,0.6681633027107012,0.005516750644973315,1.0,
WT,1.029,0.6709103988682034,0.005489800251675674,1.0,
WT,1.03,0.6728052310994883,0.005502177491677929,1.0,
WT,1.031,0.6748168108997727,0.005478927020098077,1.0,
WT,1.032,0.6765846176080573,0.00546513460757657,1.0,
WT,1.033,0.6786588658500806,0.005427942848533875,1.0,
WT,1.034,0.6807558643839854,0.005393305986473676,1.0,
WT,1.035,0.6825406149906671,0.005373426314996285,1.0,
WT,1.036,0.6839283490253338,0.005375879349372133,1.0,
WT,1.037,0.6859578005152978,0.005327169096658349,1.0,
WT,1.038,0.6879437488649371,0.0052884902741786475,1.0,
WT,1.039,0.6898880399920982,0.00524237648422068,1.0,
WT,1.04,0.6917285555941933,0.005199706441995655,1.0,
WT,1.041,0.6935010720482774,0.0051897568195892,1.0,
WT,1.042,0.695035345499635,0.005150015069831999,1.0,
WT,1.043,0.6964169023497327,0.005134819775211036,1.0,
WT,1.044,0.6978582090401106,0.005095634586893318,1.0,
WT,1.045,0.6994579373059376,0.005049719386907615,1.0,
WT,1.046,0.7008798999632114,0.004994065242898563,1.0,
WT,1.047,0.702171830296002,0.004946508127197411,1.0,
WT,1.048,0.7031737845797587,0.004889771165606039,1.0,
WT,1.049,0.7043191510762508,0.004843854387836745,1.0,
WT,1.05,0.7057618453848413,0.00478401970527767,1.0,
WT,1.051,0.7068761075844507,0.004739374346662351,1.0,
WT,1.052,0.7078949027710509,0.004692300683321926,1.0,
WT,1.053,0.7088634183340002,0.004651146850469214,1.0,
WT,1.054,0.709416483452604,0.004601558229700895,1.0,
WT,1.055,0.7103250776571673,0.004549284617910581,1.0,
WT,1.056,0.711117642659253,0.004509091987169977,1.0,
WT,1.057,0.712047337184247,0.004475976664919322,1.0,
WT,1.058,0.7126638134546859,0.004409552767579945,1.0,
WT,1.059,0.7131578571130212,0.004385695715866345,1.0,
WT,1.06,0.7137867125730181,0.004352189422145831,1.0,
WT,1.061,0.714042773046369,0.004327492285172422,1.0,
WT,1.062,0.7143097151850868,0.004303118608354106,1.0,
WT,1.063,0.7142086793585372,0.004279517733685715,1.0,
WT,1.064,0.7140568783431611,0.004236344470242714,1.0,
WT,1.065,0.7140480355979698,0.004220426245488081,1.0,
WT,1.066,0.7137148174169733,0.004215472573190556,1.0,
WT,1.067,0.7133883821308415,0.004197857314174639,1.0,
WT,1.068,0.713046208423911,0.004189678904986401,1.0,
WT,1.069,0.7124398944857615,0.004154402554022041,1.0,
WT,1.07,0.7123441042756699,0.004142153773436486,1.0,
WT,1.071,0.7116872816823291,0.0041559759647029635,1.0,
WT,1.072,0.7111193944963018,0.004156375879823342,1.0,
WT,1.073,0.7101063236445381,0.0041760836498078956,1.0,
WT,1.074,0.7092534911292739,0.004218332003578167,1.0,
WT,1.075,0.7083598355974677,0.004244719443313447,1.0,
WT,1.076,0.7076205040856224,0.0042722390711262435,1.0,
WT,1.077,0.706758370789172,0.004275111239388445,1.0,
WT,1.078,0.7054213418877684,0.004315922508131088,1.0,
WT,1.079,0.704512029491489,0.004320816129143842,1.0,
WT,1.08,0.7032012204843192,0.0043391528932765055,1.0,
WT,1.081,0.7015798343188326,0.004364313720281815,1.0,
WT,1.082,0.7007363099675802,0.004377092480297627,1.0,
WT,1.083,0.6991377780308274,0.004391106249456342,1.0,
WT,1.084,0.6976931106462766,0.004383198036981222,1.0,
WT,1.085,0.6961185660975436,0.004416069537744745,1.0,
WT,1.086,0.6945235576675803,0.004465644135187672,1.0,
WT,1.087,0.692747002807566,0.0045155243146941925,1.0,
WT,1.088,0.6910464159472162,0.0045295247136537525,1.0,
WT,1.089,0.6895573071413019,0.004526719186548407,1.0,
WT,1.09,0.6880280415921203,0.004546112355022033,1.0,
WT,1.091,0.6863030961867844,0.0045739621567163725,1.0,
WT,1.092,0.6843838217792207,0.004597313046685554,1.0,
WT,1.093,0.6828903501178527,0.004585925259483108,1.0,
WT,1.094,0.6808062000548554,0.004601102651524541,1.0,
WT,1.095,0.6789385704354145,0.004607527973689779,1.0,
WT,1.096,0.6769378597986745,0.004613687788193273,1.0,
WT,1.097,0.6750741704254091,0.004614948062189881,1.0,
WT,1.098,0.6730386571111627,0.004633712156529127,1.0,
WT,1.099,0.6710106826722653,0.004618492629248242,1.0,
WT,1.1,0.6691170196580797,0.004610765447494679,1.0,
WT,1.101,0.6671622306137236,0.004595341954627848,1.0,
WT,1.102,0.6651727706218015,0.004576767225467466,1.0,
WT,1.103,0.6631376536524972,0.004580983924899938,1.0,
WT,1.104,0.6612040575199405,0.004574308352672563,1.0,
WT,1.105,0.6592198493671476,0.004567605448092488,1.0,
WT,1.106,0.6573715482015355,0.004538021678178644,1.0,
WT,1.107,0.6552534318404539,0.004525501159109905,1.0,
WT,1.108,0.6533442253457549,0.004510048200876991,1.0,
WT,1.109,0.6516090369762176,0.004486060066602144,1.0,
WT,1.11,0.6498330172330384,0.004471124971238385,1.0,
WT,1.111,0.6478001091787522,0.004447736958280792,1.0,
WT,1.112,0.6456319797088669,0.004432971241878118,1.0,
WT,1.113,0.6442024202198899,0.004396786920095383,1.0,
WT,1.114,0.6426004572785682,0.004375760745320749,1.0,
WT,1.115,0.6409480042716863,0.004338278870273939,1.0,
WT,1.116,0.6395605608654281,0.004322539428127264,1.0,
WT,1.117,0.6378514832493277,0.00430745907942294,1.0,
WT,1.118,0.6369412878252574,0.0042853644909183735,1.0,
WT,1.119,0.6352871953921346,0.004258519206042492,1.0,
WT,1.12,0.6341807763924592,0.004221672982446681,1.0,
WT,1.121,0.63305951253241,0.004192410120056624,1.0,
WT,1.122,0.6324494202158589,0.0041803000944744375,1.0,
WT,1.123,0.6314170381420954,0.004178970764050121,1.0,
WT,1.124,0.6305546125434978,0.004159673651277811,1.0,
WT,1.125,0.6294300454600426,0.0041491649939076015,1.0,
WT,1.126,0.6287237120383501,0.004151602024483419,1.0,
WT,1.127,0.6279642310339829,0.004145988858774218,1.0,
WT,1.128,0.6270489117065172,0.004144449898200202,1.0,
WT,1.129,0.6262933143509541,0.004150601624107854,1.0,
WT,1.13,0.6258596642281359,0.004167671479050289,1.0,
WT,1.131,0.6249324141077969,0.004189150639395898,1.0,
WT,1.132,0.6244578358144854,0.004215300416228151,1.0,
WT,1.133,0.6240824135485548,0.00424094329647835,1.0,
WT,1.134,0.6240204325824875,0.004248754344393039,1.0,
WT,1.135,0.6237739223826192,0.0042936065458513365,1.0,
WT,1.136,0.6236240835371568,0.004316798927108198,1.0,
WT,1.137,0.6239068832789404,0.004341113320961922,1.0,
WT,1.138,0.6245212093184662,0.004365453812256512,1.0,
WT,1.139,0.6248965485920658,0.0044055897772137115,1.0,
WT,1.14,0.6249102584335057,0.004432933995651155,1.0,
WT,1.141,0.6251295017969176,0.004475361751204943,1.0,
WT,1.142,0.6254075072279306,0.004522853707912247,1.0,
WT,1.143,0.6256634010457249,0.004561784625026376,1.0,
WT,1.144,0.6260901755226171,0.004611511282129745,1.0,
WT,1.145,0.6268572796346842,0.004651597904205903,1.0,
WT,1.146,0.6272097051301612,0.004709675190997486,1.0,
WT,1.147,0.628151195867615,0.004747016338787802,1.0,
WT,1.148,0.6292952914512616,0.004780685655454633,1.0,
WT,1.149,0.6302440406401479,0.00482595013503721,1.0,
WT,1.15,0.6308159748043868,0.00487856367563793,1.0,
WT,1.151,0.6318905298491685,0.004903116304550145,1.0,
WT,1.152,0.6329820289948205,0.004956442948360146,1.0,
WT,1.153,0.6338097452334006,0.005004268356556049,1.0,
WT,1.154,0.6349335106673927,0.00503514338433911,1.0,
WT,1.155,0.6362309947170748,0.005070975768173125,1.0,
WT,1.156,0.6374757483472303,0.005106124143822227,1.0,
WT,1.157,0.6391210080235538,0.005133327923145095,1.0,
WT,1.158,0.6407234175063298,0.005167288074997271,1.0,
WT,1.159,0.6420878697950054,0.0051940128235911645,1.0,
WT,1.16,0.6433740700911544,0.0052035389422918155,1.0,
WT,1.161,0.6445524886201841,0.0052231827959871545,1.0,
WT,1.162,0.645544764585453,0.0052645419960450045,1.0,
WT,1.163,0.6469288478835221,0.005277628225578267,1.0,
WT,1.164,0.6488610344984138,0.005293397760579927,1.0,
WT,1.165,0.6507964792495426,0.005314349139930141,1.0,
WT,1.166,0.6523921912774242,0.005330138956290297,1.0,
WT,1.167,0.6542530224142181,0.005341135920151079,1.0,
WT,1.168,0.6558508944878736,0.00534774965753685,1.0,
WT,1.169,0.657591466075273,0.005360459698796043,1.0,
WT,1.17,0.6594817347666,0.005370740482766477,1.0,
WT,1.171,0.6615603340211689,0.005346254691877223,1.0,
WT,1.172,0.6635474175307966,0.005347255811341216,1.0,
WT,1.173,0.6653721124826328,0.005355901338204456,1.0,
WT,1.174,0.666873922320039,0.005337904815489502,1.0,
WT,1.175,0.6688792351368817,0.005336042219621022,1.0,
WT,1.176,0.6707358883187555,0.005331808107304354,1.0,
WT,1.177,0.6724590734558891,0.00530492609488165,1.0,
WT,1.178,0.6744579388022823,0.0052647192265307214,1.0,
WT,1.179,0.6763741787168802,0.00523249659544161,1.0,
WT,1.18,0.6783430965429864,0.005199873045317731,1.0,
WT,1.181,0.6795373747400311,0.00519602360278639,1.0,
WT,1.182,0.6812470155664792,0.005180137417697534,1.0,
WT,1.183,0.6827106661149149,0.00513427543107396,1.0,
WT,1.184,0.6843862571199415,0.005091183021705097,1.0,
WT,1.185,0.685940953764753,0.0050681851489650384,1.0,
WT,1.186,0.6871190460384511,0.005020110111870214,1.0,
WT,1.187,0.6884645948405881,0.005002132399181231,1.0,
WT,1.188,0.6900159500346463,0.004968728467673157,1.0,
WT,1.189,0.691780122861422,0.004918648062219359,1.0,
WT,1.19,0.6931499761148066,0.004871109774219383,1.0,
WT,1.191,0.6942343249943868,0.0048541090851839,1.0,
WT,1.192,0.6956290617406015,0.004805786618463613,1.0,
WT,1.193,0.6966549390770483,0.004768655053278705,1.0,
WT,1.194,0.6978923676452798,0.0047180028997542605,1.0,
WT,1.195,0.6990877499970711,0.0046606605099856376,1.0,
WT,1.196,0.7000442518527799,0.004613435494522742,1.0,
WT,1.197,0.7008234570803403,0.004583959383397246,1.0,
WT,1.198,0.7019291520656229,0.0045243926999404965,1.0,
WT,1.199,0.7028558958896969,0.004457651993332115,1.0,
WT,1.2,0.7035706496579508,0.004420256076029779,1.0,
WT,1.201,0.7041400857602972,0.004368389116355848,1.0,
WT,1.202,0.7048669236971004,0.00434546786424392,1.0,
WT,1.203,0.7054664334883537,0.004306275248363127,1.0,
WT,1.204,0.7062222929241594,0.004246895004504385,1.0,
WT,1.205,0.7064696809426178,0.004219435833855637,1.0,
WT,1.206,0.7068685942619091,0.004180570944657188,1.0,
WT,1.207,0.7072651474117674,0.004135971909725957,1.0,
WT,1.208,0.7073808893001613,0.00413002242284927,1.0,
WT,1.209,0.7073159607148196,0.004118385687430401,1.0,
WT,1.21,0.7074252997621303,0.0040997266892446845,1.0,
WT,1.211,0.7074115226292748,0.004084072439986646,1.0,
WT,1.212,0.7075181594134642,0.004066372270533257,1.0,
WT,1.213,0.7074474882515428,0.004066022310154104,1.0,
WT,1.214,0.7070548926118733,0.004074046283451017,1.0,
WT,1.215,0.7063743269427705,0.004100384299542603,1.0,
WT,1.216,0.7057283172980819,0.004130995888291525,1.0,
WT,1.217,0.7052817012625493,0.004150187697016255,1.0,
WT,1.218,0.7047698759306193,0.004183211036944214,1.0,
WT,1.219,0.7040981061227101,0.004225055413129043,1.0,
WT,1.22,0.7036396639027264,0.004235087914810955,1.0,
WT,1.221,0.7030053831181222,0.004267914990426828,1.0,
WT,1.222,0.7026670889056953,0.004279887037264928,1.0,
WT,1.223,0.7018487368199603,0.004313030695053202,1.0,
WT,1.224,0.7006786520705234,0.004377587240784478,1.0,
WT,1.225,0.699558768590375,0.004437312649751508,1.0,
WT,1.226,0.6986343634801048,0.004466753091639347,1.0,
WT,1.227,0.6977077567013727,0.004498221198212902,1.0,
WT,1.228,0.6965540379976575,0.004517252153198139,1.0,
WT,1.229,0.6953141484752553,0.004562057807558778,1.0,
WT,1.23,0.6939757491898392,0.004582180049224389,1.0,
WT,1.231,0.6924692479772099,0.004611767582838535,1.0,
WT,1.232,0.6906459394156079,0.004654058806360832,1.0,
WT,1.233,0.6890761964842308,0.004679848483827378,1.0,
WT,1.234,0.6873786263560967,0.004714792867932125,1.0,
WT,1.235,0.6859061968154092,0.00472713471227352,1.0,
WT,1.236,0.6844819618866425,0.004733568810787097,1.0,
WT,1.237,0.6827768294179225,0.004751509525578624,1.0,
WT,1.238,0.6808412111751013,0.004762681562651981,1.0,
WT,1.239,0.6790534052417152,0.004760746192382983,1.0,
WT,1.24,0.6774127501330752,0.004729933587926351,1.0,
WT,1.241,0.6753583918906524,0.004728991790980614,1.0,
WT,1.242,0.6735404850219584,0.004730947074267813,1.0,
WT,1.243,0.6718167965683517,0.004717346868244307,1.0,
WT,1.244,0.6700240027549799,0.004703762427972925,1.0,
WT,1.245,0.668287162779056,0.004692553959884351,1.0,
WT,1.246,0.6660966122074587,0.004694335234478627,1.0,
WT,1.247,0.6644080884622194,0.004674832757181993,1.0,
WT,1.248,0.6628864506731016,0.004643486037640407,1.0,
WT,1.249,0.6609916464151961,0.004646676953457866,1.0,
WT,1.25,0.6593081862131259,0.004629836849629468,1.0,
WT,1.251,0.6575219102656031,0.00460828332074657,1.0,
WT,1.252,0.6560162895886337,0.004587396143379763,1.0,
WT,1.253,0.6541630505637053,0.004568201783071209,1.0,
WT,1.254,0.6523812426203506,0.004543724893367218,1.0,
WT,1.255,0.6510492513358712,0.004523439171594608,1.0,
WT,1.256,0.6493023644447096,0.004519112448920973,1.0,
WT,1.257,0.6475735295364882,0.004495929743837223,1.0,
WT,1.258,0.6464084683566456,0.004473086644494609,1.0,
WT,1.259,0.6449465604533585,0.004451291293526145,1.0,
WT,1.26,0.6438045543422892,0.004413904902908527,1.0,
WT,1.261,0.6427669631129084,0.00437704199642997,1.0,
WT,1.262,0.6415748721661929,0.004356100087685092,1.0,
WT,1.263,0.6403544555848856,0.004322291856687857,1.0,
WT,1.264,0.6393870805620279,0.004295897565928251,1.0,
WT,1.265,0.6383189965410944,0.004278054629457019,1.0,
WT,1.266,0.6375130414058936,0.0042607824890355615,1.0,
WT,1.267,0.6365908754293623,0.004239540464883335,1.0,
WT,1.268,0.6360173546077261,0.004203071095410368,1.0,
WT,1.269,0.6351003046088545,0.004178871799037254,1.0,
WT,1.27,0.6343628199097352,0.004168463753903749,1.0,
WT,1.271,0.6337239338773416,0.004167369724837234,1.0,
WT,1.272,0.63320112610401,0.0041568944443095696,1.0,
WT,1.273,0.6327749477614011,0.004157051085068397,1.0,
WT,1.274,0.6325677635348412,0.00414181651642594,1.0,
WT,1.275,0.6316227801422111,0.004154969202604488,1.0,
WT,1.276,0.6311147778021173,0.0041612396034271856,1.0,
WT,1.277,0.6306516579596916,0.004193121958404353,1.0,
WT,1.278,0.63050334403309,0.004186151166779604,1.0,
WT,1.279,0.6301304439791735,0.00420319464375105,1.0,
WT,1.28,0.6303235667264216,0.004221563371612688,1.0,
WT,1.281,0.6299359936699968,0.004242411353264426,1.0,
WT,1.282,0.6302736933174606,0.004227325886579027,1.0,
WT,1.283,0.6304195852367614,0.004238199796527403,1.0,
WT,1.284,0.6305526561903008,0.004273006098810176,1.0,
WT,1.285,0.6307977780345165,0.004288885981085871,1.0,
WT,1.286,0.6319014251556746,0.004293444885080759,1.0,
WT,1.287,0.6320883410738735,0.004338474355603264,1.0,
WT,1.288,0.632436813891058,0.004377112845871804,1.0,
WT,1.289,0.6327489727010758,0.004417083722899588,1.0,
WT,1.29,0.6331727701130538,0.004465287087914207,1.0,
WT,1.291,0.6339559400479076,0.0044972798904611,1.0,
WT,1.292,0.6347505713350832,0.00453546128297567,1.0,
WT,1.293,0.6359756201374284,0.004556947168620884,1.0,
WT,1.294,0.637455800781992,0.004569364097942546,1.0,
WT,1.295,0.6383528587301535,0.004607987011981965,1.0,
WT,1.296,0.6397154708364315,0.004633465058930842,1.0,
WT,1.297,0.6407134516842895,0.004688358473637621,1.0,
WT,1.298,0.6416780777103903,0.004733952480821637,1.0,
WT,1.299,0.6427654627386804,0.004794226355647878,1.0,
WT,1.3,0.6440145446267105,0.004830649604880553,1.0,
WT,1.301,0.6449863733955166,0.004876223434818602,1.0,
WT,1.302,0.645904132468889,0.004917095451900889,1.0,
WT,1.303,0.6472145800280347,0.004946761636276634,1.0,
WT,1.304,0.6486057567776555,0.004946608351526372,1.0,
WT,1.305,0.6501016893399504,0.004985467798551836,1.0,
WT,1.306,0.6515242299253774,0.005008456971629173,1.0,
WT,1.307,0.6533334635772106,0.005011944630956564,1.0,
WT,1.308,0.6548059342359744,0.005039136199117393,1.0,
WT,1.309,0.6564838850380957,0.005063895377541109,1.0,
WT,1.31,0.6578745781155498,0.005103597410979877,1.0,
WT,1.311,0.6593933291959957,0.0051066945657983484,1.0,
WT,1.312,0.6612189248243244,0.005116985494773689,1.0,
WT,1.313,0.6628070009631164,0.005127467592790038,1.0,
WT,1.314,0.6645795773469428,0.005116750011165278,1.0,
WT,1.315,0.6661116144674794,0.005119605580962191,1.0,
WT,1.316,0.6675611933498389,0.0051244014101742745,1.0,
WT,1.317,0.6690416177401578,0.005122165494611724,1.0,
WT,1.318,0.6711851732080135,0.005091183474507093,1.0,
WT,1.319,0.6728085199874844,0.00508672572243965,1.0,
WT,1.32,0.6738758754880032,0.0051025420084947525,1.0,
WT,1.321,0.6754726233668297,0.005080386323361062,1.0,
WT,1.322,0.6769754529455997,0.005060734275381273,1.0,
WT,1.323,0.6787050514182946,0.00505324602672601,1.0,
WT,1.324,0.6800816154069608,0.005068925278207302,1.0,
WT,1.325,0.6815881955711847,0.005038501425197695,1.0,
WT,1.326,0.6830529435250804,0.0049941535158857095,1.0,
WT,1.327,0.6841957442225082,0.004971419228119119,1.0,
WT,1.328,0.6852180201333313,0.00496051611144819,1.0,
WT,1.329,0.6868531362677854,0.004923673302133537,1.0,
WT,1.33,0.6881643677738987,0.004888152998697448,1.0,
WT,1.331,0.6893478236244335,0.004856987946718898,1.0,
WT,1.332,0.6905177431089315,0.0048243163681494896,1.0,
WT,1.333,0.6920704181670334,0.004790592779491601,1.0,
WT,1.334,0.6933816429365988,0.004759135007002971,1.0,
WT,1.335,0.6944807740636584,0.004737559500982841,1.0,
WT,1.336,0.6957846810386057,0.004684608048577847,1.0,
WT,1.337,0.6966109177359274,0.004653511027224116,1.0,
WT,1.338,0.6977013088829163,0.00460424726088765,1.0,
WT,1.339,0.6987126395296824,0.004569551750583077,1.0,
WT,1.34,0.6995610997530893,0.004540910572179576,1.0,
WT,1.341,0.7005580987122276,0.0044916477142393565,1.0,
WT,1.342,0.7014202595599536,0.004463825770604851,1.0,
WT,1.343,0.7021818771058849,0.004400160900145725,1.0,
WT,1.344,0.7028598475527107,0.004368634466408164,1.0,
WT,1.345,0.7032558684195436,0.004342314507721294,1.0,
WT,1.346,0.7035141310898309,0.004324871967666504,1.0,
WT,1.347,0.7040775896164166,0.00428483823869248,1.0,
WT,1.348,0.704656282720069,0.004253261254238016,1.0,
WT,1.349,0.7047695952932735,0.004222072677862508,1.0,
WT,1.35,0.7049318064939052,0.004206335216089987,1.0,
WT,1.351,0.7052191314495634,0.00417729116173967,1.0,
WT,1.352,0.7053737745214306,0.004149019522085555,1.0,
WT,1.353,0.7054598305702577,0.004146012069255733,1.0,
WT,1.354,0.7056759823971213,0.004140545466030139,1.0,
WT,1.355,0.7056256355263184,0.004131436950875979,1.0,
WT,1.356,0.705694373676074,0.004112536010316486,1.0,
WT,1.357,0.7051927679013921,0.00410002673197951,1.0,
WT,1.358,0.704533833532581,0.004118486086968728,1.0,
WT,1.359,0.7041860730285238,0.004124473824960489,1.0,
WT,1.36,0.7035917854959215,0.0041298880732883,1.0,
WT,1.361,0.7032066869908292,0.004122608442763008,1.0,
WT,1.362,0.7028255723138913,0.0041430903693494515,1.0,
WT,1.363,0.7016415635521026,0.004173630512500859,1.0,
WT,1.364,0.7010489820366302,0.004182850806761826,1.0,
WT,1.365,0.7002250403868827,0.0042035361375919325,1.0,
WT,1.366,0.6994291694563812,0.004222964418401164,1.0,
