condition_key,w_inter,trial_idx,seed,a_hat_value
WT,2.0,16,1102145672,0.02136693871839978
WT,2.0,16,1102145672,0.03691218736991804
WT,2.0,16,1102145672,0.013542667561025398
WT,2.0,16,1102145672,0.026494948104524373
WT,2.0,16,1102145672,0.04378940520172269
WT,2.0,16,1102145672,0.04056632876726602
WT,2.0,16,1102145672,0.022642862749823838
WT,2.0,16,1102145672,0.08346371439839251
WT,2.0,16,1102145672,0.038244005532806255
WT,2.0,16,1102145672,0.034488217049288
WT,2.0,16,1102145672,0.022348263508841948
WT,2.0,16,1102145672,0.039058781027080866
WT,2.0,16,1102145672,0.05671511385409673
WT,2.0,16,1102145672,0.0795546934215126
WT,2.0,16,1102145672,0.02549758891147156
WT,2.0,17,275121930,0.03969221254737668
WT,2.0,17,275121930,0.011504370755764036
WT,2.0,17,275121930,0.025713564183739535
WT,2.0,17,275121930,0.07030365119107825
WT,2.0,17,275121930,0.0236300825233866
WT,2.0,17,275121930,0.014226587447518538
WT,2.0,17,275121930,0.006261073988433294
WT,2.0,17,275121930,0.03608215142780535
WT,2.0,17,275121930,0.06802651656368792
WT,2.0,17,275121930,0.031913395551609734
WT,2.0,17,275121930,0.02225418365440231
WT,2.0,17,275121930,0.01327781107234895
WT,2.0,17,275121930,0.05215417874071301
WT,2.0,17,275121930,0.03611077945960632
WT,2.0,17,275121930,0.056566907996512525
WT,2.0,17,275121930,0.04378150114873258
WT,2.0,17,275121930,0.04119967752316277
WT,2.0,17,275121930,0.02045252609993252
WT,2.0,17,275121930,0.025027968482466658
WT,2.0,17,275121930,0.01885301066994091
WT,2.0,17,275121930,0.03308962400800009
WT,2.0,17,275121930,0.046528402487105054
WT,2.0,17,275121930,0.03804949882599797
WT,2.0,17,275121930,0.07768358279518216
WT,2.0,17,275121930,0.028230815744227717
WT,2.0,17,275121930,0.03969221254737668
WT,2.0,18,1803345590,0.023447506415269184
WT,2.0,18,1803345590,0.01970547597330963
WT,2.0,18,1803345590,0.043622347136418486
WT,2.0,18,1803345590,0.029823837226209335
WT,2.0,18,1803345590,0.011613858387990396
WT,2.0,18,1803345590,0.04326391504327611
WT,2.0,18,1803345590,0.0276171948388202
WT,2.0,18,1803345590,0.0091461457658438
WT,2.0,18,1803345590,0.04367489972958957
WT,2.0,18,1803345590,0.01379005450965585
WT,2.0,18,1803345590,0.0679245838054647
WT,2.0,18,1803345590,0.03216031543295981
WT,2.0,18,1803345590,0.034316096229711934
WT,2.0,18,1803345590,0.017613092227848026
WT,2.0,18,1803345590,0.04494161716379638
WT,2.0,18,1803345590,0.043146520722260946
WT,2.0,18,1803345590,0.03134904244869565
WT,2.0,18,1803345590,0.028972316627174043
WT,2.0,18,1803345590,0.058078589820448674
WT,2.0,18,1803345590,0.04900481206146391
WT,2.0,18,1803345590,0.0074795069756028055
WT,2.0,18,1803345590,0.03578517155182882
WT,2.0,18,1803345590,0.064735757578297
WT,2.0,18,1803345590,0.008492312865993331
WT,2.0,18,1803345590,0.055798371798504484
WT,2.0,18,1803345590,0.023447506415269184
WT,2.0,19,967196436,0.013465538607510943
WT,2.0,19,967196436,0.05154105404432893
WT,2.0,19,967196436,0.038006654639576684
WT,2.0,19,967196436,0.040770378784732386
WT,2.0,19,967196436,0.04527169690632487
WT,2.0,19,967196436,0.029542200300897842
WT,2.0,19,967196436,0.03298911551975077
WT,2.0,19,967196436,0.018122638617719757
WT,2.0,19,967196436,0.018415890003602744
WT,2.0,19,967196436,0.045834301104515196
WT,2.0,19,967196436,0.03916149733805075
WT,2.0,19,967196436,0.015411325620351295
WT,2.0,19,967196436,0.02855153881972597
WT,2.0,19,967196436,0.04593480010627853
WT,2.0,19,967196436,0.029400244385384616
WT,2.0,19,967196436,0.03790710149004512
WT,2.0,19,967196436,0.03414450507522304
WT,2.0,19,967196436,0.025352159094628034
WT,2.0,19,967196436,0.026593571419815897
WT,2.0,19,967196436,0.048423479709165475
WT,2.0,19,967196436,0.019258879432320235
WT,2.0,19,967196436,0.02812818782228451
WT,2.0,19,967196436,0.034727230937404145
WT,2.0,19,967196436,0.0036261415169335366
WT,2.0,19,967196436,0.02880972469110071
WT,2.0,19,967196436,0.013465538607510943
WT,2.0,20,1074497555,0.016338853510452108
WT,2.0,20,1074497555,0.002922953718562589
WT,2.0,20,1074497555,0.03390287951951865
WT,2.0,20,1074497555,0.04426922971625359
WT,2.0,20,1074497555,0.05842301813593902
WT,2.0,20,1074497555,0.04540444729779832
WT,2.0,20,1074497555,0.05608087424558446
WT,2.0,20,1074497555,0.022779431205987626
WT,2.0,20,1074497555,0.020637249273639906
WT,2.0,20,1074497555,0.03390175163803657
WT,2.0,20,1074497555,0.03633444594283311
WT,2.0,20,1074497555,0.02406867065459293
WT,2.0,20,1074497555,0.04708108359376582
WT,2.0,20,1074497555,0.03916901820857076
WT,2.0,20,1074497555,0.030199908569359897
WT,2.0,20,1074497555,0.005665163249671566
WT,2.0,20,1074497555,0.007461448984300487
WT,2.0,20,1074497555,0.026842022649476483
WT,2.0,20,1074497555,0.01686078973685349
WT,2.0,20,1074497555,0.012576058530921619
WT,2.0,20,1074497555,0.028335598578992413
WT,2.0,20,1074497555,0.036924863293226265
WT,2.0,20,1074497555,0.025122666444164662
WT,2.0,20,1074497555,0.032204903178230354
WT,2.0,20,1074497555,0.03842969475973038
WT,2.0,20,1074497555,0.016338853510452108
WT,2.0,21,796282693,0.043773902021724535
WT,2.0,21,796282693,0.05810738219993728
WT,2.0,21,796282693,0.016007826496089877
WT,2.0,21,796282693,0.0240016410840034
WT,2.0,21,796282693,0.02504461541142244
WT,2.0,21,796282693,0.024482381602767247
WT,2.0,21,796282693,0.011021425493139224
WT,2.0,21,796282693,0.017712422261024374
WT,2.0,21,796282693,0.060977397956595555
WT,2.0,21,796282693,0.009608066543960658
WT,2.0,21,796282693,0.055867154622070064
WT,2.0,21,796282693,0.04856304704421351
WT,2.0,21,796282693,0.016671045453051227
WT,2.0,21,796282693,0.02170981162766262
WT,2.0,21,796282693,0.028429778271284702
WT,2.0,21,796282693,0.07126770621474934
WT,2.0,21,796282693,0.018301460932221097
WT,2.0,21,796282693,0.0498903315850414
WT,2.0,21,796282693,0.014036761742137001
WT,2.0,21,796282693,0.020394597654576768
WT,2.0,21,796282693,0.004704366260526423
WT,2.0,21,796282693,0.01817599860441942
WT,2.0,21,796282693,0.07866442715949887
WT,2.0,21,796282693,0.043904645401309075
WT,2.0,21,796282693,0.017603649151658168
WT,2.0,21,796282693,0.043773902021724535
WT,2.0,22,392022359,0.03812774747690443
WT,2.0,22,392022359,0.05365769644705722
WT,2.0,22,392022359,0.04183100404213312
WT,2.0,22,392022359,0.020287226358643592
WT,2.0,22,392022359,0.014181596564042727
WT,2.0,22,392022359,0.030395390119043186
WT,2.0,22,392022359,0.027599630890657662
WT,2.0,22,392022359,0.05679863774840508
WT,2.0,22,392022359,0.01972074943789141
WT,2.0,22,392022359,0.029404124674026425
WT,2.0,22,392022359,0.04505994478598036
WT,2.0,22,392022359,0.011875339353858528
WT,2.0,22,392022359,0.038019779161208245
WT,2.0,22,392022359,0.003056690174037244
WT,2.0,22,392022359,0.01364407868307912
WT,2.0,22,392022359,0.034158948385107336
WT,2.0,22,392022359,0.02574184290285632
WT,2.0,22,392022359,0.03030751373753697
WT,2.0,22,392022359,0.027004767980635808
WT,2.0,22,392022359,0.014395797579560348
WT,2.0,22,392022359,0.03759132925453665
WT,2.0,22,392022359,0.025012046522999442
WT,2.0,22,392022359,0.02392766455765046
WT,2.0,22,392022359,0.050326312462381145
WT,2.0,22,392022359,0.023420374029081887
WT,2.0,22,392022359,0.03812774747690443
WT,2.0,23,1990212658,0.02736392654657525
WT,2.0,23,1990212658,0.04435135864263704
WT,2.0,23,1990212658,0.018681257936758337
WT,2.0,23,1990212658,0.010094293264944107
