condition,trial_idx,seed,pre_cue_asym,delay_asym,delay_ms,amplitude
WT,29,952224740,0.0018380990736868144,0.0020988082218895143,5000.0,45.0
WT,30,967354524,0.006150118275751315,0.0031306499209865146,5000.0,45.0
WT,31,487991438,-0.0030654693895676858,0.0009106452525163144,5000.0,45.0
WT,32,197860368,0.0017559870923823143,0.0023440668120539142,5000.0,45.0
WT,33,1190961760,0.013398124979582815,0.0017995899843553144,5000.0,45.0
WT,34,1906728918,-0.008340594359892985,0.002913256997652414,5000.0,45.0
WT,35,137046513,-0.004952520373619686,-0.00021208513718258548,5000.0,45.0
WT,36,1843166518,-0.0032962337431912854,0.0011625787435504144,5000.0,45.0
WT,37,1777324407,0.004935658227423515,0.005325851126008514,5000.0,45.0
WT,38,594336917,-0.008854516694610286,0.0017672558484129143,5000.0,45.0
WT,39,1356488967,0.004830316116280315,-0.0019412276207452857,5000.0,45.0
WT,40,354826746,0.016688817415970614,0.0023804693294570143,5000.0,45.0
WT,41,1627981024,-0.003886653494204086,-0.0014999194264756857,5000.0,45.0
WT,42,1504361614,0.018180701010525015,0.0012955158138698143,5000.0,45.0
WT,43,761338718,-7.322415086898548e-05,-0.0008663982761698856,5000.0,45.0
WT,44,145857092,-0.005124805950869085,-0.0003007942319954858,5000.0,45.0
WT,45,2084558133,0.0037177295113372142,0.006384381885176015,5000.0,45.0
WT,46,957106589,0.0004988978252684145,0.00010294708930961433,5000.0,45.0
WT,47,1917963002,-0.0038751384106916857,0.0066142169843576145,5000.0,45.0
WT,48,1455819991,0.0027067525031280143,-0.0009027321633198857,5000.0,45.0
WT,49,1671565830,-0.0027664600850238856,0.007003933578638715,5000.0,45.0
WT,50,1631871623,-0.012874378440910286,0.00036172962093961427,5000.0,45.0
WT,51,417983441,0.0005711647437774143,-3.0158557154857588e-06,5000.0,45.0
WT,52,781482251,-0.011085622586216586,0.002081311497060114,5000.0,45.0
WT,53,1002275723,0.012055813751568414,-0.0020552954644821857,5000.0,45.0
WT,54,1068999196,-0.008826741511759686,-0.0011860150518986858,5000.0,45.0
WT,55,94067870,0.0008565067839428145,0.0024283506753340145,5000.0,45.0
WT,56,1173749071,-0.010348841323812885,8.738434224021428e-05,5000.0,45.0
WT,57,331334160,0.007332994960139115,0.0010463558555462143,5000.0,45.0
WT,58,1596387604,0.0006927436339909145,0.0031172287124091144,5000.0,45.0
WT,59,1466836456,0.0017200173880372145,0.0016389168907270143,5000.0,45.0
WT,60,1981113449,-0.002238533476577486,0.0010738957163402144,5000.0,45.0
WT,61,1599364550,-0.0018458543576787855,-0.002115290345642086,5000.0,45.0
WT,62,787359109,-0.012277888331885785,-0.0053390017884584855,5000.0,45.0
WT,63,2077711328,0.006877575484114415,-0.0005736262768725854,5000.0,45.0
WT,64,882294416,0.008710621891508815,0.0018263320121520144,5000.0,45.0
WT,65,699704628,0.0017239691810714145,0.0027911159013296145,5000.0,45.0
WT,66,1944623248,0.007024144099214014,0.006906852594471715,5000.0,45.0
WT,67,795556160,-0.012708873749523385,0.0030178116638982146,5000.0,45.0
WT,68,163945743,-0.0015530372550222856,0.0021853693255986144,5000.0,45.0
WT,69,1008363426,0.006720586739249815,0.0015090850030724144,5000.0,45.0
WT,70,1708709735,0.005924785674197114,7.122314891971427e-05,5000.0,45.0
WT,71,406886644,-0.007993587376703285,0.003992090038855914,5000.0,45.0
WT,72,994157306,0.0030179177900974143,0.0013908742941859144,5000.0,45.0
WT,73,279004307,0.014872174271558415,0.0019649937333911733,5000.0,45.0
WT,74,1474200731,0.014248881269595915,0.00034854629537161446,5000.0,45.0
WT,75,1021568549,0.013399577404445315,0.0035329013560347145,5000.0,45.0
WT,76,709091226,0.006676943033568515,0.0005257403326585145,5000.0,45.0
WT,77,487284116,0.0031790076813290142,0.0008784253921175144,5000.0,45.0
WT,78,1212254290,-0.0030401863177996853,0.003408741466329114,5000.0,45.0
WT,79,1438414599,-0.009562457033792986,0.0011533043579393144,5000.0,45.0
WT,80,2019291964,-0.0029734978302116853,0.0005916545183805143,5000.0,45.0
WT,81,938776596,-0.002812596644726986,0.0016600810013772144,5000.0,45.0
WT,82,345075200,-0.010749890631159985,0.0036383528763588146,5000.0,45.0
WT,83,1788162809,-0.004390211704336386,0.0014156738996515144,5000.0,45.0
WT,84,1352408538,0.005025207954872714,0.0012056118904842142,5000.0,45.0
WT,85,1503807854,0.004752769708176214,0.0024041102811006142,5000.0,45.0
WT,86,208792607,0.006261593187960014,-0.0021880352752083852,5000.0,45.0
WT,87,670802254,5.125352100621432e-05,0.002255067265308014,5000.0,45.0
WT,88,1648932249,0.008569029254782914,-0.0031932543815803857,5000.0,45.0
WT,89,1787264313,0.0047053482194907145,0.0009058366406110145,5000.0,45.0
WT,90,934620676,0.0017656239176004143,-0.0018713805420595858,5000.0,45.0
WT,91,1728218297,0.004796813357383915,0.0018926739777021869,5000.0,45.0
WT,92,1807519524,-0.014889037455475086,0.0021044433391467143,5000.0,45.0
WT,93,832103482,-0.004290141731429286,0.0025882952013794145,5000.0,45.0
WT,94,1928628490,-0.002874963338359086,0.0001944373984055143,5000.0,45.0
WT,95,619179887,-0.0034166397270187854,0.004738559746484815,5000.0,45.0
WT,96,514446424,0.0015262329193497144,-0.0003546903301634855,5000.0,45.0
WT,97,1465647933,-0.005696166739357285,0.0020164105838418166,5000.0,45.0
WT,98,1367435607,0.010563828412958614,0.0026312692244019145,5000.0,45.0
WT,99,300116172,-0.017110256706395585,-0.0013166415487407858,5000.0,45.0
WT_APP,0,191664963,0.009756763049311414,0.017685795251073114,5000.0,45.0
WT_APP,1,1662057957,0.010168111390606914,-0.0064746630037658855,5000.0,45.0
WT_APP,2,1405681631,0.008501647451765914,-0.007383330846224986,5000.0,45.0
WT_APP,3,942484272,0.0021043721766977144,-0.005697617604693985,5000.0,45.0
WT_APP,4,929893137,-0.006459901524609785,-0.004615811200731485,5000.0,45.0
WT_APP,5,1843824992,0.0021992391470363145,-0.011718634164538286,5000.0,45.0
WT_APP,6,184566854,-0.012603018702613985,-0.005200613185593985,5000.0,45.0
WT_APP,7,1497586438,-0.0010390722476579855,0.0011594119676099145,5000.0,45.0
WT_APP,8,432652533,0.012149831990176514,7.012453572491427e-05,5000.0,45.0
WT_APP,9,202244314,0.0018422968371928144,-0.011761308344503585,5000.0,45.0
WT_APP,10,1130604997,0.004350102828965114,-0.0032544805324425854,5000.0,45.0
WT_APP,11,2095133045,0.005980519827955914,-0.008297158225984185,5000.0,45.0
WT_APP,12,1580016183,0.005623650694713414,-0.008121655343900186,5000.0,45.0
WT_APP,13,1634535062,0.005931711037432314,-0.008409527479099385,5000.0,45.0
WT_APP,14,1540770719,0.0010205412825131143,-0.012087482967709185,5000.0,45.0
WT_APP,15,1688060240,-0.0014211387286506855,0.008450775032784314,5000.0,45.0
WT_APP,16,1102145672,0.005901372148512315,-0.0033745835351106854,5000.0,45.0
WT_APP,17,275121930,-0.004084739404333986,-0.008223507666344986,5000.0,45.0
WT_APP,18,1803345590,-0.0042611605189170855,0.005288440552826415,5000.0,45.0
WT_APP,19,967196436,-0.013169545779412286,-0.006322886702218285,5000.0,45.0
WT_APP,20,1074497555,0.006046215732260315,-0.007132194047412586,5000.0,45.0
WT_APP,21,796282693,0.014617551729914715,-0.004932539037631186,5000.0,45.0
WT_APP,22,392022359,-0.007987513644786585,0.011119166368629415,5000.0,45.0
WT_APP,23,1990212658,0.007682426778634014,-0.009868342746081985,5000.0,45.0
WT_APP,24,1678403330,-0.005456106049261586,-0.0021124123588161852,5000.0,45.0
WT_APP,25,1382689815,-0.004777559204101185,-0.011811858691851586,5000.0,45.0
WT_APP,26,864178266,-0.0012462343965772855,-0.008265549470272086,5000.0,45.0
WT_APP,27,1766867109,7.951374522014278e-06,-0.009034384326955285,5000.0,45.0
WT_APP,28,1171300112,-0.0034211262423606854,0.013856392517718315,5000.0,45.0
WT_APP,29,952224740,0.007486517445495214,-0.0009900996105146856,5000.0,45.0
WT_APP,30,967354524,0.0004190929551309143,-0.0029204360654579856,5000.0,45.0
WT_APP,31,487991438,-0.0003799584339183857,-0.0028315881214161856,5000.0,45.0
WT_APP,32,197860368,0.006311331763661514,0.008346086683925315,5000.0,45.0
WT_APP,33,1190961760,0.006754461216161714,0.005752708810328014,5000.0,45.0
WT_APP,34,1906728918,-0.0066098652461758865,0.005725635720014314,5000.0,45.0
WT_APP,35,137046513,-0.009540491507805485,-0.0014144335114293855,5000.0,45.0
WT_APP,36,1843166518,-0.003268675611832186,0.004906757805916715,5000.0,45.0
WT_APP,37,1777324407,0.006293580902146115,0.010062845551659315,5000.0,45.0
WT_APP,38,594336917,-0.008976999814116086,0.0075811781600026145,5000.0,45.0
WT_APP,39,1356488967,0.007074826948074114,0.004339913111462914,5000.0,45.0
WT_APP,40,354826746,0.014040137489967814,0.008163339999467514,5000.0,45.0
WT_APP,41,1627981024,-0.009565945912895585,0.008456140831319015,5000.0,45.0
WT_APP,42,1504361614,0.014895552042033014,-0.007592838032425086,5000.0,45.0
WT_APP,43,761338718,0.003903465509444314,-0.006584443964183286,5000.0,45.0
WT_APP,44,145857092,-0.010103293323695285,-0.008227511432627786,5000.0,45.0
WT_APP,45,2084558133,0.004160534797925514,-0.0004640561075319855,5000.0,45.0
WT_APP,46,957106589,-0.004349883718800385,0.017445479311713412,5000.0,45.0
WT_APP,47,1917963002,-0.004992409321233386,0.013127783894614714,5000.0,45.0
WT_APP,48,1455819991,0.0055137056470991146,0.017059833220034314,5000.0,45.0
WT_APP,49,1671565830,-0.0008766705075033856,0.0060683576420295145,5000.0,45.0
WT_APP,50,1631871623,-0.012503169285636486,0.005939903991720314,5000.0,45.0
WT_APP,51,417983441,-0.0062010589851373855,-0.006725087907703285,5000.0,45.0
WT_APP,52,781482251,-0.008127351330088985,0.0017103352511313144,5000.0,45.0
WT_APP,53,1002275723,0.010079455470923414,-0.012578711479813286,5000.0,45.0
WT_APP,54,1068999196,-0.010452963856130485,0.011378947368140515,5000.0,45.0
WT_APP,55,94067870,0.0007986191065921145,-0.005322622219807286,5000.0,45.0
WT_APP,56,1173749071,-0.004094099265372585,0.017750588309800214,5000.0,45.0
WT_APP,57,331334160,0.004193602918302514,-0.0070508401213178855,5000.0,45.0
WT_APP,58,1596387604,-0.0010287530170357854,0.0051572072990270145,5000.0,45.0
WT_APP,59,1466836456,0.004587854050922114,0.006750034544930214,5000.0,45.0
WT_APP,60,1981113449,-0.0012077527428837856,0.0004169634712382145,5000.0,45.0
WT_APP,61,1599364550,0.0032521148561441143,-0.008502045522957486,5000.0,45.0
WT_APP,62,787359109,-0.011450057203291786,-0.0009162892025714854,5000.0,45.0
WT_APP,63,2077711328,-0.0023138665390572853,0.005671827454172714,5000.0,45.0
WT_APP,64,882294416,0.008810606224780615,0.018659547216340815,5000.0,45.0
WT_APP,65,699704628,0.0031665792839147143,0.012268517334207014,5000.0,45.0
WT_APP,66,1944623248,0.0009614121927010145,0.015128058459949014,5000.0,45.0
WT_APP,67,795556160,-0.010389580312742185,0.014387515060591514,5000.0,45.0
WT_APP,68,163945743,-0.00013920077315598576,-0.0067546816522429855,5000.0,45.0
WT_APP,69,1008363426,0.010560705676379114,-0.0004599536736222855,5000.0,45.0
WT_APP,70,1708709735,0.0035392924027089143,0.0035358837808573147,5000.0,45.0
WT_APP,71,406886644,-0.003569994564142886,0.011456532544724814,5000.0,45.0
WT_APP,72,994157306,0.005944171330636614,0.013050724601205814,5000.0,45.0
WT_APP,73,279004307,0.008845569616847114,0.007047530864192914,5000.0,45.0
WT_APP,74,1474200731,0.010765818859332314,-0.0010209354548886855,5000.0,45.0
WT_APP,75,1021568549,0.013736810642687914,0.007305937546228114,5000.0,45.0
WT_APP,76,709091226,0.008973945798909914,-0.008465683137958386,5000.0,45.0
WT_APP,77,487284116,-0.0012101047458362856,-0.008481160632149386,5000.0,45.0
WT_APP,78,1212254290,0.0006270766304282145,-0.009458035581174185,5000.0,45.0
WT_APP,79,1438414599,-0.011650591588060985,-0.008563852666647586,5000.0,45.0
WT_APP,80,2019291964,-0.004716089964382086,0.0026064688664616145,5000.0,45.0
WT_APP,81,938776596,-0.009018738163983086,-0.007774511927124686,5000.0,45.0
WT_APP,82,345075200,-0.008916484246332285,0.015487380178140714,5000.0,45.0
WT_APP,83,1788162809,-0.0029610031852268853,0.0013720103643304143,5000.0,45.0
WT_APP,84,1352408538,0.005956018485034114,-0.012047844882653086,5000.0,45.0
WT_APP,85,1503807854,0.004700946294857714,-0.008523856249639286,5000.0,45.0
WT_APP,86,208792607,0.009030748736098715,-0.010546251509481786,5000.0,45.0
WT_APP,87,670802254,0.0004212050722058145,0.008833935700847315,5000.0,45.0
WT_APP,88,1648932249,0.008852768347219315,0.0022797925535651144,5000.0,45.0
WT_APP,89,1787264313,0.009311817573212113,0.018436434331337813,5000.0,45.0
WT_APP,90,934620676,0.0007873972777581145,0.009305944015980915,5000.0,45.0
WT_APP,91,1728218297,0.0028254370970810143,0.005531957259749615,5000.0,45.0
WT_APP,92,1807519524,-0.017370465295137884,-0.013033639315018586,5000.0,45.0
WT_APP,93,832103482,-0.005930551775016085,0.007868477672416215,5000.0,45.0
WT_APP,94,1928628490,-0.007242561930579686,-0.004286686946119586,5000.0,45.0
WT_APP,95,619179887,-0.008288586488352286,-0.0049378999825466854,5000.0,45.0
WT_APP,96,514446424,0.007585437309408114,-0.007188671790373085,5000.0,45.0
WT_APP,97,1465647933,-0.0001502059102053855,-0.007434425339374785,5000.0,45.0
WT_APP,98,1367435607,0.009216024940987215,0.010941325298419614,5000.0,45.0
WT_APP,99,300116172,-0.010712832152325186,0.013640836327622915,5000.0,45.0
a7_KO_APP,0,191664963,0.019197375723901115,0.054659609481807314,5000.0,45.0
a7_KO_APP,1,1662057957,0.0018768174804354657,0.0071313533915295145,5000.0,45.0
a7_KO_APP,2,1405681631,-0.005053013498503886,-0.004905147314131086,5000.0,45.0
a7_KO_APP,3,942484272,0.012234019975263315,0.03302985106405501,5000.0,45.0
a7_KO_APP,4,929893137,0.011184105306374814,0.019892687841232513,5000.0,45.0
a7_KO_APP,5,1843824992,0.0008877378080642143,-0.04441802656242209,5000.0,45.0
a7_KO_APP,6,184566854,-0.021447725194396285,-0.03509839212931398,5000.0,45.0
a7_KO_APP,7,1497586438,-0.009046086520753185,0.011019899771233714,5000.0,45.0
a7_KO_APP,8,432652533,-0.0009117862602427856,-0.041078147302718485,5000.0,45.0
a7_KO_APP,9,202244314,0.004561529174038514,0.008850789581880614,5000.0,45.0
a7_KO_APP,10,1130604997,-0.026272589259781785,-0.012284197699252685,5000.0,45.0
a7_KO_APP,11,2095133045,-0.0021472967466417857,0.06287516886340251,5000.0,45.0
a7_KO_APP,12,1580016183,-0.018144534000065885,-0.04200446812926049,5000.0,45.0
a7_KO_APP,13,1634535062,-0.006994752189728386,-0.009248579621211285,5000.0,45.0
a7_KO_APP,14,1540770719,0.018080000875797513,-0.015704676263993887,5000.0,45.0
a7_KO_APP,15,1688060240,0.0059519132173195145,-0.037080327823796284,5000.0,45.0
a7_KO_APP,16,1102145672,0.009124539129503315,0.03979090465559722,5000.0,45.0
a7_KO_APP,17,275121930,-0.003787911209406386,-0.00033869852901458573,5000.0,45.0
a7_KO_APP,18,1803345590,-0.006451851076032586,-0.022895765152358687,5000.0,45.0
a7_KO_APP,19,967196436,0.0033395623392991143,0.031661490959639514,5000.0,45.0
a7_KO_APP,20,1074497555,0.010046389365779914,-0.0032547825887978858,5000.0,45.0
a7_KO_APP,21,796282693,0.0028106557762633145,0.009172054541005914,5000.0,45.0
a7_KO_APP,22,392022359,-0.014256608667767286,0.004914891398137614,5000.0,45.0
a7_KO_APP,23,1990212658,0.0064612428912415145,-0.04210070666179738,5000.0,45.0
a7_KO_APP,24,1678403330,-0.013957098430829085,-0.05036916864400639,5000.0,45.0
a7_KO_APP,25,1382689815,-0.0002521761122314856,0.006277288802124315,5000.0,45.0
a7_KO_APP,26,864178266,-0.018243057129473685,-0.020397544841013485,5000.0,45.0
a7_KO_APP,27,1766867109,0.022105276088221514,0.03747646063864751,5000.0,45.0
a7_KO_APP,28,1171300112,-0.014885321001967884,-0.011908432926048486,5000.0,45.0
a7_KO_APP,29,952224740,0.039097934060768114,-0.018869109923601985,5000.0,45.0
a7_KO_APP,30,967354524,-0.0017759405956978857,-0.045190050069874685,5000.0,45.0
a7_KO_APP,31,487991438,-0.015677845821342285,-0.012137785459249685,5000.0,45.0
a7_KO_APP,32,197860368,0.0027500481237241144,-0.049891756319540286,5000.0,45.0
a7_KO_APP,33,1190961760,-0.015856405081699585,-0.038360470745415584,5000.0,45.0
a7_KO_APP,34,1906728918,0.023633384270913414,0.056942909597642914,5000.0,45.0
a7_KO_APP,35,137046513,-0.006465662394360385,-0.034453651829220486,5000.0,45.0
a7_KO_APP,36,1843166518,-0.013754779898886085,-0.022338996001782286,5000.0,45.0
a7_KO_APP,37,1777324407,0.029482918320365415,0.0043615432920150144,5000.0,45.0
a7_KO_APP,38,594336917,0.005003574219892315,0.015246744585364515,5000.0,45.0
a7_KO_APP,39,1356488967,-0.0030471994131864855,-0.029067674160712386,5000.0,45.0
a7_KO_APP,40,354826746,-0.0008439199669260855,-0.04881903520571049,5000.0,45.0
a7_KO_APP,41,1627981024,-0.008462167046061286,-0.046052110340580286,5000.0,45.0
a7_KO_APP,42,1504361614,-0.0049560598172881856,-0.06411294828782388,5000.0,45.0
a7_KO_APP,43,761338718,-0.012880814359413186,0.026705001695627013,5000.0,45.0
a7_KO_APP,44,145857092,-0.017321019553552985,-0.030019650351915783,5000.0,45.0
a7_KO_APP,45,2084558133,-0.011675302838819885,0.032176644425863515,5000.0,45.0
a7_KO_APP,46,957106589,0.004729397882083314,0.027814844176119815,5000.0,45.0
a7_KO_APP,47,1917963002,-0.0015889901410270856,-0.05371352622724199,5000.0,45.0
a7_KO_APP,48,1455819991,0.018063568149998915,-0.04239355704643558,5000.0,45.0
a7_KO_APP,49,1671565830,-0.0003562499281566855,0.0029205613196616144,5000.0,45.0
a7_KO_APP,50,1631871623,0.005197010062048915,-0.038476751839988686,5000.0,45.0
a7_KO_APP,51,417983441,0.0012967704567396145,-0.020591233369207984,5000.0,45.0
a7_KO_APP,52,781482251,0.023990156660737113,0.04732093226572991,5000.0,45.0
a7_KO_APP,53,1002275723,0.009843791993883914,-0.022526911331173786,5000.0,45.0
a7_KO_APP,54,1068999196,0.024700176663738013,0.008837168340740715,5000.0,45.0
a7_KO_APP,55,94067870,-0.0007563174295603858,0.04083180198818152,5000.0,45.0
a7_KO_APP,56,1173749071,0.017764891134584213,0.057269134357418115,5000.0,45.0
a7_KO_APP,57,331334160,0.0026822650583023144,0.008912951919802615,5000.0,45.0
a7_KO_APP,58,1596387604,0.0005043195239648143,0.035529226465684814,5000.0,45.0
a7_KO_APP,59,1466836456,0.0013514529651980143,0.029447562009575615,5000.0,45.0
a7_KO_APP,60,1981113449,-0.0035682508038957853,-0.024754809772938185,5000.0,45.0
a7_KO_APP,61,1599364550,0.011795714433736315,-0.018800333085837187,5000.0,45.0
a7_KO_APP,62,787359109,0.006943479416657314,-0.033339319513025684,5000.0,45.0
a7_KO_APP,63,2077711328,-0.012513820772480685,-0.009210824985150285,5000.0,45.0
a7_KO_APP,64,882294416,0.0014662980019034145,-0.012972153876569685,5000.0,45.0
a7_KO_APP,65,699704628,0.0006600631642730145,0.03851390399475371,5000.0,45.0
a7_KO_APP,66,1944623248,-0.003433871437995886,0.009296425816505614,5000.0,45.0
a7_KO_APP,67,795556160,0.009901396723338214,0.04878871282371811,5000.0,45.0
a7_KO_APP,68,163945743,0.022052954952876413,0.0035880453744525143,5000.0,45.0
a7_KO_APP,69,1008363426,0.007899614696481814,0.029567922406237013,5000.0,45.0
a7_KO_APP,70,1708709735,-0.0017458722568326856,-0.035976123499482184,5000.0,45.0
a7_KO_APP,71,406886644,-0.009471474982739885,-0.004126395972000786,5000.0,45.0
a7_KO_APP,72,994157306,-0.005655829124174486,-0.046055868697247586,5000.0,45.0
a7_KO_APP,73,279004307,-0.009371751394294286,-0.06767581806880459,5000.0,45.0
a7_KO_APP,74,1474200731,-0.003691525865517886,0.021325522620773016,5000.0,45.0
a7_KO_APP,75,1021568549,0.023423893823833915,0.0016314907351033144,5000.0,45.0
a7_KO_APP,76,709091226,0.008573333454100114,-0.03371910588486218,5000.0,45.0
a7_KO_APP,77,487284116,0.011351350619377214,0.04093610185038731,5000.0,45.0
a7_KO_APP,78,1212254290,-0.0013407852321911857,0.016590462521642015,5000.0,45.0
a7_KO_APP,79,1438414599,-0.022004353725687185,-0.09564795072216968,5000.0,45.0
a7_KO_APP,80,2019291964,-0.0005803509308778855,-0.018049335689362987,5000.0,45.0
a7_KO_APP,81,938776596,-0.013275789244340485,0.005129291098608515,5000.0,45.0
a7_KO_APP,82,345075200,-0.014802851186195485,-0.009828504673010585,5000.0,45.0
a7_KO_APP,83,1788162809,0.009206998887461015,0.040689285055540314,5000.0,45.0
a7_KO_APP,84,1352408538,0.007936036521147913,-0.019933745733349686,5000.0,45.0
a7_KO_APP,85,1503807854,-0.0030013768278034855,-0.049674679928625086,5000.0,45.0
a7_KO_APP,86,208792607,0.0006160061117324144,-0.032772928690685287,5000.0,45.0
a7_KO_APP,87,670802254,-0.0003927166435619858,0.026931821487608216,5000.0,45.0
a7_KO_APP,88,1648932249,0.005695660371500914,0.0015099936413716143,5000.0,45.0
a7_KO_APP,89,1787264313,0.013481726812463714,0.006509693803252214,5000.0,45.0
a7_KO_APP,90,934620676,0.010512970266047915,0.011638840830233914,5000.0,45.0
a7_KO_APP,91,1728218297,0.0065929674963748144,-0.0005566204852121858,5000.0,45.0
a7_KO_APP,92,1807519524,-0.011492530819431086,0.016896098822507512,5000.0,45.0
a7_KO_APP,93,832103482,-0.018024195856242285,0.0027401809355115142,5000.0,45.0
a7_KO_APP,94,1928628490,-0.011351524600487085,-0.048274156826731585,5000.0,45.0
a7_KO_APP,95,619179887,-0.006052324420045186,-0.018636971127763885,5000.0,45.0
a7_KO_APP,96,514446424,0.006230674609022114,0.007420256048861215,5000.0,45.0
a7_KO_APP,97,1465647933,0.0013487954504327144,0.026082540366988413,5000.0,45.0
a7_KO_APP,98,1367435607,-0.009186766948105886,-0.013218040088903186,5000.0,45.0
a7_KO_APP,99,300116172,0.013069394239111715,0.04419245041314911,5000.0,45.0
