condition,amplitude,distractor_factor,offset_deg,trial_idx,seed,cue_freq_median_hz,cue_power_median,dist_freq_median_hz,dist_power_median,plv_median_delay2
WT,25.0,0.75,170.0,44,1634649145,6.2009253369750725,1.981438554883902,4.933707320846924,0.05166907075839893,0.5589962702940217
WT,25.0,0.75,170.0,45,1036024353,6.974468303631324,1.830495756589336,3.1550959006368426,0.0414746925866667,0.37181689531846607
WT,25.0,0.75,170.0,46,261494503,5.884673581081111,2.195451640513438,3.868629927273437,0.083134903509394,0.3025138495387486
WT,25.0,0.75,170.0,47,2001682155,6.668498305285877,2.25619260778213,5.200547145231866,0.04184757226400663,0.5481518304429476
WT,25.0,0.75,170.0,48,1311960750,6.841984005314005,1.5820088865514057,4.09468707272062,0.05604909350335231,0.566401746451733
WT,25.0,0.75,170.0,49,295114914,6.372598183886684,1.9267343218397506,6.0186007828042065,0.0329433497275549,0.3868907621045886
WT,25.0,0.75,30.0,0,1168784116,5.597012377076095,8.760482046779593,5.545950612608419,9.540447601624606,0.9907001340457721
WT,25.0,0.75,30.0,1,921289450,5.708147861914046,10.400577362855206,5.612650887619435,11.65333424078575,0.9903389235210365
WT,25.0,0.75,30.0,2,1293255992,5.612868342011191,9.097723989647362,5.582734813343888,10.737593043825102,0.9892991422076816
WT,25.0,0.75,30.0,3,1702858716,5.40692948116479,10.266550720992765,5.3576310940578,10.702463660018743,0.9930486679978922
WT,25.0,0.75,30.0,4,1895310323,5.522787949629212,11.203790184753398,5.4788604570604065,10.562373650751855,0.9932587272867339
WT,25.0,0.75,30.0,5,211694680,5.643581479016058,8.920581720970908,5.575962447641787,10.668789135545861,0.9875901004094081
WT,25.0,0.75,30.0,6,280584697,5.518471972987996,9.119096621466628,5.490478218702673,10.247396870983902,0.993544967987201
WT,25.0,0.75,30.0,7,617447500,5.58003201231008,8.894095524237029,5.522440656769554,9.506408579614204,0.9947997848533643
WT,25.0,0.75,30.0,8,1249765968,5.89618438078762,8.233376111275014,5.8494134194219605,10.243660430347113,0.9918708783097738
WT,25.0,0.75,30.0,9,1504658074,5.810263240910857,7.949312719725571,5.699550403506192,9.808755455127917,0.9895332322258165
WT,25.0,0.75,30.0,10,1008898872,5.582175003062881,9.687451703902527,5.5028829344269266,11.582102215685513,0.994510798698462
WT,25.0,0.75,30.0,11,794319243,5.622007560320983,9.276971640372107,5.632252802509071,10.430119830823896,0.992846846039058
WT,25.0,0.75,30.0,12,204008863,5.824501638730915,8.52758375106546,5.808293892837347,10.206305439591649,0.9855345692688938
WT,25.0,0.75,30.0,13,1880439445,5.758418406221205,7.878430725987471,5.744712110340818,10.19466751987986,0.9895951428485654
WT,25.0,0.75,30.0,14,1306372712,5.906575890616223,8.640570585557084,5.863065366680099,10.920327153944259,0.9921656610292806
WT,25.0,0.75,30.0,15,2122084012,5.576461754589159,8.885913335080298,5.552976861046051,10.069181291151704,0.9935114991464714
WT,25.0,0.75,30.0,16,1976297044,5.479291751057614,11.976978928163302,5.496253002949068,9.796931373040405,0.9935059740470209
WT,25.0,0.75,30.0,17,784548992,5.477966547737768,10.311594761047981,5.447980686627116,11.019255788545196,0.9928968836049608
WT,25.0,0.75,30.0,18,2121403537,5.453074258856707,9.842536525547127,5.434257234810399,10.757132394327398,0.9953870423941831
WT,25.0,0.75,30.0,19,347016859,5.690824659916926,7.905595041478481,5.707167892642063,9.679598880614618,0.9896027689579969
WT,25.0,0.75,30.0,20,527842052,5.775450811693873,8.552047883393902,5.762009079736359,10.643187221887889,0.9884822189205502
WT,25.0,0.75,30.0,21,215409799,5.7496676514210705,8.741429621627251,5.7347711176603795,10.601245578670262,0.9947236191663809
WT,25.0,0.75,30.0,22,350632298,5.711725933319571,8.792938014099624,5.678186744902784,9.898984105277602,0.9901113988597579
WT,25.0,0.75,30.0,23,2071774379,5.8448615889417415,8.194474805765694,5.779769238890985,10.644700626745857,0.9862572138518895
WT,25.0,0.75,30.0,24,1492822048,5.572571312997181,9.30570593366987,5.529509927190415,9.985136366393462,0.991766933063245
WT,25.0,0.75,30.0,25,199233221,5.845060408542395,8.279895077044554,5.839325051223541,9.993283932089444,0.9857938709023764
WT,25.0,0.75,30.0,26,1395966768,5.53749823354798,10.671723329094513,5.464545892500008,10.483883206365268,0.9935460331540363
WT,25.0,0.75,30.0,27,786556690,5.701922620962924,7.531084745559968,5.739554442697443,9.48120941846831,0.9848718843807696
WT,25.0,0.75,30.0,28,649984770,5.688686906915406,8.186428442659999,5.669196553214623,9.770690856719911,0.9911014597413976
WT,25.0,0.75,30.0,29,337723248,5.747034850800415,8.367375496928863,5.729015683138204,10.298514914716748,0.9859053284145459
WT,25.0,0.75,30.0,30,1094264184,5.64874507134663,9.415842657028053,5.623296539976285,10.336142203307318,0.9918491201049013
WT,25.0,0.75,30.0,31,2089154132,5.809313461373748,8.563154706596755,5.807463227064303,10.83740671721301,0.9896192100013752
WT,25.0,0.75,30.0,32,1584690825,5.501947322262866,9.91530871504879,5.471428067064743,10.05217701338941,0.9911633732792138
WT,25.0,0.75,30.0,33,795962858,5.777641378427629,8.238660371990093,5.69605099551699,9.559291828246533,0.9924299393812037
WT,25.0,0.75,30.0,34,827737825,5.808401720880572,8.417910772180218,5.815804927654646,10.4743241031164,0.9882919690022978
WT,25.0,0.75,30.0,35,234713593,5.682717978494344,9.394630186272908,5.623865964634065,10.940024107490476,0.9942708436776666
WT,25.0,0.75,30.0,36,885327366,5.777284676416529,7.983482899914273,5.73380357992216,9.517594838133405,0.9862545480812053
WT,25.0,0.75,30.0,37,928832081,5.724921929872157,9.008380333382938,5.696629024957245,10.514797190020897,0.9943005040693581
WT,25.0,0.75,30.0,38,1947615286,5.600829569865476,9.864853493788065,5.6029344496378615,10.756555148074163,0.994393521835913
WT,25.0,0.75,30.0,39,20360091,5.847239912134669,8.39784252197623,5.8456013933952935,10.111542038316346,0.9931360487376784
WT,25.0,0.75,30.0,40,1806363173,5.540203976463526,9.45183544255473,5.4661956979136574,10.781177569117236,0.9910823308924536
WT,25.0,0.75,30.0,41,1312343691,5.454143150589553,11.38446323257049,5.430794916947409,11.330116564281806,0.9955314198984062
WT,25.0,0.75,30.0,42,1762120781,5.542629843188077,9.580250895552542,5.542342003661012,9.87611597521882,0.9915080652381982
WT,25.0,0.75,30.0,43,1700607009,5.828655721328767,8.300751282444972,5.773328216043824,9.983352004024104,0.9872611814208627
WT,25.0,0.75,30.0,44,1634649145,5.868045789494138,8.022396239915945,5.7808902254128975,10.228442429349082,0.9893800808921915
WT,25.0,0.75,30.0,45,1036024353,5.760459013310387,7.865145438245961,5.712258922585884,9.37074362764736,0.992388558003132
WT,25.0,0.75,30.0,46,261494503,5.8019138545440665,8.157638377659229,5.738344254100734,9.38051504889353,0.9886248040745804
WT,25.0,0.75,30.0,47,2001682155,5.779690925876415,8.907492563876765,5.759443692782505,10.061383155820852,0.991181895346739
WT,25.0,0.75,30.0,48,1311960750,5.829794327672126,8.278857488704665,5.805357546541783,9.468152326726635,0.9865286480092059
WT,25.0,0.75,30.0,49,295114914,5.808999255705871,8.191035612587912,5.681907408055198,10.114466292917124,0.989350081216984
WT,25.0,0.75,70.0,0,1168784116,5.7512826763008515,5.959900234464059,5.602878723865903,3.733102228967391,0.9723166702016623
WT,25.0,0.75,70.0,1,921289450,5.668565863303438,5.870251500998577,5.567750603158828,3.789979402072096,0.9835918416132735
WT,25.0,0.75,70.0,2,1293255992,5.7959873542624125,6.480045037948091,5.752925167389652,4.091831310243803,0.9790989650747683
WT,25.0,0.75,70.0,3,1702858716,5.7733947981211715,6.338737401696648,5.592753049670335,3.568986751399766,0.9642168628447377
WT,25.0,0.75,70.0,4,1895310323,5.820897275266019,6.09131420746423,5.723307292405593,3.7999420081728505,0.9758811851911131
WT,25.0,0.75,70.0,5,211694680,5.700017727384834,5.95359453401107,5.612391971853524,3.466164813223459,0.9559411676129356
WT,25.0,0.75,70.0,6,280584697,5.779310060408598,6.019582278292794,5.6918500837265285,3.584475588444829,0.9803412337362571
WT,25.0,0.75,70.0,7,617447500,5.79333209253864,5.680392993697338,5.669671055314703,3.0445816865701434,0.9660227668500208
WT,25.0,0.75,70.0,8,1249765968,5.799361905891918,6.218481953869352,5.716877697621951,3.85807485606435,0.9655909176536557
WT,25.0,0.75,70.0,9,1504658074,5.631794533306811,6.072135178297228,5.559424337445356,3.688975870079152,0.9764750728754463
WT,25.0,0.75,70.0,10,1008898872,5.710861588223111,6.142691672927349,5.697508239367447,3.8009572556853946,0.9788771970348371
WT,25.0,0.75,70.0,11,794319243,5.726257102655236,6.125848184566595,5.70245527818156,3.131925902735413,0.9787192191990781
WT,25.0,0.75,70.0,12,204008863,5.7653726812011925,6.062428439594803,5.704014599546525,3.7258259946842536,0.9697825983770197
