condition,trial_idx,seed,cue_deg,pre_cue_asym,last_pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,balance_cue,correct_asymmetry,mean_abs_asym,asym_std,mean_abs_asym_precue,asym_std_precue
WT,143,877308581,181.40625,nan,nan,-0.0010026652001791376,5000.0,10.0,0,1,1,0.035938847420941264,0.045220853974060345,nan,nan
WT,144,2131733183,181.40625,nan,nan,0.0033518550096370116,5000.0,10.0,0,1,1,0.04094409937400714,0.05235279197292575,nan,nan
WT,145,1832669143,181.40625,nan,nan,-0.00561440174777469,5000.0,10.0,0,1,1,0.038886026449207065,0.049199811194812176,nan,nan
WT,146,74502574,181.40625,nan,nan,-0.000473882101364059,5000.0,10.0,0,1,1,0.037288995027755185,0.04804353895397033,nan,nan
WT,147,502381220,181.40625,nan,nan,-0.006779878046848303,5000.0,10.0,0,1,1,0.04250006585153708,0.05527402342401564,nan,nan
WT,148,1764532444,181.40625,nan,nan,-0.0061838187421314654,5000.0,10.0,0,1,1,0.03900525994633558,0.05002591764495144,nan,nan
WT,149,125204183,181.40625,nan,nan,-0.003891345038358104,5000.0,10.0,0,1,1,0.03904740819040486,0.04881571220914707,nan,nan
WT,150,1837539164,181.40625,nan,nan,-0.001895376007112622,5000.0,10.0,0,1,1,0.04101854326461128,0.05073521343684839,nan,nan
WT,151,604267306,181.40625,nan,nan,0.0048236250708047395,5000.0,10.0,0,1,1,0.03868188469170895,0.04749781217718948,nan,nan
WT,152,1970642945,181.40625,nan,nan,0.008740799638640377,5000.0,10.0,0,1,1,0.03925297677369718,0.04980523295657781,nan,nan
WT,153,630487793,181.40625,nan,nan,0.00037019886816621104,5000.0,10.0,0,1,1,0.0338185567316751,0.04208258817993588,nan,nan
WT,154,932688237,181.40625,nan,nan,0.005950187830773222,5000.0,10.0,0,1,1,0.037507421084355126,0.046279956263072526,nan,nan
WT,155,1421454890,181.40625,nan,nan,0.006780481069944296,5000.0,10.0,0,1,1,0.03921612451506839,0.04868092667103579,nan,nan
WT,156,271185813,181.40625,nan,nan,0.004367477184187172,5000.0,10.0,0,1,1,0.040901066593500235,0.05154224742817224,nan,nan
WT,157,1196217437,181.40625,nan,nan,0.00549612333161193,5000.0,10.0,0,1,1,0.03878924891596859,0.050406877784317565,nan,nan
WT,158,1084512517,181.40625,nan,nan,0.0034693126362142423,5000.0,10.0,0,1,1,0.04309397381282353,0.05460545345135644,nan,nan
WT,159,1683408584,181.40625,nan,nan,0.0073816231174890475,5000.0,10.0,0,1,1,0.04558537634631758,0.05555403344009442,nan,nan
WT,160,2139123293,181.40625,nan,nan,0.006607294735870441,5000.0,10.0,0,1,1,0.03762381770205942,0.04620824300591339,nan,nan
WT,161,1426602463,181.40625,nan,nan,0.004671713825361657,5000.0,10.0,0,1,1,0.035543408738794906,0.04597738572399146,nan,nan
WT,162,878721193,181.40625,nan,nan,-0.0023958738487232746,5000.0,10.0,0,1,1,0.040166359759665614,0.049766918550473785,nan,nan
WT,163,872709139,181.40625,nan,nan,0.014244515368835288,5000.0,10.0,0,1,1,0.03611360707099314,0.04382967146322728,nan,nan
WT,164,897559571,181.40625,nan,nan,-0.008241950758981273,5000.0,10.0,0,1,1,0.03707724396041922,0.04776647173740434,nan,nan
WT,165,1748095464,181.40625,nan,nan,-0.0019200910553047125,5000.0,10.0,0,1,1,0.038683206760402065,0.04859327434247602,nan,nan
WT,166,689805532,181.40625,nan,nan,-0.005750258079006187,5000.0,10.0,0,1,1,0.039430333617257084,0.04917310621323458,nan,nan
WT,167,358571614,181.40625,nan,nan,-0.0016603149408008745,5000.0,10.0,0,1,1,0.039439168952090355,0.052672850175012775,nan,nan
WT,168,717885406,181.40625,nan,nan,-0.008933743564060894,5000.0,10.0,0,1,1,0.04150809608179482,0.05325940997235326,nan,nan
WT,169,48773805,181.40625,nan,nan,-9.704123512490641e-05,5000.0,10.0,0,1,1,0.03948258880960567,0.047595891599571144,nan,nan
WT,170,227939460,181.40625,nan,nan,0.021207672247332294,5000.0,10.0,0,1,1,0.04081854557176857,0.047862442864437485,nan,nan
WT,171,193376308,181.40625,nan,nan,-0.005413041164368811,5000.0,10.0,0,1,1,0.03938125544234105,0.04919292158249877,nan,nan
WT,172,1656896191,181.40625,nan,nan,-0.00565348069916742,5000.0,10.0,0,1,1,0.03731979007089999,0.046739672278861714,nan,nan
WT,173,1551254892,181.40625,nan,nan,0.0028603357629554634,5000.0,10.0,0,1,1,0.038537338976067384,0.049252933316597,nan,nan
WT,174,1496303881,181.40625,nan,nan,0.0016916257218270087,5000.0,10.0,0,1,1,0.04050964800591767,0.05063690171118328,nan,nan
WT,175,991873798,181.40625,nan,nan,-0.0020039671321762263,5000.0,10.0,0,1,1,0.04199970483293549,0.052078900556806515,nan,nan
WT,176,1539871429,181.40625,nan,nan,0.004332927939174448,5000.0,10.0,0,1,1,0.04044628134585584,0.051015995844938884,nan,nan
WT,177,346328507,181.40625,nan,nan,0.008080553613517812,5000.0,10.0,0,1,1,0.037359121244022964,0.047916540807181225,nan,nan
WT,178,1934070332,181.40625,nan,nan,0.0020881436135245183,5000.0,10.0,0,1,1,0.03932143530687377,0.048254566316383814,nan,nan
WT,179,1075985460,181.40625,nan,nan,0.001857441821063982,5000.0,10.0,0,1,1,0.039317132990461114,0.05163062482984911,nan,nan
