condition_key,lag_s,msd_mean,msd_sem,msd_sd,fit_line
WT,0.9618090452261305,0.008383667730625582,0.0007554935736014085,0.005342146290364141,0.008376042368507447
WT,0.9727386934673367,0.00841043153364273,0.0007537077581945208,0.005329518668522563,0.008386919017687408
WT,0.9836683417085427,0.008433000868191182,0.0007587361555366327,0.005365074807113641,0.00839779566686737
WT,0.9945979899497487,0.008453033733712506,0.0007609169291019079,0.005380495204876025,0.008408672316047331
WT,1.0055276381909546,0.008471461158928058,0.0007644268401247959,0.00540531402373248,0.008419548965227293
WT,1.0164572864321608,0.008479561384928476,0.0007755365496775663,0.00548387153335025,0.008430425614407254
WT,1.0273869346733668,0.00850165291311088,0.0008013366409773602,0.0056663057284834124,0.008441302263587216
WT,1.0383165829145728,0.008460239734193298,0.0008094650186439784,0.005723782038164523,0.008452178912767177
WT,1.0492462311557789,0.00836494800552591,0.0008006716922005063,0.005661603830590862,0.008463055561947139
WT,1.0601758793969849,0.008250166006307956,0.0007759705167357182,0.005486940143846557,0.0084739322111271
WT,1.071105527638191,0.008172604965555729,0.0007566392518389174,0.005350247458872144,0.008484808860307062
WT,1.082035175879397,0.008171501080324297,0.0007491092948869031,0.005297002622644023,0.008495685509487023
WT,1.092964824120603,0.008269615224276971,0.0007543310062904044,0.005333925698072172,0.008506562158666985
WT,1.103894472361809,0.008417832754508763,0.0007518899646205992,0.00531666492689339,0.008517438807846946
WT,1.114824120603015,0.008606535048439308,0.0007644261348165817,0.0054053090364502695,0.008528315457026907
WT,1.125753768844221,0.008819716116280525,0.0007848836105271282,0.005549965234459135,0.008539192106206869
WT,1.136683417085427,0.009000589623400309,0.000796367536064946,0.0056311688506834575,0.00855006875538683
WT,1.147613065326633,0.00912705850482606,0.0008141406653617163,0.005756843853169974,0.008560945404566792
WT,1.158542713567839,0.00912673712207736,0.0008253424843920563,0.0058360526751497525,0.008571822053746753
WT,1.1694723618090452,0.008984789438051099,0.0008357635740667171,0.005909740906912811,0.008582698702926717
WT,1.1804020100502512,0.008692041921771039,0.0008470228015928649,0.005989355668259424,0.008593575352106676
