condition_key,amplitude,trial_idx,seed,eval_time_ms,center_mean_deg,center_std_deg,amplitude_mean,width_mean_deg,drift_rate_deg_per_s,diffusion_deg2_per_s,error_from_cue_deg
a5_KO_APP,15.0,56,1173749071,12950.0,180.31671957356485,3.37739898536461,0.1629168963355592,57.64340432385662,-52.3519019562238,82.8937484067909,0.31671957356485336
a5_KO_APP,15.0,56,1173749071,13150.0,178.81690294092982,6.785573943209287,0.15514494903785758,57.47787590104576,36.649699603770785,166.49383251420446,1.1830970590701781
a5_KO_APP,15.0,56,1173749071,13350.0,180.42105520905227,2.3285019346748728,0.16064481981806583,57.62451291353091,36.79853383793258,74.41938077811535,0.4210552090522697
a5_KO_APP,15.0,56,1173749071,13550.0,180.72977630393984,1.866733123077734,0.16071906517596152,57.49289474325551,-32.268824052238614,41.38063683463097,0.7297763039398433
a5_KO_APP,15.0,56,1173749071,13750.0,181.6456739245284,4.992475233190488,0.15865565381251573,57.51868069421037,-45.918794121381836,105.42678267809255,1.6456739245284098
a5_KO_APP,15.0,56,1173749071,full_delay,180.02900042337643,5.674425482838761,0.15806972847392245,57.3683574082825,-16.319772971331012,141.37808430119588,0.029000423376430717
a5_KO_APP,15.0,57,331334160,10950.0,181.13487471913317,12.967721852572081,0.13610528588033205,57.159609934366856,-510.54916027542714,1151.965025608699,1.1348747191331654
a5_KO_APP,15.0,57,331334160,11150.0,180.5087929119585,5.189818035330717,0.17008200536232418,57.565039961513456,8.604952681094886,198.43444636994636,0.5087929119584942
a5_KO_APP,15.0,57,331334160,11350.0,180.60101796611337,4.324324294396422,0.15761540878301475,57.936680790988376,-12.610776395370777,87.07780411823744,0.6010179661133748
a5_KO_APP,15.0,57,331334160,11550.0,179.91260131815054,4.8952518002449334,0.1747858216963681,57.79427369360214,36.881397195512164,336.910423590774,0.08739868184946431
a5_KO_APP,15.0,57,331334160,11750.0,182.63921114082046,4.355738308613374,0.1714564207862726,57.70736273427575,-12.881399718007316,76.76724220280131,2.639211140820464
a5_KO_APP,15.0,57,331334160,11950.0,181.3365456177146,3.7076150580557337,0.1692992002246775,57.71918654246667,-77.53494548484625,128.93350063072089,1.3365456177145916
a5_KO_APP,15.0,57,331334160,12150.0,179.6498474876052,10.804948185937457,0.15634722350594524,57.50730273073916,67.77879389138789,277.1734692638245,0.35015251239479994
a5_KO_APP,15.0,57,331334160,12350.0,178.0022461451999,4.4891348062631655,0.16858851932808547,57.67900638927942,8.199814623959583,31.78378049774442,1.997753854800095
a5_KO_APP,15.0,57,331334160,12550.0,181.7771371575915,4.234142945645211,0.15980530519197514,57.676966039946635,-51.3104113431514,315.8226605923674,1.7771371575915111
a5_KO_APP,15.0,57,331334160,12750.0,180.38967409745823,4.131703456818007,0.16451865809688726,57.792757917127915,22.928069508776048,81.08074832538125,0.3896740974582258
a5_KO_APP,15.0,57,331334160,12950.0,181.3501244393234,3.769524739977517,0.15965838084518072,57.81302668621076,-20.478921051189616,103.4307706819182,1.3501244393233947
a5_KO_APP,15.0,57,331334160,13150.0,181.48921373773007,4.68238935692801,0.16248897237604237,57.67755145782296,56.024964191695545,202.01926473325167,1.4892137377300685
a5_KO_APP,15.0,57,331334160,13350.0,180.85692652347933,2.6625034247816526,0.15916127839256938,57.71218283221199,-5.276655458296062,42.81161716807464,0.8569265234793306
a5_KO_APP,15.0,57,331334160,13550.0,179.46862166477945,5.812278574495513,0.16478485013604957,57.55550770152545,-0.6746665077018577,19.56912696284479,0.5313783352205519
a5_KO_APP,15.0,57,331334160,13750.0,180.18965866156069,8.19327465998163,0.1587811522746287,57.22646417820336,-136.7757646026368,935.3804891317956,0.189658661560685
