condition_key,t_s,amp_mean,amp_sem,survival_frac,noise_threshold
WT,2.485,0.4931367497368424,0.0026578966057820056,1.0,
WT,2.49,0.4935476178057497,0.0028132820789364293,1.0,
WT,2.495,0.4926043978446905,0.0025521676873640495,1.0,
WT,2.5,0.49153185020148904,0.002504351266561581,1.0,
WT,2.505,0.48984629449113937,0.0024854213027142996,1.0,
WT,2.51,0.4887064788265395,0.0025459677695160872,1.0,
WT,2.515,0.4861391288031596,0.0024342706549570128,1.0,
WT,2.52,0.4837263496788376,0.002403923543428547,1.0,
WT,2.525,0.4825094525924209,0.0024480275743108404,1.0,
WT,2.53,0.4815246580215897,0.0025172095951518764,1.0,
WT,2.535,0.48029902441342137,0.0024577820228020414,1.0,
WT,2.54,0.48089434598842046,0.002341062997528994,1.0,
WT,2.545,0.48079012500442786,0.00216021377788301,1.0,
WT,2.55,0.4814602064748836,0.0023127255276167795,1.0,
WT,2.555,0.4817391913823271,0.002357104498986913,1.0,
WT,2.56,0.482200653234856,0.0024492963161687393,1.0,
WT,2.565,0.48287625866249556,0.002694094629083953,1.0,
WT,2.57,0.48314729273897794,0.0025469977210576516,1.0,
WT,2.575,0.48240327029023866,0.0026273879878695315,1.0,
WT,2.58,0.4824193901103332,0.00264155320148321,1.0,
WT,2.585,0.48286155728276775,0.002488596104430041,1.0,
WT,2.59,0.482099334864611,0.0023050335794661037,1.0,
WT,2.595,0.481974601469874,0.0023486481541121953,1.0,
WT,2.6,0.48287581930143403,0.002571802683340772,1.0,
WT,2.605,0.4814358029220173,0.002582181521479698,1.0,
WT,2.61,0.48100835053120355,0.002669217147539232,1.0,
WT,2.615,0.480804902452115,0.002602862593683941,1.0,
WT,2.62,0.4810783706687552,0.002393595827878925,1.0,
WT,2.625,0.4814463692592541,0.002435013298958975,1.0,
WT,2.63,0.481110816009388,0.002241283017566672,1.0,
WT,2.635,0.4807891384378109,0.002494922459201556,1.0,
WT,2.64,0.4811371330429353,0.002618762317823549,1.0,
WT,2.645,0.48075327111781546,0.002595366037377107,1.0,
WT,2.65,0.48026327191897844,0.002529997845461258,1.0,
WT,2.655,0.47974260888151193,0.002559544930095898,1.0,
WT,2.66,0.48012101510587435,0.002680114268896305,1.0,
WT,2.665,0.4785106359983397,0.002575757324174925,1.0,
WT,2.67,0.4773625878875823,0.0023819752189773746,1.0,
WT,2.675,0.47751744877738617,0.002279446510681615,1.0,
WT,2.68,0.477166427992014,0.0022220144494969783,1.0,
WT,2.685,0.4769114477635227,0.0024201360927959695,1.0,
WT,2.69,0.4760867924027712,0.002626348158991477,1.0,
WT,2.695,0.47551744605112306,0.0028423019306760395,1.0,
WT,2.7,0.4748982285866161,0.002766122234675001,1.0,
WT,2.705,0.474087521103235,0.0024645026803088318,1.0,
WT,2.71,0.4731520963747866,0.0023984072775633295,1.0,
WT,2.715,0.47219118185913095,0.00223490018449697,1.0,
WT,2.72,0.4715868161543901,0.0021503084529288286,1.0,
WT,2.725,0.47169128699897817,0.0022309758181095745,1.0,
WT,2.73,0.47170839743338455,0.0024379071455280423,1.0,
WT,2.735,0.47192693086063636,0.00276130556971699,1.0,
WT,2.74,0.4722922774276083,0.0029165319218812645,1.0,
WT,2.745,0.4747884147257421,0.002951963722203372,1.0,
WT,2.75,0.4755955599568841,0.0030412580076509812,1.0,
WT,2.755,0.47592733133594245,0.002942469816438162,1.0,
WT,2.76,0.47654060475281773,0.0028210467827517365,1.0,
WT,2.765,0.475580284433562,0.002611028273381223,1.0,
WT,2.77,0.4746648580281148,0.0026565661197179256,1.0,
WT,2.775,0.4728765372282826,0.0024176465205303544,1.0,
WT,2.78,0.4722916907273638,0.0024246412748078613,1.0,
WT,2.785,0.47117494025393003,0.002510743070957068,1.0,
WT,2.79,0.4687176635559546,0.002324345913587445,1.0,
WT,2.795,0.4684248233760502,0.0023781771718517186,1.0,
WT,2.8,0.468528103486461,0.002264324359021976,1.0,
WT,2.805,0.46830534461027584,0.002253537276884684,1.0,
WT,2.81,0.4677704731449079,0.002187905982159095,1.0,
WT,2.815,0.4679761911912469,0.002288838564233473,1.0,
WT,2.82,0.468277937149947,0.002776821467125146,1.0,
WT,2.825,0.4687283514568818,0.00310612651207344,1.0,
WT,2.83,0.46781652288585607,0.0029247328199311457,1.0,
WT,2.835,0.46748895262257006,0.002885217226619782,1.0,
WT,2.84,0.46823297914556183,0.002872324232110207,1.0,
WT,2.845,0.4677476927048628,0.0028424555759122404,1.0,
WT,2.85,0.4681711853590383,0.002861947574877684,1.0,
WT,2.855,0.4677331616528577,0.002920828178021756,1.0,
WT,2.86,0.4675814789056966,0.002879084329085021,1.0,
WT,2.865,0.46795701258978184,0.002850680574685042,1.0,
WT,2.87,0.4667382601723313,0.002870762641525684,1.0,
WT,2.875,0.46667112735329025,0.002780504301406744,1.0,
