condition_key,trial_idx,displacement_deg,valid
WT_APP,23,-0.03467888325382278,1
WT_APP,24,0.02312010367890198,1
WT_APP,25,0.03196119758704019,1
WT_APP,27,0.03705452039052789,1
WT_APP,26,0.0048473880413910835,1
WT_APP,29,0.008528364181659108,1
WT_APP,28,-0.0418325753678529,1
WT_APP,30,-0.0405603909319991,1
WT_APP,31,0.0025157744743476993,1
WT_APP,33,0.004096626472698099,1
WT_APP,35,-0.0044649488818160115,1
WT_APP,36,0.020220927377740883,1
WT_APP,32,-0.12626963617446835,1
WT_APP,34,-0.0025831536142109767,1
WT_APP,37,-0.01557841348602118,1
WT_APP,38,0.04147683982206093,1
WT_APP,39,0.03748410599429822,1
WT_APP,40,0.00478726810808547,1
WT_APP,42,-0.047427814899737505,1
WT_APP,41,-0.016692753111835937,1
WT_APP,45,0.0315317482913604,1
WT_APP,44,-0.005634576530916083,1
WT_APP,46,-0.018832146797571246,1
WT_APP,43,-0.06555480574139115,1
WT_APP,49,0.03283586753831032,1
WT_APP,47,-0.08059732126723239,1
WT_APP,48,0.010862132122529641,1
a7_KO_APP,0,-0.035614320592770365,1
a7_KO_APP,3,-0.28590355698172876,1
a7_KO_APP,2,0.12106247892086919,1
a7_KO_APP,1,-0.038100274419597485,1
a7_KO_APP,4,0.04118832820653956,1
a7_KO_APP,7,0.30904693619138496,1
a7_KO_APP,8,0.43212321662065484,1
a7_KO_APP,5,0.01791973453044194,1
a7_KO_APP,6,0.04192966549706478,1
a7_KO_APP,9,0.08682250803780885,1
a7_KO_APP,10,-0.3707993202153258,1
a7_KO_APP,11,-0.22387071070931588,1
a7_KO_APP,12,-0.21741610997665783,1
a7_KO_APP,13,0.14791882899061393,1
a7_KO_APP,15,-0.021265646811048144,1
a7_KO_APP,14,-0.027568524017528094,1
a7_KO_APP,16,-0.13518683505095677,1
a7_KO_APP,17,-0.06719270481339755,1
a7_KO_APP,18,0.10743869248956568,1
a7_KO_APP,19,0.2807564689482542,1
a7_KO_APP,20,-0.02181303127102755,1
a7_KO_APP,21,0.024935988480158,1
a7_KO_APP,23,-0.2545277845299143,1
a7_KO_APP,22,0.41901895057427,1
a7_KO_APP,24,-0.11643508728705908,1
a7_KO_APP,26,-0.0234959302125038,1
a7_KO_APP,27,0.0486115384697149,1
a7_KO_APP,25,0.005314438647694584,1
a7_KO_APP,28,0.3477156305522188,1
a7_KO_APP,29,-0.09838598905090092,1
a7_KO_APP,30,-0.25035350245892046,1
a7_KO_APP,31,-0.039374886362083375,1
a7_KO_APP,32,0.016964479172576378,1
a7_KO_APP,33,0.027030021184285363,1
a7_KO_APP,37,-0.003889150189133959,1
a7_KO_APP,38,-0.0002411704656054004,1
a7_KO_APP,35,0.2024270205576465,1
a7_KO_APP,34,0.4039010725442089,1
a7_KO_APP,36,0.03752047061600269,1
a7_KO_APP,39,0.003126817207744741,1
a7_KO_APP,40,-0.03914993281724052,1
a7_KO_APP,41,-0.0723244471416633,1
a7_KO_APP,43,-0.04116612366564256,1
a7_KO_APP,42,-0.16111784750373453,1
a7_KO_APP,47,0.014481998116054854,1
a7_KO_APP,44,0.05852630835153977,1
a7_KO_APP,46,-0.08823944794449007,1
a7_KO_APP,45,0.08199742605983142,1
a7_KO_APP,49,-0.042796512257907905,1
a7_KO_APP,48,0.3334201872093989,1
