offset_deg,amp_factor,trial_idx,cue_peak_amp_pre,cue_peak_amp_post,dist_peak_amp_pre,dist_peak_amp_post,merged_fraction_pre,merged_fraction_post,trough_depth_pre,trough_depth_post,osc_freq_pre_hz,osc_freq_post_hz
170.0,0.75,8,11.981747571105549,6.4174981773526,0.5958010076812543,3.4980032846777287,0.0,0.0,0.02156189364918832,0.031575818114297084,5.97014925373041,6.96517412935462
170.0,0.75,9,12.081110217009854,6.170713604940026,0.6225200569818997,3.8257575015414367,0.0,0.0,0.01805963667534632,0.054168868325453756,5.97014925373041,5.970149253732531
170.0,1.0,0,12.052523846543782,4.837136519396669,0.6297113489476261,5.572902100715065,0.0,0.0,0.0040743837079920625,0.046686388986618144,5.97014925373041,10.945273631842973
170.0,1.0,1,11.747782614698952,4.648299644961519,0.5897771150441373,6.072228791132391,0.0,0.0,0.006880041358930252,0.05386250760529976,5.97014925373041,9.950248756220885
170.0,1.0,2,11.830242485726554,5.1081908504357765,0.6797924352151506,5.952400968049478,0.0,0.0,0.015521803841781093,0.06047940348201556,5.97014925373041,9.950248756220885
170.0,1.0,3,11.940534131149846,4.920319654053767,0.6936559561559428,5.8733076242583095,0.0,0.0,0.021304587067627823,0.08687473212694156,5.97014925373041,10.945273631842973
170.0,1.0,5,11.752879706525977,4.751405694875371,0.5973195646270886,6.5878048245074785,0.0,0.0,0.004646098579091271,0.0392057628337936,5.97014925373041,4.975124378110443
170.0,1.0,7,11.711316312480331,5.004171316499202,0.6804121385433972,5.648206762003867,0.0,0.0,0.008088320334610957,0.062224656743310125,5.97014925373041,10.945273631842973
170.0,1.0,4,11.776757892053622,4.7809134003769,0.6416443816602665,5.8190909318781685,0.0,0.0,0.009188465342175395,0.05448716688881337,5.97014925373041,5.970149253732531
170.0,1.0,6,11.754295271303581,4.704081986689486,0.6326882043264958,5.670637879632719,0.0,0.0,0.011188471546555048,0.02816386912252178,5.97014925373041,9.950248756220885
170.0,1.0,8,11.981747571105549,4.944253549414694,0.5958010076812543,6.277937735840107,0.0,0.0,0.02156189364918832,0.033040829657645945,5.97014925373041,4.975124378110443
170.0,1.0,9,12.081110217009854,5.1720698750115695,0.6225200569818997,5.655481079718073,0.0,0.0,0.01805963667534632,0.042132436947687965,5.97014925373041,9.950248756220885
