condition_key,offset_deg,trial_idx,seed,displacement_rad,pre_amp,post_amp
WT,0.0,37,1777324407,-0.19451501395145332,0.2736958346642746,0.13576627210878678
WT,0.0,38,594336917,-0.1089125874915462,0.2555018704777774,0.19537783839504866
WT,0.0,39,1356488967,0.17867036829888772,0.2559934325776668,0.1874482458162894
WT,0.0,40,354826746,-0.06440055414309409,0.283036583204133,0.1538745725192368
WT,0.0,41,1627981024,0.05378996021254512,0.2542542518351838,0.19957493928980405
WT,0.0,42,1504361614,-0.1325858811133349,0.2615330316936431,0.18304704728374838
WT,0.0,43,761338718,-0.016399423695061977,0.2995868495236471,0.18653594935007198
WT,0.0,44,145857092,-0.08013832221841355,0.2874872801927854,0.19108461696821952
WT,0.0,45,2084558133,-0.04154996871719119,0.23293223807403163,0.25732153741181796
WT,0.0,46,957106589,-0.20037095452497145,0.2876245602835372,0.19430685101508577
WT,0.0,47,1917963002,0.08856534753387146,0.263210831548999,0.248148974156036
WT,0.0,48,1455819991,0.020748854779297776,0.25534280407441073,0.17487609265669485
WT,0.0,49,1671565830,-0.18291993054981637,0.2504926422706843,0.17488635692955326
WT,10.0,0,191664963,-0.028539301051653254,0.26631861378210003,0.2298307545409126
WT,10.0,1,1662057957,-0.19986828775222198,0.23879696312934323,0.17914310969647845
WT,10.0,2,1405681631,-0.18150749686240886,0.28608093941517243,0.21013292816057513
WT,10.0,3,942484272,-0.21030416980084432,0.30140524896940957,0.19326564491970863
WT,10.0,4,929893137,-0.07081057060548979,0.30635626291622675,0.17421224938452054
WT,10.0,5,1843824992,-0.2755767292285287,0.28722792806146613,0.2426741723502875
WT,10.0,6,184566854,-0.21162586640558434,0.2751084283119421,0.2009171210466885
WT,10.0,7,1497586438,-0.005809388289914175,0.27157146146840216,0.15986283012596986
WT,10.0,8,432652533,0.02428377819691585,0.2819902935747795,0.17231588383813443
WT,10.0,9,202244314,-0.2103989552167551,0.2993378716378092,0.18301640284471
WT,10.0,10,1130604997,-0.2970198649649003,0.24238972768175487,0.23086861107024445
WT,10.0,11,2095133045,-0.13443628420710985,0.27762785625423386,0.2447370760592262
WT,10.0,12,1580016183,-0.0606679154955998,0.28137797986750157,0.1772074781520543
WT,10.0,13,1634535062,-0.1590337156661592,0.2711128415304091,0.2205477190201399
WT,10.0,14,1540770719,-0.19331059101681003,0.254739431051053,0.21932684276826112
WT,10.0,15,1688060240,-0.17496314000610003,0.29178397526954364,0.17458559047409083
WT,10.0,16,1102145672,-0.17330307973688797,0.27990087888155285,0.19522759097365233
WT,10.0,17,275121930,-0.06590897686721409,0.2882133059344484,0.13528074012702337
WT,10.0,18,1803345590,-0.16666045308762012,0.28657206391041734,0.19983974290297757
WT,10.0,19,967196436,-0.008532801622119113,0.26969135292789354,0.18509689134000662
WT,10.0,20,1074497555,-0.2499839755471105,0.28305618594401616,0.13128539714728435
WT,10.0,21,796282693,-0.06001435298375446,0.2942934465771388,0.19629042969343904
WT,10.0,22,392022359,-0.09351922199598217,0.2503966268938257,0.20335579459703773
WT,10.0,23,1990212658,-0.13579275554880654,0.26365332229444255,0.26212492798455694
WT,10.0,24,1678403330,-0.26053412332922754,0.2819994289334609,0.2105639424542073
WT,10.0,25,1382689815,-0.04491496056287936,0.2996309795889796,0.25796608803976223
WT,10.0,26,864178266,-0.026575662213346618,0.24271523988017768,0.1762380926566528
WT,10.0,27,1766867109,0.014877158263750356,0.3021363199781875,0.22697467066582994
WT,10.0,28,1171300112,-0.20481755100384103,0.25366484615973994,0.19885028598807347
WT,10.0,29,952224740,-0.24910717320492104,0.2846868197878826,0.21693003198832864
WT,10.0,30,967354524,-0.21418881887634722,0.27148150216128225,0.16263960923559445
WT,10.0,31,487991438,-0.02588394067152766,0.30528249424064274,0.2264267901476338
WT,10.0,32,197860368,-0.086093336111559,0.30456008165201287,0.20522921104600178
WT,10.0,33,1190961760,0.005230067241074554,0.26112351866774297,0.17755487925612878
WT,10.0,34,1906728918,-0.03214746939331903,0.2594654829178585,0.21002283765752736
WT,10.0,35,137046513,-0.03243000972177157,0.2848762036912776,0.1883163623897955
WT,10.0,36,1843166518,-0.08646430650248771,0.23005503058387708,0.20933732436395835
WT,10.0,37,1777324407,-0.24801034554337154,0.2736958346642746,0.16517856726027616
WT,10.0,38,594336917,-0.15220638979239354,0.2555018704777774,0.20642991826070867
WT,10.0,39,1356488967,-0.02803325404020951,0.2559934325776668,0.22410221351763332
WT,10.0,40,354826746,-0.1322602447626764,0.283036583204133,0.20552616845618688
WT,10.0,41,1627981024,-0.06822297891432338,0.2542542518351838,0.21006230255282604
WT,10.0,42,1504361614,-0.22598806836520868,0.2615330316936431,0.19721148940553826
WT,10.0,43,761338718,-0.11961631169618947,0.2995868495236471,0.1929951821902573
WT,10.0,44,145857092,-0.25765962737476666,0.2874872801927854,0.21399406163443999
WT,10.0,45,2084558133,-0.09620612284708185,0.23293223807403163,0.23625998909957482
WT,10.0,46,957106589,-0.29589789035457725,0.2876245602835372,0.22033718914559836
WT,10.0,47,1917963002,0.04012630609703782,0.263210831548999,0.2536773144638725
WT,10.0,48,1455819991,-0.05204631799014159,0.25534280407441073,0.19559765937169418
WT,10.0,49,1671565830,-0.22232225437463438,0.2504926422706843,0.16943206731420785
WT,20.0,0,191664963,-0.03414759440743165,0.26631861378210003,0.24862001994394933
WT,20.0,1,1662057957,-0.2789922316016167,0.23879696312934323,0.20558410344019865
WT,20.0,2,1405681631,-0.1937223186599133,0.28608093941517243,0.2722054002069994
WT,20.0,3,942484272,-0.17829357227698983,0.30140524896940957,0.24996309536247102
WT,20.0,4,929893137,-0.11000548129775112,0.30635626291622675,0.2280270606235925
WT,20.0,5,1843824992,-0.2603646126455481,0.28722792806146613,0.25532461341720586
WT,20.0,6,184566854,-0.18363470398439974,0.2751084283119421,0.24147144398544984
WT,20.0,7,1497586438,-0.06848764010881592,0.27157146146840216,0.22744907002190884
WT,20.0,8,432652533,-0.06815322203071661,0.2819902935747795,0.2267019636508653
WT,20.0,9,202244314,-0.18619707178828593,0.2993378716378092,0.22011619600175406
WT,20.0,10,1130604997,-0.27284446049544453,0.24238972768175487,0.23478695656228404
WT,20.0,11,2095133045,-0.13787367964404584,0.27762785625423386,0.2707731080315705
