condition_key,offset_deg,amp_factor,n_trials,drift_mean_deg,drift_sd_deg,drift_sem_deg,collapse_prob,pre_amp_mean,post_amp_mean,distractor_duration_ms,delay1_ms,delay2_ms,cue_amp_factor
WT,10,1.5,10,-19.59606378760312,13.865009162300499,4.384500873197276,0.0,0.2422131581814754,0.06351577369317794,250.0,1000.0,1000.0,15.0
WT,15,0.5,10,1.0279534078626835,3.2222163727341258,1.0189542851725912,0.0,0.2422131581814754,0.2406121520400415,250.0,1000.0,1000.0,15.0
WT,15,0.75,10,-4.7947742704505965,4.6651995574865115,1.4752656340867003,0.0,0.24221315818147543,0.16424517098678515,250.0,1000.0,1000.0,15.0
WT,15,1.0,10,-11.005864651078854,6.59766355009972,2.0863644053787547,0.0,0.24221315818147543,0.12021719763342611,250.0,1000.0,1000.0,15.0
WT,15,1.25,10,-17.591469544956475,9.218568124738754,2.915167203960167,0.0,0.2422131581814754,0.09323320574987194,250.0,1000.0,1000.0,15.0
WT,15,1.5,10,-24.00515735077449,12.334130692032659,3.900394594501203,0.0,0.2422131581814754,0.07612509603533434,250.0,1000.0,1000.0,15.0
WT,20,0.5,10,2.1793000994237395,3.1886177972172742,1.0083294826955493,0.0,0.2422131581814754,0.2506583788522526,250.0,1000.0,1000.0,15.0
WT,20,0.75,10,-4.9991898181031695,4.359138563141277,1.3784806495800148,0.0,0.2422131581814754,0.1778566106982359,250.0,1000.0,1000.0,15.0
WT,20,1.0,10,-12.17343872799512,6.351197101566331,2.008424870960937,0.0,0.2422131581814754,0.13457084417052065,250.0,1000.0,1000.0,15.0
WT,20,1.25,10,-19.264977064755527,8.621885104769802,2.726479465535205,0.0,0.2422131581814754,0.1080282224941889,250.0,1000.0,1000.0,15.0
WT,20,1.5,10,-25.93443041083458,10.67631066287377,3.376145870222318,0.0,0.2422131581814754,0.09118332359510765,250.0,1000.0,1000.0,15.0
WT,30,0.5,10,5.627685911486081,3.323432818207732,1.050961735608875,0.0,0.2422131581814754,0.2719051579074323,250.0,1000.0,1000.0,15.0
WT,30,0.75,10,-3.6529086592126574,4.37990798004524,1.3850485158890273,0.0,0.2422131581814754,0.2057628040250011,250.0,1000.0,1000.0,15.0
WT,30,1.0,10,-11.975397639929023,5.787985340440914,1.8303216739458372,0.0,0.2422131581814754,0.16804818715575084,250.0,1000.0,1000.0,15.0
WT,30,1.25,10,-18.98450048002073,7.073245188046719,2.2367565243053624,0.0,0.2422131581814754,0.1443429360898813,250.0,1000.0,1000.0,15.0
WT,30,1.5,10,-24.74273277460384,8.093687264981344,2.5594486426439813,0.0,0.2422131581814754,0.12828768356545767,250.0,1000.0,1000.0,15.0
WT,40,0.5,10,9.930066763435722,3.6407617842178497,1.1513099656226875,0.0,0.2422131581814754,0.2872126300745185,250.0,1000.0,1000.0,15.0
WT,40,0.75,10,-0.04278812956511988,4.339027461729741,1.3721209609085068,0.0,0.2422131581814754,0.23293772269233365,250.0,1000.0,1000.0,15.0
WT,40,1.0,10,-8.496534891756005,5.3182974500580595,1.6817933216449057,0.0,0.2422131581814754,0.19969855644202397,250.0,1000.0,1000.0,15.0
WT,40,1.25,10,-15.046483987525622,6.034956926880528,1.9084209469952709,0.0,0.2422131581814754,0.17945124983967453,250.0,1000.0,1000.0,15.0
WT,40,1.5,10,-20.053223802463798,6.446807384300781,2.03865949707829,0.0,0.2422131581814754,0.16612527043400596,250.0,1000.0,1000.0,15.0
WT,60,0.5,10,16.865684943649896,4.016409342066745,1.2701001536509247,0.0,0.2422131581814754,0.2773075018573632,250.0,1000.0,1000.0,15.0
WT,60,0.75,10,7.436589646162327,4.370101170216325,1.3819473303250775,0.0,0.2422131581814754,0.2539152762919691,250.0,1000.0,1000.0,15.0
