condition_key,w_inter,a_hat_value
WT,5.0,0.08317807885386415
WT,5.0,0.02852815823960695
WT,5.0,0.022313952196625193
WT,5.0,0.03011599315498677
WT,5.0,0.05030257972518447
WT,5.0,0.0908002930589951
WT,5.0,0.008231833290764736
WT,5.0,0.06594506966969829
WT,5.0,0.10030402010611765
WT,5.0,0.06871682563706212
WT,5.0,0.03314449549496398
WT,5.0,0.09873336606290664
WT,5.0,0.0912748102336161
WT,5.0,0.047025033136389775
WT,5.0,0.05816507852894896
WT,5.0,0.08317807885386415
WT,5.0,0.1169122895584159
WT,5.0,0.051742603756895184
WT,5.0,0.06422064580813627
WT,5.0,0.0368461320671608
WT,5.0,0.07658669614749043
WT,5.0,0.10965241535099463
WT,5.0,0.13959784267224168
WT,5.0,0.020140916266356366
WT,5.0,0.019092327445096736
WT,5.0,0.007813448905186704
WT,5.0,0.031497140477035515
WT,5.0,0.10531064683725674
WT,5.0,0.04610965310671008
WT,5.0,0.030719115378902363
WT,5.0,0.04386731077915911
WT,5.0,0.1169122895584159
WT,5.0,0.05638965436769196
WT,5.0,0.051305072332202876
WT,5.0,0.06437734975321807
WT,5.0,0.02898442455938263
WT,5.0,0.02194287761134614
WT,5.0,0.0751881350584125
WT,5.0,0.04660819089392534
WT,5.0,0.03667909608538253
WT,5.0,0.023007664867731856
WT,5.0,0.11283516753192545
WT,5.0,0.06597868415554052
WT,5.0,0.02596823509218268
WT,5.0,0.06469513496804762
WT,5.0,0.027581300032486617
WT,5.0,0.05508051992224521
WT,5.0,0.05638965436769196
WT,5.0,0.06771117725045256
WT,5.0,0.04018117220593905
WT,5.0,0.04788597909529143
WT,5.0,0.08432575938968428
WT,5.0,0.01498957835321746
WT,5.0,0.03433823311434416
WT,5.0,0.025517029301673197
WT,5.0,0.019744724297406292
WT,5.0,0.09509295183476985
WT,5.0,0.061976670076510844
WT,5.0,0.08560774042432946
WT,5.0,0.04595048714778598
WT,5.0,0.08757076477502959
WT,5.0,0.04188351190332236
WT,5.0,0.04684724872221315
WT,5.0,0.06771117725045256
WT,5.0,0.07203106830894423
WT,5.0,0.04832478680085855
WT,5.0,0.07634704525283845
WT,5.0,0.049953592076226905
WT,5.0,0.029393096105221568
WT,5.0,0.08706540135591359
WT,5.0,0.06588140057629538
WT,5.0,0.011440061564749091
WT,5.0,0.060575500402058065
WT,5.0,0.02963285720275281
WT,5.0,0.10023061077254435
WT,5.0,0.06694845111658643
WT,5.0,0.0418765963974419
WT,5.0,0.01712815717456496
WT,5.0,0.03047913945485974
WT,5.0,0.07203106830894423
WT,5.0,0.051522013830592364
WT,5.0,0.10287885655808186
WT,5.0,0.06589928878164768
WT,5.0,0.005527400061202728
WT,5.0,0.06195629580831569
WT,5.0,0.05363365125742286
WT,5.0,0.05680557083358447
WT,5.0,0.09146321710042685
WT,5.0,0.04115131252866857
WT,5.0,0.06641773284121155
WT,5.0,0.0959109346247609
WT,5.0,0.012837548898813509
WT,5.0,0.029450593549860897
WT,5.0,0.1225007378121881
WT,5.0,0.03529108292380459
WT,5.0,0.051522013830592364
WT,5.0,0.03443895326514073
WT,5.0,0.034335165746372937
WT,5.0,0.04988282312143263
WT,5.0,0.06044875073410698
WT,5.0,0.07752340653761072
WT,5.0,0.06308359165328789
WT,5.0,0.083739339450254
WT,5.0,0.07912981795964817
WT,5.0,0.06095261296309542
WT,5.0,0.028942434628906055
WT,5.0,0.0762861425024032
WT,5.0,0.016531805358084756
WT,5.0,0.045848957851929106
WT,5.0,0.054523052603070304
WT,5.0,0.04197454520498958
WT,5.0,0.03443895326514073
WT,5.0,0.10017589515899862
WT,5.0,0.08248965160115597
WT,5.0,0.03384859963422858
WT,5.0,0.042284005774180455
WT,5.0,0.048075108271327084
WT,5.0,0.07614094989766805
WT,5.0,0.06601321606738786
WT,5.0,0.04236543232432346
WT,5.0,0.12973709229029273
WT,5.0,0.015239392515185957
WT,5.0,0.05288588314443017
WT,5.0,0.08356185406271456
WT,5.0,0.03615307516986171
WT,5.0,0.032500355203921374
WT,5.0,0.03894053581794095
WT,5.0,0.10017589515899862
WT,5.0,0.03956336105722672
WT,5.0,0.07801113483006816
WT,5.0,0.06777854277356249
WT,5.0,0.0032968064039017343
WT,5.0,0.027008984895377276
WT,5.0,0.035059122333432516
WT,5.0,0.013881271663103836
WT,5.0,0.11694864740455196
WT,5.0,0.011315076257896805
WT,5.0,0.03509190096121901
WT,5.0,0.08986132060401839
WT,5.0,0.025061493119837474
WT,5.0,0.03956989733239036
WT,5.0,0.008331629627055073
WT,5.0,0.036789579335405546
WT,5.0,0.03956336105722672
WT,5.0,0.0813091902599823
WT,5.0,0.06896455248758201
WT,5.0,0.04745954310971385
WT,5.0,0.06307833440375629
WT,5.0,0.03640413522192007
WT,5.0,0.02388464307992662
WT,5.0,0.05749984332963472
WT,5.0,0.06729943025114189
WT,5.0,0.045409734433224914
WT,5.0,0.07596460569819126
WT,5.0,0.10667564091269185
WT,5.0,0.07729964418054447
WT,5.0,0.02301200599282717
WT,5.0,0.04025987682611177
WT,5.0,0.05605122397938388
WT,5.0,0.0813091902599823
WT,5.0,0.024708274636585988
WT,5.0,0.017851631562528003
WT,5.0,0.04888410745661341
WT,5.0,0.06873654424228058
WT,5.0,0.032229713076435525
WT,5.0,0.03455055193218875
WT,5.0,0.03992852514876075
WT,5.0,0.036611086359006416
WT,5.0,0.021631364148328964
WT,5.0,0.017014001964998245
WT,5.0,0.03793962482435978
WT,5.0,0.01579037511339003
WT,5.0,0.040755758008262616
WT,5.0,0.054497434593879845
WT,5.0,0.02596480143023266
WT,5.0,0.024708274636585988
WT,5.0,0.07320127749551388
WT,5.0,0.08735452903737011
WT,5.0,0.07407082171041177
WT,5.0,0.03812107240289237
WT,5.0,0.06708423879176144
WT,5.0,0.042712879464913936
WT,5.0,0.05109626759080497
WT,5.0,0.03135971237997745
WT,5.0,0.02642709650084349
WT,5.0,0.01783572941968876
WT,5.0,0.0675902352911545
WT,5.0,0.0212039414074336
WT,5.0,0.003535653700144103
WT,5.0,0.07915179675610576
WT,5.0,0.0704245942280459
WT,5.0,0.07320127749551388
WT,5.0,0.0578620428165077
WT,5.0,0.05018046475042485
WT,5.0,0.03295144195205059
WT,5.0,0.03152635076480591
WT,5.0,0.03674579506444602
WT,5.0,0.06717305144109763
WT,5.0,0.03591749604889106
WT,5.0,0.028309084912006805
WT,5.0,0.05822458153946642
WT,5.0,0.05856308697783661
