condition,w_inter,trial_idx,seed,A_hat,noise_percentile,noise_threshold
WT,4,32,40474,0.05299011446,95,0.1187718425
WT,4,33,40475,0.06460403952,95,0.1187718425
WT,4,34,40476,0.05479703099,95,0.1187718425
WT,4,35,40477,0.0491566588,95,0.1187718425
WT,4,36,40478,0.06583632176,95,0.1187718425
WT,4,37,40479,0.01031332892,95,0.1187718425
WT,4,38,40480,0.1056022698,95,0.1187718425
WT,4,39,40481,0.03839935916,95,0.1187718425
WT,4,40,40482,0.05046520586,95,0.1187718425
WT,4,41,40483,0.06241685174,95,0.1187718425
WT,4,42,40484,0.09368892202,95,0.1187718425
WT,4,43,40485,0.05937991516,95,0.1187718425
WT,4,44,40486,0.0223506687,95,0.1187718425
WT,4,45,40487,0.08009681362,95,0.1187718425
WT,4,46,40488,0.1348287299,95,0.1187718425
WT,4,47,40489,0.08059873227,95,0.1187718425
WT,4,48,40490,0.02400181655,95,0.1187718425
WT,4,49,40491,0.02728826293,95,0.1187718425
WT,4,50,40492,0.03841097571,95,0.1187718425
WT,4,51,40493,0.05408171397,95,0.1187718425
WT,4,52,40494,0.08988757868,95,0.1187718425
WT,4,53,40495,0.03921988476,95,0.1187718425
WT,4,54,40496,0.03185096561,95,0.1187718425
WT,4,55,40497,0.05452687699,95,0.1187718425
WT,4,56,40498,0.04930587419,95,0.1187718425
WT,4,57,40499,0.01942200068,95,0.1187718425
WT,4,58,40500,0.09688851177,95,0.1187718425
WT,4,59,40501,0.06227574096,95,0.1187718425
WT,4,60,40502,0.007086772965,95,0.1187718425
WT,4,61,40503,0.08902679903,95,0.1187718425
WT,4,62,40504,0.03073363519,95,0.1187718425
WT,4,63,40505,0.01294360413,95,0.1187718425
WT,4,64,40506,0.01832973453,95,0.1187718425
WT,4,65,40507,0.04164809902,95,0.1187718425
WT,4,66,40508,0.02400119093,95,0.1187718425
WT,4,67,40509,0.04593555301,95,0.1187718425
WT,4,68,40510,0.01278990385,95,0.1187718425
WT,4,69,40511,0.04041099038,95,0.1187718425
WT,4,70,40512,0.06741637182,95,0.1187718425
WT,4,71,40513,0.05389992238,95,0.1187718425
WT,4,72,40514,0.04832079751,95,0.1187718425
WT,4,73,40515,0.08946344933,95,0.1187718425
WT,4,74,40516,0.09910408932,95,0.1187718425
WT,4,75,40517,0.04421757683,95,0.1187718425
WT,4,76,40518,0.06940935721,95,0.1187718425
WT,4,77,40519,0.07472488864,95,0.1187718425
WT,4,78,40520,0.04796844404,95,0.1187718425
WT,4,79,40521,0.05442979097,95,0.1187718425
WT,4,80,40522,0.008530032493,95,0.1187718425
WT,4,81,40523,0.05169788501,95,0.1187718425
WT,4,82,40524,0.03892080086,95,0.1187718425
WT,4,83,40525,0.04037136637,95,0.1187718425
WT,4,84,40526,0.01844875178,95,0.1187718425
WT,4,85,40527,0.1396851135,95,0.1187718425
WT,4,86,40528,0.05229018327,95,0.1187718425
WT,4,87,40529,0.07250719991,95,0.1187718425
WT,4,88,40530,0.02684840426,95,0.1187718425
WT,4,89,40531,0.04733401422,95,0.1187718425
WT,4,90,40532,0.01618578635,95,0.1187718425
WT,4,91,40533,0.04767097855,95,0.1187718425
WT,4,92,40534,0.04515761207,95,0.1187718425
WT,4,93,40535,0.09156215405,95,0.1187718425
WT,4,94,40536,0.04379093106,95,0.1187718425
WT,4,95,40537,0.07612391542,95,0.1187718425
WT,4,96,40538,0.05975916387,95,0.1187718425
WT,4,97,40539,0.0971329723,95,0.1187718425
WT,4,98,40540,0.0348280656,95,0.1187718425
WT,4,99,40541,0.0684017756,95,0.1187718425
WT,4,100,40542,0.1186465957,95,0.1187718425
WT,4,101,40543,0.07769529075,95,0.1187718425
WT,4,102,40544,0.08280672451,95,0.1187718425
WT,4,103,40545,0.08356804781,95,0.1187718425
WT,4,104,40546,0.03482602646,95,0.1187718425
WT,4,105,40547,0.06038048908,95,0.1187718425
