condition_key,amplitude,w_inter,trial_idx,seed,A_hat_final,peak_pyr_rate,center_final_deg,error_from_cue_deg
WT,5.0,3.0,57,331334160,0.05224512069026958,4.093344083552485,123.31227237182146,56.687727628178536
WT,5.0,3.0,58,1596387604,0.03129159277070627,3.8533617406503784,102.17877198675333,77.82122801324667
WT,5.0,3.0,59,1466836456,0.031213696970903308,3.8116298548184666,173.99155062087007,6.008449379129928
WT,5.0,3.0,60,1981113449,0.027588821142448282,3.927028191436807,184.64380005715287,4.643800057152873
WT,5.0,3.0,61,1599364550,0.04766505721821035,4.028771307724259,190.65123278705724,10.65123278705724
WT,5.0,3.0,63,2077711328,0.01724358148681004,3.8653896542283466,173.9645201613186,6.035479838681397
WT,5.0,3.0,62,787359109,0.017113903000427286,3.826683183829413,171.3308653260051,8.669134673994904
WT,5.0,3.0,64,882294416,0.01957741083472059,3.8084706109622557,163.3708305136256,16.629169486374394
WT,5.0,3.0,66,1944623248,0.02413293558054074,4.138643284854653,150.99559162459008,29.004408375409923
WT,5.0,3.0,65,699704628,0.04538735262342294,4.021911785264645,179.03579835762764,0.964201642372359
WT,5.0,3.0,67,795556160,0.055726183689459086,3.7768265224723048,186.5518304303269,6.551830430326902
WT,5.0,3.0,69,1008363426,0.05421877901622812,3.702992074867192,193.30660373438434,13.306603734384339
WT,5.0,3.0,68,163945743,0.01748188906475824,3.8728282645361247,227.55486383129167,47.55486383129167
WT,5.0,3.0,70,1708709735,0.04120804933508914,3.84824619079098,157.42800429196257,22.571995708037434
WT,5.0,3.0,71,406886644,0.06581638342166986,3.8994856576190475,182.63879839240286,2.6387983924028617
WT,5.0,3.0,72,994157306,0.02748470136203035,3.787892941340884,218.8586332991176,38.8586332991176
WT,5.0,3.0,73,279004307,0.03957186904899343,4.16856651405437,112.25720434176046,67.74279565823954
WT,5.0,3.0,74,1474200731,0.057028196935064085,3.5260228854511957,173.88346523131145,6.1165347686885525
WT,5.0,3.0,75,1021568549,0.030319817178901812,3.772171983250379,263.69783106079853,83.69783106079853
WT,5.0,3.0,77,487284116,0.02362267442984989,3.745299055396042,255.24857261664891,75.24857261664891
WT,5.0,3.0,76,709091226,0.011400084804366759,4.030573384384059,104.24052538977999,75.75947461022001
WT,5.0,3.0,79,1438414599,0.061188879138259794,3.7547189732530275,139.74841342217726,40.251586577822735
WT,5.0,3.0,78,1212254290,0.026473488295444082,3.780791970351011,178.30505692600008,1.694943073999923
WT,5.0,3.0,80,2019291964,0.052965732972141424,3.693425426017315,187.0816192002558,7.081619200255801
WT,5.0,3.0,81,938776596,0.05734162556260751,3.65268762912936,173.04655638592828,6.953443614071716
WT,5.0,3.0,83,1788162809,0.050821674875557596,3.6714354121963098,144.64334937748626,35.35665062251374
WT,5.0,3.0,82,345075200,0.03772109719377502,3.8206326805414115,256.7768929636897,76.7768929636897
WT,5.0,3.0,84,1352408538,0.03199137425247235,3.7425954817571823,235.66257173386387,55.66257173386387
WT,5.0,3.0,85,1503807854,0.01968302561394668,3.594627934894762,161.7306230488387,18.26937695116129
WT,5.0,3.0,87,670802254,0.03154329028919221,3.7952083195056083,162.3972447352242,17.602755264775794
WT,5.0,3.0,86,208792607,0.027792401742476713,3.864776615969003,242.51309695005946,62.51309695005946
WT,5.0,3.0,89,1787264313,0.03188483356544999,3.926937779234949,175.77264356119463,4.227356438805373
WT,5.0,3.0,88,1648932249,0.03253587798300928,4.057999602129295,179.0641970928409,0.9358029071590863
WT,5.0,3.0,90,934620676,0.057742854929769036,3.9384324747642108,237.998739362767,57.998739362767
WT,5.0,3.0,91,1728218297,0.016034779835710954,3.9363408003451257,117.8418187784119,62.158181221588094
WT,5.0,3.0,93,832103482,0.05442845737932337,4.067976260515368,157.39906446687056,22.600935533129444
WT,5.0,3.0,92,1807519524,0.009857378382763404,4.0764399371613935,146.46412950087552,33.535870499124485
WT,5.0,3.0,94,1928628490,0.03036017129242509,3.5950683443708797,171.06531159894845,8.934688401051545
WT,5.0,3.0,95,619179887,0.08316490828814004,3.6224998221222826,166.9162985068176,13.083701493182389
WT,5.0,3.0,97,1465647933,0.034165407027604455,4.401454682145753,162.67959980265948,17.32040019734052
WT,5.0,3.0,98,1367435607,0.01174300563110751,3.740432919798929,38.684074497872665,141.31592550212733
WT,5.0,3.0,99,300116172,0.03437965675352261,3.9770361628160167,148.6591588358197,31.34084116418029
WT,5.0,3.0,96,514446424,0.025775652142905284,4.079530703036754,114.82846506239919,65.17153493760081
WT,5.0,4,0,191664963,0.11395145941409816,5.142867411112086,190.0384709450924,10.0384709450924
WT,5.0,4,3,942484272,0.06671185319311665,5.470438051087705,174.41375714735668,5.586242852643323
