condition,trial_idx,seed,cue_deg,pre_cue_asym,last_pre_cue_asym,delay_asym,delay_ms,amplitude,random_cue,balance_cue,correct_asymmetry,mean_abs_asym,asym_std
a7_KO_APP,40,354826746,181.40625,-0.09361816615335021,0.01547224389821123,-0.023878386814444066,5000.0,45.0,0,1,1,0.16959019559241426,0.22492069628133152
a7_KO_APP,41,1627981024,181.40625,0.019769801953276274,-0.09566469927944182,0.018289781288569992,5000.0,45.0,0,1,1,0.14555092682064463,0.20436726680891368
a7_KO_APP,42,1504361614,181.40625,0.019959352204448798,-0.053802391104791486,-0.010392075959471569,5000.0,45.0,0,1,1,0.1810249501884252,0.23696761114636847
a7_KO_APP,43,761338718,181.40625,0.016164576695807006,-0.00527725668910453,0.005924797980683555,5000.0,45.0,0,1,1,0.1484862645971571,0.2045327726663751
a7_KO_APP,44,145857092,181.40625,0.021641368586762168,0.1635431348172541,0.0246320791347291,5000.0,45.0,0,1,1,0.14739582834353906,0.20406545718551075
a7_KO_APP,45,2084558133,181.40625,-0.06948875984420776,0.010063718312773744,-0.04534265458721982,5000.0,45.0,0,1,1,0.16067497944536233,0.22359862861369906
a7_KO_APP,46,957106589,181.40625,-0.020154562638087254,-0.014395695995766103,-0.03360013496072881,5000.0,45.0,0,1,1,0.16743215450620538,0.2256151848009414
a7_KO_APP,47,1917963002,181.40625,0.04738723369607856,-0.009812879862713345,0.061975819619885145,5000.0,45.0,0,1,1,0.1556527237079203,0.21127923760967215
a7_KO_APP,48,1455819991,181.40625,6.755876990307134e-05,-0.04526075067282446,-0.00727766144838751,5000.0,45.0,0,1,1,0.15310059009370852,0.2207584897979479
a7_KO_APP,49,1671565830,181.40625,0.047517430195106306,-0.03628484560437018,-0.004054256906422338,5000.0,45.0,0,1,1,0.17189234532381942,0.22871946026699427
